,England Imports cif,England Re-exports,England Exports,GB Imports,GB Re-exports,GB Exports,Source
1760,14656,3714,10981,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1761,13297,4069,10804,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1762,12128,4351,9400,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1763,15731,5146,9522,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1764,14541,4725,11536,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1765,15315,4451,10122,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1766,16110,4193,9890,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1767,16738,4375,9492,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1768,16487,5425,9695,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1769,16269,4454,8984,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1770,17163,4764,9503,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1771,17996,5905,11219,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1772,19022,5656,10503,20460,6746,10974,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1773,17087,5944,8976,18412,7114,9418,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1774,17746,5868,10049,19174,6732,10557,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1775,,,,20130,6253,10072,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1776,,,,17231,5051,9705,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1777,,,,17134,4191,9300,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1778,,,,15300,4046,8208,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
