reporting,partner,partner type,year,import,export,total,currency,source
UnitedKingdom,Worldundefined,,1809,73700000,,73700000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1809,59400000,47400000,106800000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1810,77022983.8994838,49051479.2201976,126074463.1196814,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1810,76000000,48400000,124400000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1810,88500000,,88500000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1810,76000000,48400000,124400000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1811,43744399.2914453,32708880.3792852,76453279.6707305,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1811,44000000,32900000,76900000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1811,50700000,,50700000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1811,44000000,32900000,76900000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1812,47387490.5697281,42133440.4425941,89520931.0123222,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1812,46900000,41700000,88600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1812,56000000,,56000000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1812,46900000,41700000,88600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1813,51496694.0714839,43639569.7087793,95136263.7802632,sterling pound,FEDERICO-TENA
UnitedKingdom,WorldFedericoTena,,1814,58150575.5571884,47247342.6402155,105397918.19740391,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1813,,,,sterling pound,
UnitedKingdom,Worldestimated,,1814,56000000,45500000,101500000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1813,,,,sterling pound,
UnitedKingdom,Worldundefined,,1814,80800000,,80800000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1813,,,,sterling pound,
UnitedKingdom,Worldbestguess,,1814,56000000,45500000,101500000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1815,58897853.7273308,55763839.4922986,114661693.2196294,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1815,54500000,51600000,106100000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1815,71300000,,71300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1815,54500000,51600000,106100000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1816,41426538.1451562,45943793.6343887,87370331.77954489,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1816,37600000,41700000,79300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1816,50200000,,50200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1816,37600000,41700000,79300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
