
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)"
="ln_pE6g",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.115***",="-0.0871***",="0.227***",="0.277***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-15.28)",="(-13.28)",="(8.57)",="(11.87)",="",="",="",=""

="ln_pEother",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.223***",="-0.167***",="0.466***",="0.562***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-14.10)",="(-11.90)",="(9.57)",="(12.44)"

="N",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51",="54",="54",="54",="51"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
