
="",="ln_pIAmiens",="ln_pIBayonne",="ln_pIBordeaux",="ln_pIBourgogne",="ln_pICaen",="ln_pIChâlons",="ln_pILyon",="ln_pIMarseille",="ln_pINantes",="ln_pIRennes",="ln_pISaint_Quentin"

="loss",="-0.58",="0.22",="-1.24*",="0.60",="1.65",="-0.31",="-2.23",="0.70**",="-2.37***",="1.78*",="4.91**"
="",="(-0.82)",="(0.59)",="(-2.53)",="(0.94)",="(1.18)",="(-0.53)",="(-1.85)",="(3.44)",="(-4.44)",="(2.66)",="(3.75)"

="war",="-0.18",="0.44**",="-0.08",="0.78***",="-0.18",="0.45*",="1.63**",="-0.17*",="-0.47**",="-0.11",="1.22*"
="",="(-0.76)",="(3.20)",="(-0.46)",="(5.59)",="(-0.38)",="(2.31)",="(4.02)",="(-2.26)",="(-3.13)",="(-0.45)",="(2.78)"

="year",="0.02*",="-0.02**",="0.03***",="0.03*",="-0.00",="0.01",="-0.01",="-0.01**",="0.02*",="0.01",="-0.12***"
="",="(2.24)",="(-3.11)",="(4.27)",="(3.18)",="(-0.02)",="(0.94)",="(-0.59)",="(-3.14)",="(2.66)",="(1.15)",="(-6.01)"



="loss_nm",="-0.48",="0.47",="-1.80**",="1.08",="2.30",="0.01",="-1.99",="0.87**",="-2.90***",="1.99*",="5.89**"
="",="(-0.55)",="(1.07)",="(-3.25)",="(1.67)",="(1.38)",="(0.01)",="(-1.27)",="(3.61)",="(-5.06)",="(2.44)",="(3.67)"

="war",="-0.15",="0.37*",="0.08",="0.72***",="-0.35",="0.44",="1.75**",="-0.22**",="-0.27",="-0.22",="0.81"
="",="(-0.60)",="(2.42)",="(0.44)",="(5.61)",="(-0.73)",="(2.09)",="(3.78)",="(-2.77)",="(-1.68)",="(-0.80)",="(1.71)"

="year",="0.02",="-0.02**",="0.03***",="0.03**",="0.00",="0.01",="-0.02",="-0.01*",="0.02*",="0.02",="-0.11***"
="",="(2.12)",="(-3.43)",="(4.65)",="(4.11)",="(0.17)",="(0.77)",="(-0.99)",="(-2.73)",="(2.23)",="(1.83)",="(-5.55)"



="ln(loss)",="-0.08",="0.04",="-0.10",="0.00",="0.11",="-0.09",="-0.43*",="0.10**",="-0.23*",="0.18",="0.58*"
="",="(-0.75)",="(0.63)",="(-1.26)",="(0.02)",="(0.52)",="(-1.07)",="(-2.77)",="(2.92)",="(-2.34)",="(1.64)",="(2.45)"

="war",="-0.17",="0.44**",="-0.18",="0.76***",="-0.17",="0.48*",="1.73***",="-0.16",="-0.59**",="0.02",="1.15"
="",="(-0.70)",="(3.35)",="(-0.97)",="(5.26)",="(-0.35)",="(2.52)",="(4.85)",="(-2.02)",="(-3.33)",="(0.07)",="(2.11)"

="year",="0.02",="-0.02**",="0.03**",="0.04**",="0.00",="0.01",="-0.00",="-0.01**",="0.01",="0.02",="-0.12***"
="",="(2.20)",="(-3.02)",="(3.38)",="(4.01)",="(0.16)",="(1.21)",="(-0.22)",="(-2.81)",="(1.37)",="(1.26)",="(-4.73)"



="ln(loss_nm)",="-0.09",="0.02",="-0.09",="0.04",="0.10",="-0.07",="-0.34*",="0.09**",="-0.26*",="0.18",="0.60**"
="",="(-1.01)",="(0.46)",="(-1.25)",="(0.42)",="(0.53)",="(-1.00)",="(-2.41)",="(2.86)",="(-2.62)",="(1.85)",="(3.46)"

="war",="-0.13",="0.45**",="-0.18",="0.75***",="-0.21",="0.50*",="1.83***",="-0.16",="-0.53**",="-0.02",="0.91"
="",="(-0.53)",="(3.33)",="(-0.95)",="(5.25)",="(-0.40)",="(2.53)",="(4.69)",="(-2.02)",="(-2.87)",="(-0.08)",="(1.90)"

="year",="0.02*",="-0.02**",="0.03**",="0.04**",="0.01",="0.01",="-0.02",="-0.01*",="0.01",="0.02",="-0.10***"
="",="(2.25)",="(-3.15)",="(3.46)",="(4.06)",="(0.34)",="(0.97)",="(-1.08)",="(-2.25)",="(1.37)",="(1.74)",="(-5.25)"

