SHIP_NAME	CAPTAIN_NAME	CAPTOR_NAME	TONNAGE	CREW_SIZE	DAY_CAPTURE	MNTH_CAPTURE	YEAR_CAPTURE	HCA
REVANCHE	HERIAT	URANIA	280	80	2	10	0	HCA34-63
REVANCHE	L AMET	CAMBRIAN	281	28	13	12	98	HCA34-62
REVANCHE	MAHAN	RESOLUTION LR	400	34	22	9	97	HCA34-63
REVANCHE	MICHEL	ENDYMION	60	85	31	7	98	HCA34-62
REVENGE	O	RESISTANCE	212	20	13	5	96	HCA34-61
REVOLUTION	ARGER	REGULATOR	140	0	31	5	94	HCA34-61
REVOLUTION	MORDEILLE	DIDO FRIGATE	160	0	9	4	95	HCA34-61
RISQUE A TOUT	NEIL	DOLPHIN CUTTER	290	16	28	11	0	HCA34-60
ROBERT	MOREAU	SYREN	280	96	5	8	93	HCA34-61
ROBUSTE	GANTAUN	JASON	101	33	24	5	96	HCA34-61
ROSALIE	DIEU	WARRENS SQ	280	0	31	7	0	HCA34-63
ROSALIE	FESTO	DIADEM	160	0	21	1	96	HCA34-61
ROSALIE	LE CERF	WARRENS SQ	280	0	31	7	0	HCA34-63
RUSE	AUDIBERT	KITE	400	49	30	8	99	HCA34-60
RUSE	DESPARNET	TRITON	280	41	1	2	99	HCA34-63
SAINTE ANNE	CAUZIE	DOLPHIN LUGGER	140	0	9	7	93	HCA34-61
SAINTE ANNE	GUELLER	CHARLOTTE	140	0	15	5	93	HCA34-61
SAINTE ANNE	HERNON	ALLIGATOR	320	0	16	8	93	HCA34-61
SAINTE ANNE	JACOB	HARLEQUIN PR	140	0	19	6	98	HCA34-62
SAINTE ANNE	KENOR	WILLIAM PITT CR	280	0	13	6	97	HCA34-62
SAINTE ANNE	MAHE	DOLPHIN CUTTER	490	0	3	10	97	HCA34-62
SAINTE ANNE	MARIE	JASON FRIGATE	100	0	12	12	97	HCA34-62
SAINTE CLAIRE	LE DOUVAIN	WARRENS SQ	280	0	31	7	0	HCA34-63
SAINTE FAMILLE	LE SANT	SYLPH	100	0	1	6	98	HCA34-62
SAINTE MARGUERITE	TREUSCAT	SPITFIRE SLOOP	290	0	16	4	93	HCA34-61
SAINTE MARIANNE	LE COORE	LOTTERY PR	360	0	23	5	93	HCA34-61
SAINTE VERONIQUE	THOMAS	WARRENS SQ	100	0	27	9	96	HCA34-61
SANS CULOTTE	BACQUELIN	LIZARD FRIGATE	370	43	16	4	93	HCA34-61
