SHIP_NAME	CAPTAIN_NAME	CAPTOR_NAME	TONNAGE	CREW_SIZE	DAY_CAPTURE	MNTH_CAPTURE	YEAR_CAPTURE	HCA
AIMABLE SOCIETE	LANCES	PILL PR	270	0	9	4	99	HCA34-63
AIMABLE SUZANNE	BOGNETTEAU	DOLPHIN	320	0	20	5	94	HCA34-61
AIMABLE SUZANNE	LAVERGNE	ALLIGATOR	320	0	16	8	93	HCA34-61
AIMABLE THERESE	COFFIN	ANN	380	25	3	10	99	HCA34-63
AIMABLE VICTOIRE	FLEURY	BRILLIANT	110	0	15	6	93	HCA34-61
AIMABLE VICTOIRE	FLORANCE	TRITON	280	87	7	3	99	HCA34-63A
AIME CHERIE	GANDIN	DESPATCH	110	0	17	7	0	HCA34-63
AJAX	BOUTOUCHE	HAZARD PR	140	22	3	9	0	HCA34-63
ALCIDE	///	VICTORY	316	15	9	6	96	HCA34-61
ALERT	DEMAY	KEITH SQ	251	8	6	3	0	HCA34-63
ALERT	RIOUDELAGESSE	FISHGUARD	280	84	2	10	0	HCA34-63
ALEXANDER	GUILLEMET	BRIDPORTS SQ	296	66	7	9	95	HCA34-61
ALEXANDRE	///	STRACHAN SQ	290	0	24	6	95	HCA34-9
ALEXANDRE	///	STRACHAN SQ	290	0	24	6	95	HCA34-61
ALEXANDRINE	SEPTAN	CHARON	280	28	19	6	98	HCA34-62
ALLEGRE	LE HUBY	SPITFIRE	290	31	23	2	97	HCA34-62
ALLERTE	DRIEU	CARYSFORD	210	75	22	1	98	HCA34-62
AMARANTHE	DELAMERE	DIAMOND	290	83	2	2	97	HCA34-62
AMBITIEUX	GUILLEMEN	LATONA FR	290	68	28	6	93	HCA34-61
AMBUSCADE	CLEMENT	CANADA	294	86	20	12	98	HCA34-62
AMERICA	LERETIER	HOWE FL	297	20	15	7	94	HCA34-61
AMERIQUE	DAVID	LATONA	290	22	16	4	93	HCA34-61
AMERIQUE	ROSSY	THESEUS,	150	0	14	8	1	HCA34-60
AMI DE LA NATION	MATRE	ALLIGATOR	140	0	6	11	93	HCA34-61
AMI DES LOIX	SCORPERY	HOUND CR	290	36	28	5	93	HCA34-61
AMI DES LOIX	SENSSERY	HOUND CR	0	35	0	0	93	HCA32-494 1
AMI DES PAL								HCA
AMI DES PLANTEURS	TARDIF	///	110	90	29	6	93	HCA32-497 1
AMIS	GARNIER	SPEEDWELL	280	18	12	12	97	HCA34-62
AMIS	HERCE	INDEFATIGABLE	100	0	13	5	96	HCA34-61
AMIS	MONACH	SNAKE	290	0	28	11	0	HCA34-63
AMIS	PATFRERE,	RACCOON	290	31	27	5	97	HCA34-62
AMIS DE BORDEAUX	PETRONILLE	POLYPHEMUS	60	80	23	2	97	HCA34-62
AMIS FIDELLES	TRUFFER	STAG	110	0	4	9	93	HCA34-61
AMITIE	BARNARD	ALLIGATOR	320	0	21	1	94	HCA34-61
AMITIE	MOURAILLEAU	PHOENIX PR	140	0	21	3	98	HCA34-62
AMITIE	ZEPART	PLYMOUTH	280	55	3	5	97	HCA34-62
ANACREON	BLAUCHERNAN	CHAMPION	370	54	27	7	99	HCA34-63
ANDROMACQUE	MOREL	WARREN SQ	392	85	14	10	96	HCA34-61
ANETTE CHERIE	///	VALIANT	290	0	13	6	97	HCA34-62
ANGE GARDIENNE	///	WARREN SQ	100	0	27	4	96	HCA34-61
ANGELIQUE	NICOLAIN	DOLPHIN LR	320	0	25	5	94	HCA34-61
ANNE	ALLANIEUX	PELLEW SQ	280	23	3	9	0	HCA34-60
ANNE	NOEL	ST FIORENZO	290	0	21	1	97	HCA32-62
ANTHOINE DESIRE	GUERIN	PHOENIX PR	140	0	21	3	98	HCA34-62
ANTICHRIST	SCORSSERY	FAVOURITE	370	53	2	6	1	HCA34-63
ANTOINE	RABIN	UNICORN	280	0	27	7	99	HCA34-63
ARAIGNEE	MOSSE	TRITON	280	39	9	11	98	HCA34-62
ARGONAUTE	NEEL	GALATEA	60	36	7	9	97	HCA34-62
ARGUS	MARTIN	POMONE	281	4	24	5	99	HCA34-63
ARRISO	JOURD	CHARMING MOLLY	100	13	6	11	93	HCA34-61
ARRORGANTE	LEMBOUR	JASON	280	90	1	6	98	HCA34-62
ASPIE	JASLIN	QUEBEC	290	57	21	4	96	HCA34-61
ATALANTE	DORDELIN	PHOEBE	281	2	23	2	96	HCA34-62
ATALANTE FR	DURAND	SWIFTSURE	2	74	7	5	94	HCA32-501
AUDACIEUX	CAUDEAUX	CAMBRIAN	280	43	12	6	1	HCA34-63
AUDACIEUX	DE BON	DILIGENCE CR	240	44	31	7	97	HCA34-62
AUDACIEUX	MOUTON	MAGNANIME	61	37	1	6	98	HCA34-60
AUGUSTINE	DE DECTIERS	DISPATCH	370	42	27	9	96	HCA34-61
AUGUSTINE	DESHAYSCE	MARY	190	0	11	11	93	HCA34-61
AURORE	GIRAULT	THAMES	281	1	10	3	1	HCA34-60
AVANTAGEUX	GAUIDES	AJAX	290	40	10	3	0	HCA34-63
AVENTURE	EXCADO	MERMAID FR	281	8	6	2	98	HCA34-62
AVENTURE	LA MOCHE	ARISTOCRATE	280	42	27	2	0	HCA34-63
AVENTURE	PELTIER	GREYHOUND	290	62	27	1	97	HCA34-62
AVENTURE	VILDIEUX	AURORA FR	180	43	6	2	98	HCA34-62
AVENTURIER	CONRIAT	PENELOPE CR	280	33	26	2	98	HCA34-62
AVENTURIER	PRETRE	SWIFT CR	90	11	30	3	97	HCA34-62
AVENTURIER	PRETRE	SWIFT CR	90	11	30	3	97	HCA34-62
AVENTURIER	RAFFY	MELPOMONE	280	82	3	9	98	HCA34-62
AVENTURIER	VILLEAUBERT	AMETHYSTE	280	52	10	3	0	HCA34-63
BAALGAD	LE CONTE	PHOEBE	61	0	24	4	0	HCA34-63
BABET	BETHAMME	FLORA FR	291	78	29	5	94	HCA34-61
BASQUE	///	PHOENIX PR	140	0	30	3	98	HCA34-62
BAVIAS	FROMENTIN	DRIVER	200	57	10	1	0	HCA34-63
BAYONNAIS	LASSERRE	BLANCHE FR	180	43	24	4	98	HCA34-62
BEAUREPAIRE	DOUAMIE	WARREN SQ	280	0	31	7	0	HCA34-63
BELLE ANGELIQUE	///	HOUND CR	290	17	21	6	96	HCA34-61
BELLE ANNE	LA PEYRE	CONWAY PR	140	0	24	4	98	HCA34-62
BELLE HELENE	ROSNEY	CHAMPION	50	32	20	7	2	HCA34-60
BELLE JULIE	CHATELLE	EXCELLENT	280	0	10	1	1	HCA34-63
BELLE POULE	BRUILLAC	AMAZON	293	30	11	6	6	HCA34-64
BELLIQUIEUSE	GIRON	MELAMPUS	281	20	26	2	98	HCA34-62
BELLONE	JACOB	CANADA	285	19	21	12	98	HCA34-62
BENJAMIN	ANDRAU	MERCURY	181	10	3	5	98	HCA34-62
BENJAMIN	ORLEANOIS	DOLLY CR	100	0	15	9	97	HCA34-62
BETSEY,	LOUIS	AMAZON	100	88	19	7	96	HCA34-61
BETZEY	PATROUILLEAU	KINGSFISHER	181	18	28	3	98	HCA34-62
BICHE	LE CERF	PAMONE	280	0	9	4	95	HCA34-61
BIEN VENUE	LECIVIO	M DE COBOURG	370	33	21	4	1	HCA34-63
BIENAIME	ROY	DASHER	280	0	3	9	1	HCA34-60
BON CITOYEN	CADEVILLE	RUSSELL	280	60	21	5	98	HCA34-62
BON FRERE	DEMENSIGNIAC	PRS ELIZABETH	100	0	23	5	93	HCA34-61
BON FRERE	MALEVAL	DIADEM	160	0	21	1	96	HCA34-61
BON ORDRE	EUDE	CLYDE	280	58	7	3	99	HCA34-63
BON PIERRE	BRIGNOE	PHOENIX	180	0	10	3	0	HCA4-63
BON SUCCESS	ROTWIER	MAGICIENNE	290	0	2	6	1	HCA34-63
BONHEUR	BURNEL	NIMBLE CR	290	24	9	5	97	HCA34-62
BONNE	///	WARREN SQ	100	0	13	5	96	HCA34-61
BONNE CITOYENNE	LABOURDONNIOS	PHAETON	291	60	1	4	96	HCA34-61
BONNE ESPERANCE	LION	CHILDERS	290	30	14	10	96	HCA34-61
BONNE FOI	CORICK	CANADA	280	0	24	4	98	HCA34-62
BONNE FOY	SAILLONER	HEBE	140	0	2	10	95	HCA34-61
BONNE MERE	LOYER	SCROURGE SL	280	0	25	4	93	HCA34-61
BONNE NOUVELLE	LANNAY	WARREN SQ	280	0	31	7	0	HCA34-63
BONS AMIS	BOSSINET	SPITFIRE	280	33	3	5	97	HCA34-62
BONS AMIS	LIRSILLONE	ROYALIST LR	140	0	27	1	97	HCA34-62
BORDELAIS	MOREAU	REVOLUTIONAIRE	60	0	10	12	99	HCA34-63
BOUILLON	VALECOLETT	FOX CR	100	26	21	6	97	HCA34-62
BOULONNAIS	BARBIER	ANIAN	280	70	4	4	99	HCA34-63
BOURGAINVILLE	DUPONT	AMAZON	0	82	8	4	0'	CAO34-63
BOURGAINVILLE	LA BON	EURIDICE	290	68	1	7	1	HCA34-63
BRAVE	////	SPEEDWELL CR	290	25	27	9	96	HCA34-61
BRAVE	DELATTRE	ARETHUSA	290	50	2	6	0'	CAO34-63
BRAVE	ROBIN	PHOENIX FR	281	54	19	6	98	HCA34-62
BRUNE	DESPEITZ	DORIS FR	361	65	22	12	97	HCA34-62
BRUNETTE	CHERPUY	UNITE	290	80	20	10	97	HCA34-62
BRUTUS	CAREE	ENDYMION	340	50	31	7	98	HCA3M-62
BUONAPARTE	HEULIUWAS	NIMBLE	380	37	31	3	1	HCA34-63
BUONAPARTE	MUCHENARE	MARTIN	370	82	23	3	97	HCA34-62
BUONAPARTE	RAIMOND	S MARGARETTA	61	40	2	12	96	HCA34-61
BUONAPARTE	ROUXEL	SUFFISANTE	280	34	13	7	97	HCA34-62
CA IRA	///	PRS ROYAL	319	99	9	6	96	HCA34-61
CAIUS GRACCUS	LOGE	TARTAR	140	0	0	0	2	"HCA'""A"
CAIUS GRACCUS	LOGE	TARTAR	140	0	0	0	2	HCA34-60
CALAISIEN	LAMY	BADGER	300	18	16	2	99	HCA34-63
CALAISIEN	LAMY	BD						HCA
CALLIOPE	DE HAYE	O.U,.IL-/I-.,						HCA
CALLIOPE	DE HAYE	WARRENS SQ	391	89	26	2	98	HCA34-62
CALVADOS	DE LATTRE	CERBERUS	280	33	12	8	96	HCA34-61
CAMUS	///	DASHER	280	24	28	1	0	HCA34-63
CANADIEN	LABLE	CYNTHIA	110	0	28	10	1	HCA34-63
CANTABRE	HERIAR	CAMBRIAN	280	58	22	1	99	HCA34-63
CAPITAIN THUROT	PERY	SEA GULL SL	200	23	22	9	98	HCA34-62
CARMAGNOLE	RAGAUDIN	MARY	190	0	28	5	93	HCA34-61
CAROLINE	BERTHOUD	PHOENIX	280	87	31	7	98	HCA34-62
CASTOR	LE REDDRE	ST FIORENZO	290	54	7	9	97	HCA34-62
CATHERINE	///	STRACHANS SQ	290	0	24	6	95	HCA34-61
CATHERINE	LEGOFFRE	SPITFIRE	280	0	1	2	99	HCA34-63
CATHERINE DE PAIMPOL	///	ROYALIST LR	2					HCA
CATHERINE DE PAIMPOL	///	ROYALIST LR	140	0	1	3	96	HCA34-61
CENSEUR	///	PRS ROYAL SL	319	21	9	6	96	HCA34-61
CENSU								HCA
CERBERE	BRANZOU	URANIA	280	69	22	5	0	HCA34-63
CERBERE	MENAGE	PELLEWS SQ	280	87	17	12	0	HCA34-63
CERES	LE VASSEUR	REVOLUTIONNAIRE	60	0	22	11	99	HCA34-63
CERF	CANTIN	CONWAY PR	140	0	24	4	98	HCA34-62
CERF VOLANT	MANGOLLE	TISIPHONE	370	63	20	10	97	HCA34-62
CESAR	LE BEDEL	CAMBRIA	100	57	1	6	98	HCA34-62
CHARLES MARIE	QUEREL	DUBLIN VOLUNT	110	0	8	2	99	HCA34-63
CHARLES MARIE	QUEREL	DUBLIN VOLUNTEER &[			11	0	8	HCA
CHARLES MARIE	QUEREL	DUBLIN VOLUNTEER	1	10	0	8	2	HCA
CHARLOTTE	CHEVALIER	LADY SARAH	110	0	22	5	1	HCA34-60
CHARLOTTE	JOLIEZ	WARRENS SQ	100	0	27	9	96	HCA34-61
CHARLOTTE-JOLIEZ-	WARRENS SQ	U////IM-/.-.L						HCA
CHASSEUR	AVEZON	UNITE	280	47	14	11	97	HCA34-62
CHASSEUR	NIEPORT	CRUISER	330	48	29	6	98	HCA34-62
CHAUVELIN	GRENIER	ALARM FR	200	53	28	5	93	HCA34-61
CHAUVIN DRAGON	FRECTION	VULTURE PR	140	0	14	11	97	HCA34-62
CHERI	CHOSSIN	PIMONE FR	342	7	26	2	98	HCA34-62
CHEVRETTE	CHASSEREAU	ROBUST	282	47	3	9	1	HCA34-60
CHONCHON ET COCO	BRILLAND	TARTAR	110	0	6	6	93	HCA34-61
CIGALE	HALGAND	CYNTHIA PR	110	0	24	3	1	HCA3434-63
CLAM	BOUMAIZE	STRACHANS A						HCA
CLAM	BOUMAIZE,	STRACHANS SQ	290	50	24	6	95	HCA34-61
CLARICE	LE MUNE	LEOPARD					3	HCA
CLARICE	LE MUNE	LEOPARD	31	48	11	6	1	HCA34-63
CLEMANTINO	DIDIER	NETTLEY	290	0	7	3	99	HCA34-63
CLEOPATRE	MULLEN	NYMPH FR	293	22	1	8	93	HCA34-61
COCYTE	LA DIORE	STAG	340	33	27	1	98	HCA34-62
COL								HCA
COLOMBE	DAMBEAU	MAGNANIME	280	66	2	10	98	HCA34-62
COLONIE	BLAIR	DIADEM	160	0	21	1	96	HCA34-61
COMMERCE	DOUAREN	CHANCE	!00	0	1	5	0	HCA34-60
CONCESSIONE	REZZA	AIGLE	160	0	22	11	99	HCA34-63
CONCORDE	BLAQUE	HARD	110	0	2	12	0	HCA34-63
CONFIANTE	BEVRIER	HYDRA	393	0	30	8	99	HCA34-60
CONSOLATEUR	ROLLAND	VULTURE	140	0	26	2	98	HCA34-62
CONSTANC								HCA
CONSTANCE	DESAUNAY	ST FIORENZO	281	89	3	5	97	HCA34-62
CONSTANCE	LERAY	MERCURY	180	92	3	5	98	HCA34-62
CONSTANTE	///	STRACHANS SQ	290	0	24	6	95	HCA34-61
CONSTANTE	DUHAMEL	RESOLOTUTION PR	110	0	26	6	98	HCA34-62
CONT								HCA
COQUETTE	NOUP	ST MARGARITTA	60	0	10	1	1	HCA34-63
COQUILLE	DEPEROUNE	CN						HCA
COQUILLE	DEPEROURE	CANADA	285	7	20	12	98	HCA34-62
CORUNESA	TORTEAU	FLORA	180	85	2	10	0	HCA34-63
CORUNESA	TORTEAU	FLR						HCA
COTENTIN	POUPERVILLE	HARPY	290	22	28	3	97	HCA34-62
COUP D ESSAY	LE MESLE	STAR SL	290	28	27	1	97	HCA34-62
COURAGEUSE	RAUGAR	PILL	140	0	12	7	99	HCA34-63
COURAGEUX	BERNARD	ALCMENE	182	48	18	3	0	HCA34-63
COURAGEUX	FRANCOIS	INTREPID	360	0	17	5	1	HCA34-63
COURAGEUX	LE GRAND	SUFFISANTE	280	44	28	3	0	HCA34-63
COURAGEUX	VANALEINE	CRUIZER	370	47	30	8	99	HCA34-63
COUREUR	ARNOULD	REVOLUTIONNAIRE	61	25	24	4	0	HCA34-63
COUREUR	BERNER	AIMABLE	290	55	26	6	93	HCA34-61
COUREUR	BERTRAND	JASON	281	51	3	5	98	HCA34-62
COUREUR	DOLOBARATZ	PHOENIX	140	0	24	5	99	HCA34-63
COUREUR	LEVEILLE	BLANCHE	180	86	22	1	98	HCA34-62
COUREUR	PATIN	TRIMMER	260	44	15	5	93	HCA34-61
COUREUSE	LA LANDAIS	POMONA FR	280	23	21	4	95	HCA34-61
COURRIER	GALLIAS	PORCUPINE	190	74	28	4	96	HCA34-61
COURRIER D ESPAGNE	HERVE	EAGLE	140	0	2	11	98	HCA34-60
COURRIER DE LA MER								HCA
COURRIER DE LA MER	BOUILLERON	I./IJ/M-/.-.M						HCA
COURRIER DE LA MER	BOUILLERON	TRIAL	290	24	7	9	97	HCA34-62
COURRIER DE NANTES	LE CROIX	VULTURE PR	140	0	26	2	98	HCA34-62
CRASH	BYBEL	PLYADES	280	54	25	10	99	HCA34-63
CROCODILE	CHOSEL	SWAN CR	290	25	19	6	98	HCA34-62
CU								HCA
CULTIVATEUR	ROUX	AMESIA	280	0	7	4	98	HCA34-62
CURIEUX	HARAN	INCONSTANT FR	290	91	9	7	93	HCA34-61
CUSTIN	BOILLAN	SAVAGE	370	26	16	4	93	HCA34-61
CUSTINE	LEFEBVRE	HINDE	290	41	16	4	93	HCA34-61
CUSTINE	OREILLE	IRIS FR	200	36	16	4	93	HCA34-9
CUSTINE	OREILLE	IRIS FRI	200	36	16	4	93	HCA34-61
CUSTINE	TIERCE	GREYHOUND CR	360	47	4	5	93	HCA34-61
CYGNE	CART	DORIS	80	70	8	7	96	HCA34-61
D HAVRE ET CROY	PERREE	DUDGEON	190	0	15	5	93	HCA34-61
DAPHNE	LE CORPS	NANCY CR	290	25	13	6	97	HCA34-62
DAPHNE	LE FREYTE	ANSON FR	282	30	26	2	98	HCA34-62
DAUPHIN	///	TRITON FR	100	0	27	8	97	HCA34-62
DAUPHIN	DURAND	DRUID	280	0	9	7	93	HCA34-61
DE BRAVE	DITLOFFS	ALBATROSS	200	24	20	10	97	HCA34-62
DECADE	VILLENCAMP	MAGNANIME	283	19	2	10	98	HCA34-62
DECOUVERTE	MARTINEAU	UNITE	280	94	30	11	97	HCA34-62
DECRES	MICHEL	SURINAM SLOOP	280	76	17	12	7	HCA34-65
DEDAIGNEUSE	LACROIX	OISEAU	280	0	3	9	1	HCA34-60
DELPHINE	BOISCHANON	NIGER	290	32	6	2	98	HCA34-62
DEMOISELLE THERESE	///	DAPHNE PR	10	0	30	9	96	HCA34-61
DESIR	ANSIL	ORPHEUS	400	0	20	9	93	HCA34-61
DESIR DE LA PAIX	PALLISSIER	PHOENIX	140	0	28	6	0	HCA34-63
DESIRE	///	EAGLE	140	0	10	5	98	HCA34-62
DESIRE	DOMAIN	DISPATCH	110	0	22	11	99	HCA34-63
DESIREE	RENAND	SPIDER CR	280	18	13	5	96	HCA34-61
DETERMINE	BOINARD	REVOLUTIONAIRE	291	62	16	8	99	HCA34-63
DEUX AMIS	ALEXANDER	NEREUS	190	0	5	8	93	HCA34-61
DEUX AMIS	AMAUDIN	CONWAY	140	0	12	5	98	HCA34-62
DEUX AMIS	BENONT	DESPATCH	110	0	31	1	0	HCA34-63
DEUX AMIS	D ESCALIER	CONSTANCE	290	13	28	11	0	HCA34-60
DEUX AMIS	VUAVANT	ALCMENE	180	0	16	1	0	HCA34-63
DEUX ANDRES	JOURDAN	ORPHEUS	210	0	26	2	98	HCA34-62
DEUX COUSINS	AUDAIRE	ALLIGATOR	320	0	23	10	93	HCA34-61
DEUX COUSINS	MOURGUES	DIADEM	160	0	21	1	96	HCA34-61
DEUX COUSINS	ROY	CYNTHIA PR	110	0	28	10	1	HCA34-63
DEUX FRERES	///	POMONA	100	0	21	4	95	HCA34-61
DEUX FRERES	BALLET	CRUIZER,	370	46	2	7	99	HCA34-63
DEUX FRERES	DANIAS	DOUS	280	0	31	3	1	HCA34-63
DEUX SOEURS	BERTHOUISE	PILL	270	0	26	2	99	HCA34-63
DEUX SOEURS	MAILLET	ALLIGATOR	140	0	21	2	94	HCA34-61
DEUX SOPHIES	BOISSINNO	RESOLUTION PR	110	0	26	6	98	HCA34-62
DIABLE	LE MAITRE	THAMES	281	51	17	12	0	HCA34-63
DIABLE VOLANT	COUDRON	SWALLOW CR	410	27	27	1	97	HCA34-62
DIANA	LUND	CRESCENT	40	0	3	5	98	HCA34-62
DIANA	MAIN	DRUID	280	0	5	4	93	HCA34-61
DIDON	BROS	CIRCE	290	91	26	6	93	HCA34-61
DIDON	MILIAS	PHOENIX	283	30	2	10	5	HCA34-64
DIDON	MULOT	CERBERUS	280	29	23	2	97	HCA34-62
DIFFICILE	DUPLESSIS	PHOENIX	292	6	23	3	97	HCA34-62
DILIGENCE	///	LOTTERY PR	140	0	26	2	98	HCA34-62
DILIGENTE	METEIRIO	INCONSTANT	180	0	9	7	93	HCA34-61
DORADE	LEFEBVRE	JASON	280	53	12	6	1	HCA34-63
DORADE	MARTIN	CLYDE FR	340	91	26	2	98	HCA
DORINE	LAPASADE	PHOENIX	140	0	23	7	0	HCA34-63
DRAGON	LACHIVICE	CAMBRIAN	280	71	4	7	0	HCA34-63
DRAGON	LIARD	BUSY	370	38	1	11	99	HCA34-63
DRAGON	MULOT	NEW DAPHNE PF	230	22	7	4	98	HCA34-62
DROITS DE L HOMME	LA CROSSE	INDEFATIGABLE	399	99	30	3	97	HCA34-62
DUGUAY TROUIN	DUTACHE	DORIS	61	27	7	9	97	HCA34-62
DUGUAY TROUIN	LEQUE	SHANNON	61	36	7	4	98	HCA34-62
DUGUAY TROUIN	LOUFFET	STRACHANS SQ	285	50	18	12	5	HCA34-64
DUGUAY TROUIN	TREHOUART	ORPHEUS	215	0	5	7	98	HCA34-62
DUNKERQUOISE	DENYS	CERBERUS	61	4	21	6	97	HCA34-62
ECHANGE	REGIS	CERBERUS	280	0	6	11	99	HCA34-63
ECLAIR	CLAUPET	BADGER	90	0	2	7	99	HCA34-63
ECLAIR	LE FERRIER	LORD CUNCAN CR	80	0	5	2	1	HCA34-60
ECLAIR	PICORY	DRYAD	61	5	3	10	97	HCA34-62
ECLAIR	ROUBAUD	LEDA FR	161	70	13	11	93	HCA34-61
ECLAIRD								HCA
ECLAIRE	DUGUETZ	UNICORN	61	20	24	2	97	HCA34-62
ECUSEUIL	FIZILLIER	EAGLE PR	140	0	18	9	99	HCA34-63
EGALITE	CHEVALIER	HIND FR	100	48	15	6	93	HCA34-61
EGALITE	NORMAN	POMONE	100	12	26	2	98	HCA34-62
EGYPTIEN	MOSQUERION	MERCURY	290	42	8	4	0	HCA34-63
EIGLE								HCA
EL VELOZ	LA HERZA	CLYDE	280	0	2	10	0	HCA34-61
ELEONORE	DE TESTE	FERRET SL	200	31	21	1	96	HCA34-61
ELEONORE	SAUVAGET	DAPHNE LR	140	0	2	10	95	HCA34-61
ELEONORE	THOMAS	ALLIGATOR	320	0	16	8	93	HCA34-61
ELIZABETH	HENRY	ENTERPRIZE PR	140	0	4	11	96	HCA
ELIZABETH	MARTIN	IPHEGENIA	290	29	28	3	93	HCA34-61
ELIZABETH	MARTIN	IPHEN						HCA
EMANUEL	PETIT	THETIS PR	90	0	27	9	96	HCA34-61
EMILIE	BONOMY	CLEOPATRA	100	99	1	6	98	HCA34-62
EMOUCHET	LETOURNEUR	ALBATROSS SL	200	53	22	1	98	HCA34-62
EMPRUNT FORCE	CANU	POMONE	340	16	24	4	98	HCA34-62
EMULATION	VOLE	LOTTERY PR	140	0	26	2	98	HCA34-62
ENFANT	CUG	GALATEA	420	58	1	3	96	HCA34-61
ENGAGEANTE	DESGAREUX	CONCORD	283	2	29	5	94	HCA34-61
ENTENDU	MATHAU	JALOUSE	370	23	28	6	0	HCA34-63
ENTERPRISE	BRYON	UNICORN	280	17	2	12	96	HCA34-61
ENTERPRISE	EUSTACHE	SWAN CR	430	25	11	5	97	HCA34-62
ENTERPRISE	LAURIOL	DUKE OF YORK CR	430	27	27	9	96	HCA34-61
ENTREEPRENANT								HCA
ENTREPRENANT	BERNARD	ST FIORENZO	280	0	24	5	99	HCA34-63
ENTREPRENANT	MAHE	WEAZLE SL	10	18	27	1	98	HCA34-62
ENTREPRENANT	PODESTA	SUCCESS	220	36	31	3	1	HCA34-63
ENTREPRENANT	VARRIERE	JUNO FR	290	28	16	4	93	HCA34-61
EOLE	HERVIEUX	GRAND FALCON	290	0	23	2	97	HCA34-62
EPEIVEL	///	SWAN	290	20	28	1	0	HCA34-63
EPERVIER	DANET	CERBERUS	61	20	22	1	98	HCA34-62
EPERVIER	HAMMOND	FAIRY	90	22	8	2	99	HCA34-63
EPERVIER	LE VALTON	SWAN	280	14	16	4	93	HCA34-61
EPERVIER	POISSON	PLYMOUTH LR	280	30	3	3	97	HCA34-62
EPERVIER	VALET	FLORA CR	80	26	21	6	96	HCA34-61
ERINGOBRAK	HONEYWELL	PLOVER	380	44	22	1	99	HCA34-63
ESPEIGLE	DREAU	PHOENIX	240	31	13	7	97	HCA34-62
ESPEIGLE	KENNELL	AURORA FR	180	54	6	2	98	HCA34-62
ESPEIGLE	TOURNEAUX	MELPOMENE	290	30	21	6	97	HCA34-62
ESPERANCE	ALLONNEUX	DRUID FR	280	67	9	7	93	HCA34-61
ESPERANCE	BASSET	GRAND FALCONER	290	16	21	6	97	HCA34-62
ESPERANCE	HAMEL	ENTERPRISE PR	140	0	21	1	97	HCA32-62
ESPERANCE	LAURENT	NETTLEY	180	36	28	6	0	HCA34-63
ESPERANCE	LAUTONNE	HARPY FR	90	29	26	2	98	HCA34-62
ESPERANCE	LE VISAGE	LOTTERY PR	140	0	6	2	98	HCA34-62
ESPERANCE	ORSONNEAU	RESOLUTION	360	0	6	11	93	HCA34-61
ESPERANCE	RAUSE	CERBERUS	60	0	10	12	99	HCA34-63
ESPERANCE	SEILLE	DIAMOND	0	52	27	1	97	HCA34-62
ESPION	MOGENDIE	LIVELY FR	281	40	9	4	95	HCA34-61
ESPOIR	BASSET	OISEAU	280	66	21	4	1	HCA34-63
ESPOIR	CODDERIN	VIPER CR	440	16	11	8	97	HCA34-62
ESPOIR	DE LATTRE	M DE COBOURG	90	18	8	12	97	HCA34-62
ESPOIR	DESPEREUX	KINGFISHER SL	180	39	21	3	98	HCA
ESPOIR	LE ROUX	CRESCENT	111	25	9	7	93	HCA34-61
ESPOIR	MAG							HCA
ESPOIR	MARGNOT	KINGFISHER SL	280	0	7	9	95	HCA34-61
ESPOIR	MARGNOT	KINGSH						HCA
ESPOIR	PETIT	LADY CHARLOTTE	280	22	12	6	1	HCA34-60
ESTHER	RABION	EAGLE PR	140	0	30	3	98	HCA34-62
ETOILE	BERTHELIN	ARTOIS	100	40	27	4	96	HCA34-61
ETOURDIS	BOURBEAUX	MARIN LR	450	23	-1			HCA
ETOURDIS	BOURBEAUX	MARIN LR	450	23	13	6	97	HCA34-62
ETRIA	COUDRE							HCA
ETRIA	LACONDRAIS	MELAMPUS	291	37	14	12	96	HCA34-61
EUGENIE	HERAND	CLEOPATRA	61	7	1	6	98	HCA34-62
EVEILLE	HONORE	CONCORDE FR	100	90	7	5	96	HCA34-61
EVEILLE	RAYMOND	TROMPEUSE	60	87	27	7	96	HCA34-61
EXPEDITIF	BARRAS	THOMAS	190	0	23	5	93	HCA34-61
EXPEDITIF	DORRAS							HCA
EXPEDITION	///	INCONSTANTE FR	310	70	9	6	96	HCA34-61
EXPEDITION	CARROY	GALATEA	101	8	2	6	95	HCA34-61
EXPEDITION	CARROY	GALATEA	101	8	2	6	95	HCA34-61
EXPEDITION	CARROY	GALATEA	101	8	2	6	95	HCA34-61
EXPEDITION	MARIE							HCA
F	O	MONTAGU	280	0	18	12	0	HCA34-63
FABRIUS	DUPUIS	DORIS FRIGATE	61	40	4	11	97	HCA34-62
FANTAISIE	CARIDON	JALOUSIE	440	33	10	1	0	HCA34-63
FANTAISIE	LECLERC	FERRET SL	90	36	23	5	93	HCA34-61
FANTAISIE	SEPTAM	GALATEA	100	60	29	6	96	HCA34-61
FASCEUR	FORGEN	DISPATCH	110	0	1	11	99	HCA34-63
FAVOURITE	LE GUE	HIND	280	59	24	2	97	HCA34-62
FEDERATIF	LACROIX	PR OF WALES	190	0	11	5	93	HCA34-61
FELICITE	BOCHER	ENTERPRISE PR	140	0	4	11	96	HCA34-61
FELICITE	O	WARRENS SQ	100	0	13	5	96	HCA34-61
FELICITE	THOMAS	VULTURE PR	140	0	13	9	97	HCA34-62
FELICITE	VOLE	WARRENS SQ	280	0	31	7	0	HCA34-63
FELIX MERITES	SORGINT	MARS	290	0	3	9	95	HCA34-61
