SHIPNAME	GETM	CAPTAINNAME	OWNER	PORT	TONNAGE	CANONS	CARRON	SWIVEL	CREW	CAPTURED/NOT	UNDOC_1	CRUISEYEAR	UNDOC_2	CONSTRUCTION_YEAR
BRAVE		CARDI		MLG		10			65	T		1812		
BRAVE MARSEILLAIS			DEGUILLON VAUBOUHE	MAR	60							1793		
BRAVE NO 2		VANVLIEME HENRI		DUN		4			24			1811		
BRAVE SANS CULOTTE		DUBERQUE	FABVRE	MAR							1	1799		
BRESTOIS		GALLOIS	LAMARTINIERE FLOCH	STM	220	14			102			1810	2	1810
BRESTOIS		GALLOIS	LAMARTINIERE FLOCH	STM	220	14			102			1811		1810
BRESTOIS		GALLOIS	LAMARTINIERE FLOCH	STM	220	14			102			1812		1810
BRILLANT		BAILLY	CHEGARAY LAROULET	BAY		4		6	45			1803	1	
BRILLIANT		BAILLY	CHEGARAY LAROULET	BAY		4		6	45			1804		
BRIMBORION		KISCH	ANDRIEL ET WOLFF	DAN		8		1	19			1811		
BRUNE		DESPEITZ	SEGUR	BOR		16			165	T		1797		
BRUNETTE		CHERPUY	SEGUR	BOR	120	12			80	T		1797		
BRUTUS		GARON SIMON	CONSTANTIN SIMON	BAS								1797		
BRUTUS		CARLO J	BARNIGARAY	CAD	30	6			50	T		1798		
BRUTUS		GIACOBIM SILV	SEMIDEC NIC	BAS	12	2			19			1800		
BUCAILLE		FOURMENTIN JN	MERLIN DUBROEUIL	BOU	60	14			54		1	1808	1	1808
BUCAILLE		FOURMENTIN	MERLIN DUBROEUIL	BOU	60	14			54	L	1	1809		1808
BUONAPARTE		MUELENAER JN	SALOMON ET CIE	DUN	177	15			82	T		1796		1786
BUONAPARTE		RAIMOND HONORE	SEIGNEUR ALEX BRED	BRE	150	16		8	140	T		1796		
BUONAPARTE			PECHE LOUIS	BAY	75	14			76			1797		
BUONAPARTE		BOULANGER		BAY								1797		
BUONAPARTE		ROUXEL	RAVALEUX ET CIE	STM	32	4			28	T	1	1797		1797
BUONAPARTE				BOR								1798		
BUONAPARTE			PECHE LOUIS	BAY	75	14			76			1798		
BUONAPARTE		COLLARD	CAUVET	HAV	58	8			44			1798		1798
BUONAPARTE		LAUZUC FRAN	MARQUEFOY	BAY	31	1			15			1798		
BUONAPARTE		LAUZUC FRAN	MARQUEFOY	BAY	31	1		8	15			1798		
BUONAPARTE		COLLARD	CAUVET	HAV	58	8			44			1799		1798
BUONAPARTE		LAUZUC FRAN	MARQUEFOY	BAY	31	1		8	15			1799		
BUONAPARTE		HOULIN CHAS	BOULABERT	CHE	64	14			37			1800		1800
BUONAPARTE		HOULIN CHAS	BOULABERT	CHE	64	14			37			1801		1800
CAIMAN			BLACK ALEX	CHE								1803		
CALAISIEN		JOLLY		DUN		14			59			1800		
CALAISIEN PRIZE		LAMY JACQ	DEVOT ET CIE	CAL	15	4			18	T		1798		
CALIPSO		ROSETTI JEAN	ORCELLET OF GRENOB	BON	30	3						1800		
CALISTE	G ET M		LARROQUE FAURE	ROC		6			43	T		1808		
CALUADOS		DE LATTRE		BRE	40	6			33	T		1796		
CAMI		POLLET JN BAPT	GASSER TIESSET	BOU	100	9			58			1809	1	1809
CAMI		POLLET JN BAPT	GASSER TIESSET	BOU	100	9			58	T		1810		1809
CAMUS									24	T		1800		
CANARD		MOLINARY	SILVY JOSEPH NEG	MAR	178					T		1797		1794
CANTABRE		HIRIART JEAN	RECUR	BAY	120	14			43	T		1798		
CAPITAIN THUROT PR		PERY	MAZURIER JEUNE	HAV	25	2			20			1797		
CAPITAIN THUROT PR		PERY	MAZURIER JEUNE	HAV	25	2			23	T		1798		
CAPRICIEUX		LEBEU TOUSS	BEAUDELOCQUE SANDU	BOU		14		4	60			1799		
CAPRICIEUX			MILLON	CAL								1808		
CARAMAGNOLE		SCAGIOLA ANT	SAPEY ET ROSSI	COR	6	1		2	21			1797		
CARMAGNOLE		CHEVALIER PRE		DUN	15	6			25			1793		
CAROLINE			COSSIN	NAN							1	1797		
CAROLINE		BERTHAUD GUILL	COSSIN FELIX	BAY	200	18			71	T		1798		
CAROLINE		BOTTE	SAUVAGE CHAIGNEAU	BOR		10			115			1801		
CAROLINE		DUGUE	NICOLLE	HAM	80	8			45	T		1803		
CAROLINE		DAUDERO JEAN	TRABAN FRERES	TOU	18	2			43			1811		
CAROLINE PRIZE		CRESPIN	BENIS ET CIE	NAN	90	12		1	66	T		1803		
CARTOUCHE		LEFEVRE	DAVIES THOS	HAV	43	4						1796		1795
CARTOUCHE		BENOIST PRE		DUN	15							1797		
CARTOUCHE		VANVLIEME JN		DUN		5		2	20			1798		
CASTOR		LE REDDE LUC	GUILLEMANT BOD MEN	STM	68	4			50	T		1797		1797
CATHERINE		SWARDROFF		DUN								1798		
CECILE		HARDY	FLAIRIAU ET JAMONT	NAN		14	2		150			1797		1797
CERBERE		BRAUZON	GUILHEM AINE MART	BRE	95	4			69			1798		
CERBERE		BRAUZON	GUILHEM AINE MART	BRE	95	4			69			1799		
CERBERE		BRAUZON	GUILHEM AINE MART	BAY	95	4			69	T		1800		
CERBERUS DU NORD			ROUZE EMMANUEL	AMS								1809		
CERF		DE BELLONCLE P	DUBRIE	DUN	41	1	4	8	41			1811	1	
CERF		DE BELLONCLE P	DUBRIE	DUN	41	1	4	8	41	T		1812		
CERF VOLANT		MARGOLLE	GOREAU VICTOR	CAL	60	14			63	T		1797		1796
CERF VOLANT			RABION AINE	CAL								1810		
CESAR		BEDEL ANT	DUPUY FROMY ET FLS	STM	153	12			80	T		1798		1772
CESAR			CASTINEL	CAL	60	4	5		69			1810		1810
CESAR PRIZE		ROGER PRE	OLIVIER	HAV	40	6			19			1796		1790
CESAR PRIZE		ROGER PRE	OLIVIER	HAV	40	6			19			1797		1790
CHAR NOIR		MAGNE JEAN	LASSERRE	STJ	8			5	23			1810		1790
CHARLEMAGNE				GEN		6			80			1811		
CHARLES		PLASSARD	BAOUR GARESCHE FRS	LAR	124	14			36	T		1809		
CHARLES			LAFARGUE BAOUR	LOR	300	20				T		1810		1809
CHARLES			COQUET	SVA								1812		
CHARLES FORTUNE			SERVAN PIERRE	DIE						W		1810		
CHARLOTTE			BRACK CHAS NEG	MAR	18							1793		
CHARLOTTE			MARTIN JN BAPT	MAR	18						1	1793		
CHARLOTTE			LEBRETON AUTIER	LOR								1806		
CHARLOTTE		QUIMPER T	GOUGEARD E CORDON	LOR	170	14			103			1806	1	1803
CHARLOTTE		QUIMPER T	GOUGEARD E CORDON	LOR	170	14			103	T		1807		
CHASSEUR		DARRIBEAU JOS	DESPUYEUX	BAY	90				62			1796		
CHASSEUR		AVEZON FRAN	BELLY ET LEFORT	BOR	80	6			47	T		1797		
CHASSEUR		DARRIBEAU JOS	DESPUYEUX	BAY	90				62			1797		
CHASSEUR		NIEPORT J	DAUCHY OF DUNKIRK	HON	66	4			48	T		1798		
CHASSEUR		JULIEN GILLES	ROUXEL THOS	STM	30	14			30	T		1800		1799
CHASSEUR		BLANCKEMAN ET		DUN	120	14			63			1801		
CHASSEUR		LION FRANCOIS	REANZ DEVRIES	DUN	31	2						1803		
CHASSEUR	G ET M	LEMER JACQUES	SAUVE ET BERTRAND	LOR	19	1			19	T		1803		
CHASSEUR		CAILLIEZ	REANZ DEVRIES	DUN	32	2			35			1805	2	
CHASSEUR		CAILLIEZ	REANZ DEVRIES	DUN	32	2			35			1806		
CHASSEUR		DELATTRE C		DUN	32	2			24			1806		
CHASSEUR		FOURMENTIN J	DECARPENTRY FILS	DUN	48	16			42			1806	1	
CHASSEUR		CAILLIEZ	REANZ DEVRIES	DUN	32	2			35	T		1807		
CHASSEUR		FOURMENTIN J	DECARPENTRY FILS	DUN	48	16			42	T		1807		
CHASSEUR		LICHIGARRY	LAPORT DULUC	BAY								1810		
CHASSEUR				GEN		6			68			1811		
CHASSEUR BASQUE		DARRIBEAU	SAUVINET DARRICAR	BAY	70	2			61			1797		
CHASSEUR BASQUE		MONGRUE	SAUVINET DARRICAR	BAY	70	2			61			1798		
CHASSEUR VOLANT		DETCHEVERE	LAFITTE SIGARROA	STJ	10			4	20			1796		
CHASSEUR VOLANT		DETCHEVERE	LAFITTE SIGARROA	STJ	10			4	20			1797		
CHAT NOIR			MONSERIE ET DIHINE	STJ								1809		
CHAT NOIR		MAGNE JEAN	LASSERRE	STJ	8			5	23			1809	1	1790
CHAUVELIN		GRENIER CHAS	MAUGUET	FEC	60	10		0	53	T		1793		1792
CHERCHE APRES		LION GASPARD		DUN								1800		
CHERI		PILLET	RICHER FRS ET CIE	NAN	600				174		1	1797		
CHERI		CHOSSIN PIERRE	RICHER FRS ET CIE	NAN	600				174	T	1	1798		
CHEVALIER FORTUNE		VEENS JEAN		DIE						W		1810		
CHIFFONETTE		GUERIN JEAN	BONNEL ET FOUSSAT	BOR	80	12			79	T		1803		1801
CINQ AMIS		POLLET JEAN	GASSER TIESSET MME	BOU		6	2		78			1809	1	
CINQ AMIS		POLLET JEAN	GASSER TIESSET MME	BOU		6	2		78	T		1810		
CITOYEN		LECQUE		LOR								1793		
CLAIR		BOUMAIZE							50			1795		
CLAIRVOYANT		LICHIGARRAY	LASSERRE	BAY	24							1798		
CLAIRVOYANT		LICHIGARRAY	LASSERRE	BAY	24							1799		
CLAIRVOYANT		LANCHON		DUN	30				23			1800		
CLAIRVOYANT		SEILLE JEAN		DUN	30				23			1801		
CLAIRVOYANT		SPARROW VICTOR		DUN	45				55			1801		
CLAIRVOYANT			DELAUNAY AINE	DIE	33	2			21			1808	1	
CLAIRVOYANT			DELAUNAY AINE	DIE	33	2			21			1809		
CLARICE			COSSIN	NAN		6			130		1	1798		
CLARICE		LEMEME FRAN		ILE	200	20			148	T		1800		
CLARICE				BAY								1811		
CLARISSE		PINAN	PITOT ET JURY	ILE	200	12			157	T		1803		
CLARISSE		GEFFROY GILLES	VILLEHUCHET LA CH	STM	40		3	2	57			1806	3	1806
CLARISSE		GEFFROY GILLES	VILLEHUCHET LA CH	STM	40		3	2	57			1807		1806
CLARISSE		GEFFROY GILLES	VILLEHUCHET LA CH	STM	40		3	2	57			1808		1806
CLARISSE		GEFFROY GILLES	VILLEHUCHET LA CH	STM	40		3	2	57			1809		1806
CLAUDE			ANDRIEL ET WOLFF	DAN								1811		
CLAUDE		KLIMRATH JEAN		DUN								1811		
CLUB		TRIPHAGUE		CHE							1	1801		
COCYTE		LA DIORE ET	GUILHOM LEVOIR KER	LNN	27	2			33	T		1797		1797
COLOMBE		DARRIBEAU JOS	CHEGARAY	BAY	76	12			66	T		1798		1798
COMETE		CUGNEAU	BALGUERIE JR	BOR	265	14			60	T		1814		
COMPERE MATHIEU		DUMAY POLLET		DUN					20			1812		
COMPERE MATHIEU		DUMAY POLLET		DUN					20			1815		
COMTE D HUNEBOURG		FAUQUEUX		DUN	72	14			50			1810		
COMTE DE LEMPIRE		VAUDAMME	VAUDAMME SALOMEZ	DUN	59	2	4		29			1810		
COMTE DE VAUVILLE		CLEMENT	ABBE OF BREST	CHE	28			2	16			1813		
COMTE HUNEBOURG		GUILLEBAUD JN	THOMAS AUGUSTIN	STM	80	14	1		53			1809	1	
COMTE HUNEBOURG		GILLEBAUD JN	THOMAS AUGUSTIN	STM	80	14	1		53	T		1810		
COMTESSE AMERICAIN				TOU								1810		
COMTESSE D HUNEBURG		FAUGUEY PRE	ROUZE EMMANUEL	DUN	72	12	6		50	T		1810		1810
COMTESSE DE MONTALIV		ET LE REDDE J	LE MENGNONNET PERE	GRA		14			56	T		1810		
COMTESSE DORSENNE			DECLERCK J	DUN								1809	1	
COMTESSE DORSENNE			DECLERCK J	DUN						T		1810		
COMTESSE LAURE			CHEGARAY FRS BESS	LAR		14			53	T		1809		
CONCEPTION				COR								1804		
CONCORDE			BENET XAVIER	MAR	101							1803	2	
CONCORDE			BENET XAVIER	MAR								1804		
CONCORDE			BENET XAVIER	MAR						T		1805		
CONFIANCE		QUIROUARD	COSSIN FELIX	NAN	300	12			105			1797		
CONFIANCE			CONTE ET TAUDIN	BOR								1798		
CONFIANCE		QUIROUARD	COSSIN FELIX	NAN	300	16			115			1798		
CONFIANCE			DUGRAY OF LORIENT	NAN								1799		
CONFIANCE		PEVRIER							300	T		1799		
CONFIANCE		SURCOUF ROBT	CONTE ET TAUDIN	BOR								1803		
CONFIANCE		POTIER JOSEPH	SURCOUF	STM	70	2			72		1	1805		1803
CONFIANCE		VERRON JEAN	GAUTIER LE JEUNE	STM	70	6			65			1806	1	1805
CONFIANCE		VERRON JEAN	GAUTIER LE JEUNE	STM	70	6			65			1807		1805
CONFIANCE		VERRON JEAN	GAUTIER LE JEUNE	STM	70	6			65			1809	2	1805
CONFIANCE		VERRON JEAN	GAUTIER LE JEUNE	STM	70	6			65			1810		1805
CONFIANCE		LE MAIRE	GAUTIER LE JEUNE	STM	90				74			1811	1	1811
CONFIANCE		VERRON JEAN	GAUTIER LE JEUNE	STM	70	6			65	T		1811		1805
CONFIANCE		LE MAIRE	GAUTIER LE JEUNE	STM	90				74	T		1812		1811
CONFIANCE		MONGRUE LARTIG	GOUZE	BAY	20	2		2	25			1813		1806
CONQUERANT				COR								1810		
CONSTANCE		LERAY BAZILLE	COSSIN FELIX	NAN	150	16			92			1797		
CONSTANCE		LERAY BAZILLE	COSSIN FELIX	NAN	150	16			92	T	1	1798		1796
CONSTANCE		BLANCHARD FR	THOMAS	STM	40	14			56			1806	1	1803
CONSTANCE		BAUTELLIER AUG	THOMAS AUGUSTIN	STM	40	14			47			1807		1805
CONSTANCE		BLANCHARD FL	THOMAS	STM	40	14			56			1807		1803
CONSTANCE		DOYHAMBEHERE	LABROUCHE	BAY	12				14			1813	1	
CONSTANCE		DOYHAMBEHERE	LABROUCHE	BAY	12				14			1814		
CONSTANT		MARTEN		DUN	20			6	16			1793		
CONSTANT				TOU								1809		
CONSTERNE				NAN								1798		
CONTRE AMIRAL MAGON		BLANKMANN	REANZ DEVRIES	DUN	126	14			81	T		1804		
COQ				GEN								1811		
COQUETTE		HAIGNERE JEAN		DUN					30			1798		
COQUETTE		MANESCEAU	DESTABARATS	STJ	12				9			1798		
CORINE			GUERTIN PIERRE	NAN								1799		
CORNELIA	G ET M	LEQUESNE	BALGUERIE	ROC		2			14	T		1808		
CORO		LARREGUY M	LABROUCHE PASSEMNT	STJ	8			2	22		1	1796		
CORO		LARREGUY M	LABROUCHE PASSEMNT	STJ	8			2	22		1	1797		
CORSAIRES DE MOLENE												1814		
CORUNESA		TORTEAU		CRN	150	6			85	T		1800		
COTENTIN		POUPEVILLE	MAUGER ET FILS	CHE	36	2			22	T		1797		1796
COUP DESSAI		LE MESLE	BLANDIN	LAH	25	2			28	T		1796		1796
COURAGEUSE		ROUTTIER NIC	MORAND FELIX	BOU	16				20			1811	2	1811
COURAGEUSE		ROUTTIER NIC	MORAND FELIX	BOU	16				20			1812		1811
COURAGEUSE		ROUTTIER NIC	MORAND FELIX	BOU	16				20			1813		1811
COURAGEUX		DEFRAYE		DUN		8						1794		
COURAGEUX		MEQUET	DUCHENE PINTEDEVIN	STM	53	3			40			1797		1797
COURAGEUX		BERNARD JN	SEGUR	BOR					248			1798		
COURAGEUX		BLANCHARD	DUCHENE PINTEDEVIN	STM	53	3			40			1798		1797
COURAGEUX		DOUSSINAGUE	LARROULET	BAY	18	1			23			1798		
COURAGEUX		MALO GASPARD		BOU	34							1798		
COURAGEUX	G ET M	LANGLOIS EUG	SEGUR	BOR	420	26			196			1798		
COURAGEUX		BEAUMONT	DUCHENE PINTEDEVIN	STM	53	3			40			1799		1797
COURAGEUX		BECK FRANCOIS	SEGUR OF BORDEAUX	BAY	420	26			208			1799		
COURAGEUX		BERNARD JN	SEGUR	BOR					248	T		1799		
COURAGEUX		DOUSSINAGUE	LARROULET	BAY	18	1			23			1799		
COURAGEUX		VAN VLIEME JN	MICHAUD ET CIE	DUN	60	14			47	T		1799		
COURAGEUX		HIRRIBARREN MAR	PECHE LOUIS	BAY	50	4			30			1800		
COURAGEUX		LE GRAND ALEX	DUCHENE PINTEDEVIN	STM	53	5			44	T		1800		1797
COURAGEUX		PELTIER	BEAUCHEF	STM	15	2			17	T		1801		
COURAGEUX			ALBERTIN VELU	LEG								1803		
COURAGEUX		SAUVEUR JEAN	DUCHENE ET PINTED	STM	20	1			23			1811	1	1811
COURAGEUX		SAUVEUR JEAN	DUCHENE ET PINTED	STM	20	1			23	T		1812		1811
COURBIER				STM								1810		
COUREUR		BERNIER JEAN	LETHUILLIER	FEC	90	10			55	T		1793		1784
COUREUR		CLAIRAULT LED	CLAIRAULT AIMABLE	STM				4	12			1793		
COUREUR		PATIN							44	T		1793		
COUREUR		BERTRAND JN	BERTRAND ET ARNOUS	LOR	450	24			151		1	1797		
COUREUR		CAUCHOIR		HAV					18			1797		
COUREUR		LEAU JEAN	THOURON	LAR	90	16			75			1797		
COUREUR		LEVEILLE	DUVAL JEUNE	LOR	180	14	2		86	T		1797		
COUREUR		BERTRAND	BERTRAND ET ARNOUS	LOR	450	24			151	T	1	1798		
COUREUR			SAVARY JEAN	NAN	180	16			124			1799		
COUREUR		DOLABARATZ GAB	DOLABARATZ GAB	STJ	45				37	T		1799		
COUREUR			SAVARY JEAN	NAN	180	16			124	T		1800		
COUREUR		ARNAULD PRE							125	T		1800		
COUREUR		BOUCHARD ROBT	LAFOIREZ CADET	BOU								1800		
COUREUR		BOUCHARD ROBT	LAFOIREZ CADET	BOU								1801		
COUREUR		BLACK ALEX	BLACK CHARLES	CHE	65	18			48	T		1807		
COUREUR		SEGUR PIERRE	TESTA	DUN								1807		
COUREUR				NAN								1811		
COUREUR		DUHOLMARD	HALOT BARETTE ETCO	STM	40				26			1813		1813
COUREUR PRIZE		GALLAIS	FICHET JOSEPH	STM	85	8		8	67	T		1796		
COURIER DE LA MANCHE		LE ROY JEAN	CANNEVA ET CIE	STM	70	10			46			1806	2	
COURIER DE LA MANCHE		LE ROY JEAN	CANNEVA ET CIE	STM	70	10			46			1807		
COURIER DE LA MANCHE		LE ROY JEAN	CANNEVA ET CIE	STM	70	10			46	T		1808		
COURIER DE LA MER		MOUILLERON	RICHIER PIERRE	CHE	32				24	T		1797		1797
COURIER DE TERRE NVE		LE GUE	GUIBERT MAT	STM	137	4			54	T		1803		1797
COURRIER				STM		14			54			1811		
COURRIER DE MARSEILL			ANTOINE ANT NEG	MAR	240							1793		
COURSIER		GONIDEC	KMEL ET DELORME	STM	101	14			54			1810	4	1810
COURSIER		GONIDEC	KMEL ET DELORME	STM	101	14			54			1811		
COURSIER		GONIDEC	KMEL ET DELORME	STM	101	14			54			1812		
COURSIER		GONIDEC	KMEL ET DELORME	STM	101	14			54			1813		
COURSIER		POIRIER YVES	DELORME VILLEDAULE	STM	101	14			63			1813		1810
COURSIER		GONIDEC	KMEL ET DELORME	STM	101	14			54			1814		
CREOLE				BOR		14			111			1811		
CROCODILLE			GAUVAIN	HAV	34	14			40			1797		1796
CROCODILLE		CHOSEL AUG	LIAIRE VVE AINE	CHE	21	2			25	T		1798		
CUPIDON		PELLET ET	LABROUCHE	BAY					99					
CURIEUX		MASSET	DUCARNOY HUBERT	BOU	83	16			46		1	1809	3	1809
CURIEUX		MASSET	DUCARNOY HUBERT	BOU	83	16			46		1	1810		1809
CURIEUX		MASSET	DUCARNOY HUBERT	BOU	83	16			46		1	1811		1809
CURIEUX		MASSET	DUCARNOY HUBERT	BOU	83	16			46	W	1	1812		1809
CUSTIN		BOILLAN THOS	DE MEURICE	DUN	25			6	26	T		1793		
CUSTINE		KPOISSON	CROQUEVILLE	STM		4			23			1793		
CUSTINE		LEFEBVRE JN	MOISY	HAV	50	8		6	41	T		1793		
CUSTINE		OREILLE	ALTAZIN	DUN	60	4			36	T		1793		
CUSTINE		TIERCE	MOUSQUERON GUILL	CHE	40	6			47	T		1793		1793
CYGNE		CORNU	FONTAINE LOUIS	BOU								1798		
DAME ERNOUF		GRASSIN	BERTRAND ET FEYDAU	NAN	185	2	4		40			1809		
DAPHNE		LE CORPS B	EICHO F W FILS	CHE	33	2			25	T		1797		
DAUPHIN		ETCHEVERY	BASTERRECH FRERES	BAY					65			1809		
DAUPHIN				GEN		2			36			1811		
DAUPHIN		TRUQUET	RIESENTHAL	BOU								1813	1	
DAUPHIN		TRUQUET	RIESENTHAL	BOU								1814		
DAUPHIN BLT USA		PATOT	BERTIN JACOB	MAR	80					T		1793		1786
DECIDE				BOU								1797		
DECIDE		NOEL MICH JNE	CAMBON PRE	BOR	180	16			119			1797		
DECIDE		BECK		BAY					110			1798		
DECIDE		DUCAMP GASP		DUN		1		2	20			1798		
DECIDE		HARISBOURE MICH	LANUSSE VVE ET CIE	STJ	8				11			1798		
DECIDE		NOEL MICH JNE	CAMBON PRE	BOR	180	16			119			1798		
DECIDE		GUILBAUT	HAVARD ET CIE	STM	12	2			17			1800		1799
DECIDE				COR								1806		
DECIDE		MALO GASPARD	LE MAIRE	DUN	50	2			51	T		1807		1806
DECIDE		MALO GASPARD	LE MAIRE P	DUN	50	2			51			1807	1	1806
DECIDE			BALGUERIE JR	BOR		18			135			1809		
DECIDE			LE MAIRE P	DUN								1809		
DECIDE				BAY								1811		
DECIDE			LASSERRE	STJ	7	1		4	22			1812	1	1812
DECIDE				CON								1813		
DECIDE			LASSERRE	STJ	7	1		4	22			1813		1812
DEDAIGNEUSE		LACROIX PREVOST							284	T		1801		
DELLE		KEASBERY THOS Y		DUN								1793		
DELPHINE		DE BOISHANSON	AMIEL ET LE MOYNE	STM	35	4			35	T		1797		
DELPHINE			CASTRO FILS	BAY								1812		
DELPHINE		LISSABE PIERRE	LABARTHE AINE	BAY	12			4	8			1813		
DESAIX		DESAIX PRE	BOUCHARD FILS	BOU	36	14			53			1801		
DESIRE		DECAMP G		DUN								1798		
DESIRE		DEBACKER MICH	DEVILLE OF MARS	DUN	27	6			33			1813	1	
DESIRE		DEBACKER MICH	DEVILLE OF MARS	DUN	27	6			33			1814		
DESIREE		RENAND							18	T		1796		
DESIREE		LEFEVRE PLANCY		DUN		34	4					1800		
DETERMINE		DAVET JN	BELLY ET LEFORT	BOR	400	18			162			1798		
DETERMINE		DAVET JN	BELLY ET LEFORT	BOR	400	18			162	T	1	1799		
DETERMINE		MAGNES	PATTO ET LAROULET	BAY						W		1801		
DEUX AMIS		PELLOT ET	ALEXANDRE	CAY	50	8			68			1798		
DEUX AMIS		GOIS PIERRE	ALEXANDRE	BAY	50	12			34			1799		
DEUX AMIS		DESCALIER JACQ	LESCALIER BERN	CHE	9				13	T		1800		
DEUX AMIS		SANCIE FRANC	CHEGARAY FR LAROUL	BAY	22			4	17			1801		
DEUX AMIS				BRE								1809		
DEUX FANNY			GAUTIER	STM								1813		
DEUX FRERES		BENOIT PRE		BOU		6			38			1798		
DEUX FRERES		BALLET JACQ	DEVOT ET CIE	CAL	54	4			46	T		1799		1797
DEUX FRERES		LEFEBURE	DELAUNAY FRERES	BOU								1804	2	
DEUX FRERES		LEFEBVRE	DELAUNAY FRERES	BOU								1805		
DEUX FRERES		LEFEBVRE	DELAUNAY FRERES	BOU								1806		
DEUX FRERES		TIBOU HENRI	MASSET VIGNIER	FEC	61	14			47			1806	1	1805
DEUX FRERES		TIBOU HENRI	MASSET VIGNIER	FEC	61	14			47	T		1807		1805
DEUX FRERES		NICOLE CASIMIR	FORTAN	STM	25	2			28	T		1808		1808
DEUX FRERES		LEDRU LOUIS	GUILMARD FRERES	CAL	50	14			62			1810	1	1810
DEUX FRERES		LEDRU LOUIS	GUILMAR FRERES	CAL	50	14			62			1811		1810
DIABLE A QUATRE		LEMAITRE LS	ARNAUD ALEX	BOR	250	16			151	T		1800		
DIABLE A QUATRE			LAFOIRET VVE OFBOU	AMS								1809		
DIABLE A QUATRE		OLIVIER		DUN	58							1809		
DIABLE VOLANT		CAUDRON ANT	FONTAINE ET GALLET	BOU	18	2		6	27	T		1796		
DIABLE VOLANT		DELATTRE FR	PODEVIN GUILL	BOU	9			2	27	T		1796		
DIABLE VOLANT		LELONG JOSEPH	FONTAINE LS	BOU								1797		
DIANE		GUILLOT	GUILLOT NOGER	ROC	480	14			70	T		1808		
DIDON		BREE AUGUSTIN	NAU R AINE	NAN	300	18		9	91	T	1	1793		
DIDON		MULOT PRE	PIMAR JACQ	GRA	24	2			28	T	1	1796		1796
DIFFICILE		DUPLESSIS LS	GUILHEM AINE	BRE	250	18			206			1796		
DIFFICILE		DUPLESSIS LS	GUILHEM AINE	BRE	250	18			192	T	1	1797		
DILIGENCE			GAUTIER LE JEUNE	LOR								1813		
DILIGENT		LERMETS BERN	DETCHETTE CIBOURE	STJ	26	1		7	18			1796		
DILIGENT			LAROULET JN	BAY	8			4	15			1798		
DILIGENT		DOUSSINAGUE DOM	LAROULET	BAY	36	4			15			1798		
DILIGENT	G ET M	LERMETS BERN	DETCHETTE CIBOURE	STJ	26	1		7	18			1799		
DILIGENT		GRASSIN	RATEAU	QUI								1810		
DILIGENT				BRE		6			140			1811		
DILIGENT		GRASSIN	GOYON ET CIE MARS	QUI							1	1811		
DILIGENT			GOYON ET CIE MARS	NOR							1	1812		
DILIGENT		VERRON	GAUTIER LE JEUNE	NAN	168	4	9				1	1813	1	
DILIGENT		VERRON	GAUTIER LE JEUNE	NAN	168	4	9					1814		
DILIGENT PREV ESPOIR		SANLAT PRE	SAUVINET ET FILS	SNT		6			28			1799		
DINANNAIS			RAVALEUX JEAN	STM								1805		
DIT				CHE								1811		
DIX HUIT FRUCTIDOR		CASTELEYN CHAS		DUN		1			17			1798		
DOMINICAIN		FERAUD ANTOINE	DUVAL BERNARD	SLA							1	1812		
DON QUICHOTTE		LESSIGUES	LEVRET AUG OFPARIS	BRE	83	16						1797		
DON QUICHOTTE		LESSIGUES	LEVRET AUG OFPARIS	BRE	83	16						1798		
DONIBARET		DETCHEVERS VINC	RECUR	SOC	8				7			1798		
DORADE		BACLIN CHAS		DUN				4	15			1796		
DORADE		MARTIN MICHEL	FERAND ET CIE	BOR	80	12			91	T		1797		
DORADE		LEFEBRE MATH	LIAIS VVE ET FILS	CHE	84	14			63			1800		
DORADE		LEFEBRE MATH	LIAIS VVE ET FILS	CHE	84	14			53	T		1801		
DORADE		ROBIN	GRENIER	NAN								1803		
DORADE			CHAUCHARD	CON		2		1	30			1810	4	
DORADE		LEROUX EMMAN	SURCOUF ROBERT	STM	30	6			33	T		1810		1810
DORADE				BRE								1811	2	
DORADE			CHAUCHARD	CON		2		1	30			1811		
DORADE				BRE								1812		
DORADE			CHAUCHARD	CON		2		1	30			1812		
DORADE		RIVIERE	ALBERTIN	MAR							1	1812		
DORADE				BRE								1813		
DORADE			CHAUCHARD	CON		2		1	30			1813		
DORADE			CHAUCHARD	CON		2		1	30			1814		
DOROTHEE		CREST	ADRIAN AINE	MAR							1	1813		
DRAGON		MULOT PRE	GOURDAN	GRA	20	1		6	22	T		1797		1796
DRAGON		LIARD CHAS	DAUCHY	CAL	80	16			38			1798		
DRAGON		MONGRUE JN	BARADAT PAUL	BAY	32	1		4	19			1798		
DRAGON		LIARD CHAS	DAUCHY	CAL	80	16			38	T		1799		
DRAGON		MONGRUE JN	BARADAT PAUL	BAY	32	1		4	19			1799		
DRAGON		COUTEUX JACQ		DUN								1800		
DROLE		DIZARD LS	MOLEUX CROUY	BOU								1796		
DROLE		LEBEAU JN	TIESSET MOLEUX CR	BOU								1798		
DUBORDIEU		MOURDEILLE	TAMA ISAAC NEG	MAR							1	1808	2	
DUBORDIEU		MOURDEILLE	TAMA ISAAC NEG	MAR							1	1809		
DUBORDIEU		MOURDEILLE	TAMA ISAAC NEG	MAR							1	1810		
DUC DE DALMATIE			CULIE PERE ET FILS	CAL		7			58			1809	3	
DUC DE DALMATIE			CULIE PERE ET FILS	CAL		7			58			1810		
