SHIPNAME	GETM	CAPTAINNAME	OWNER	PORT	TONNAGE	CANONS	CARRON	SWIVEL	CREW	CAPTURED/NOT	UNDOC_1	CRUISEYEAR	UNDOC_2	CONSTRUCTION_YEAR
AIMABLE MARIE		SEMINEL FRANC	HAVET	HAV	45				23	T		1793		
AIMABLE NELIE		ROUTTIER NIC	GRISEZ JN	BOU	102	16			79		1	1809	1	1809
AIMABLE NELIE		ROUTTIER NIC	GRISEZ JN	BOU	102	16			79	T	1	1810		1809
AIMABLE THERESE		COFFIN JN	MORONVILLE	DUN	20	2			25	T		1799		1797
AIMABLE VICTOIRE		FLORANCE CHAS	DESLANDES NIC	GRA	184	16			87	T		1799		1796
AIR	G ET M	DESLANDES	MARTIN	BRE	132	2				T		1799		
AJAX		BOUTROUCHE JOS	THOMAZEAU	STM	17	3			22	T		1800		
ALCIDE						30			211					
ALCYON		MOULTSON		DUN								1804		
ALERTE		DOLHABARATS PRE	LEGOFFIC MARGUET	BAY	89				48			1793		
ALERTE		AGOSTINI TOUSS	CECCONI ANT	COR	43	2		2			1	1797		
ALERTE		DRIEU	DUMESLE ET CIE		150	16			75	T		1798		
ALERTE		RIOUDELAGESSE	DANET	BOR	80	14			84	T		1800		
ALERTE		BIRARD BERN	GADION DAUFLOU	BOR	90	14			55			1801	1	1798
ALERTE		BIRARD BERN	GADION DAUFLOU	BOR	90	14			55	T		1802		1798
ALERTE		BERTRAND	BERTRAND PRE	MAR	30							1803		1803
ALERTE		HAGUELON	BOUET ALEX	PAI	16			2	27	T		1803		1800
ALERTE		COLBERT	BOUVARLET FRERES	DUN	32				34	T		1804		1803
ALERTE		BABLOT FRED	LACLOTTE LAMARQUE	BOR	70	14			85			1806	1	
ALEXANDRE		POINTEL PAUL FS	PROTET ALEX	STM	50	4			50	T		1810		1810
ALEXANDRE		SERRON JN	MERLIN DUBREUIL	BOU	70	16			61			1810	1	1810
ALEXANDRE		SERRON JN	MERLIN DUBROEUIL	BOU	70	16			61			1811		1810
ALEXANDRE NO TWO			MOLEUX CROUY MERL	BOU	70	16			65			1811		1810
ALEXANDRINE		CASTEYLEYN CH	GUILLAUME MOSQUER	CHE	4	2			12			1796		1796
ALEXANDRINE		CASTEYLEYN CH	GUILLAUME	CHE	4	2			12			1797		1796
ALEXANDRINE		SEPTAN ANSELINE	DURVILLE ET CIE	BRE	26			4	28	T		1798		
ALEXANDRINE		SAUVAGE JACQ	MOLEUX CROUY AUD	CAL		16			52			1808	1	1808
ALEXANDRINE			AUDIBERT AINE MOL	BOU	84	16			62			1809	1	1809
ALEXANDRINE		SAUVAGE JACQ	MOLEUX CROUY AUD	CAL		16			52			1809		1808
ALEXANDRINE			AUDIBERT AINE MOL	BOU	84	16			62			1810		1809
ALEXANDRINE NO TWO		FOURNY MAR JN	AUDIBERT AINE MOL	BOU		16			65			1812	1	
ALEXANDRINE NO TWO		FOURNY MAR JN	AUDIBERT AINE MOL	BOU		16			65			1813		
ALLIANCE		QUIMPER T	SERVEL ET BRODELET	STM		2	0		140			1800		
ALTIZE				MAR								1811		
AMBITIEUX		GUILLEMAN JN							68	T		1793		
AMBITIEUX		PINTEDEVIN J	DUCHENE PINTEDEVIN	STM		10			70			1793		
AMELIA			MERLIN DUBROEVIL	BOU	7				34			1810	1	1810
AMELIA				CHE								1811		
AMELIA			MERLIN DUBROEUIL	BOU	7				34			1811		1810
AMELIE		LE NOUVEL JN	GODEFROY	STM	175	14			85			1811	1	1810
AMELIE		LE NOUVEL JN	GODEFROY	STM	175	14			85			1812		1810
AMERICAINE			HIRIBAHERE	STJ	10				17			1973		
AMERIQUE		DAVID JN	FERON	HAV	28				22	T		1793		
AMI DES LOIX		SCORSSERY H		DUN	40	10			36	T		1793		
AMI DES LOIX		SOUBITEZ JACQ	GRISET JN	BOU	8							1793		
AMI DES PLANTEURS		LISSABE JN	DUFOURCQ ET FILS	BAY	110	12		5	45	T		1793		
AMIRAL BRUIX		SEILLE J J	EMMERY ET VANHEE	DUN								1804	3	
AMIRAL BRUIX		SEILLE J J	EMMERY ET VANHEE	DUN								1805		
AMIRAL BRUIX		SEILLE J J	EMMERY ET VANHEE	DUN								1806		
AMIRAL BRUIX		SEILLE J J	EMMERY ET VANHEE	DUN								1807		
AMIRAL DECRES		MICHEL JN GEO	ETHEART	STM	150	14			76			1807		1807
AMIRAL DECRES		BOISSEL MICHEL	HESSE SOLOMON	BOU		16			65			1809		1809
AMIRAL GANTAUME		YOU THOMAS	DESLANDES FRERES	GRA	20	4			28			1807	1	1807
AMIRAL GANTAUME		YOU THOMAS	DESLANDES FRERES	GRA	20	4			28	T		1808		1807
AMIRAL MARTIN		CAVALIER MATH	BASTERRECHE FRERES	BAY	165	14	9		100			1807	2	1794
AMIRAL MARTIN		SORLIS	BASTERRECHE FRERES	PAS	165	14	9		100			1808		
AMIRAL MARTIN		CAVALIER MATH	BASTERRECHE FRERES	BAY	165	14	9		100	T		1809		1794
AMIRAL MARTIN		BARROUILLET S	BASTERRECHE FRERES	BAY	210	16			141			1810	1	1809
AMIRAL MARTIN		GARROU	BASTERRECHE FRERES	BAY	210	16			141			1811		1809
AMIS		GARNIER JOSEPH	CARPENTIER	GRA	12		2	2	18	T		1797		
AMIS		PALFRERE JN	GAST OF CAEN	CAE	40	2		4	31	T		1797		1790
AMIS DE BORDEAUX		PETRONVILLE P	FERRAND ET CIE	BOR	80	10			80	T		1797		
AMITIE		ZEPERT	DELPEUX FRS	STM	60	8		5	53	T		1797		1790
AMITIE				STM								1812		
AMOUR		DEHEER		DUN		2			15			1798		
AMPHIBIE			ANDRIEL ET WOLFF	DAN	4	2			14			1811		
ANACREON		FRESSON JN	DUBREUIL	DUN	67							1797		
ANACREON		FRESSON JN	DUBREUIL	DUN	67							1798		
ANACREON		BLANKMAN	MERLIN VARLET FRES	CAL	122	15		2	54	T		1799		
ANACREON		VANVLIEME JEAN		DUN	136	16			85			1807		
ANACREON		DEVRIES NIC	REANZ DEVRIES	DUN	59	8			40			1809		
ANACREON				AMS								1811		
ANGELIQUE		LERMET		BAY					18			1793		
ANNONCIATION		PODESTA LS	SEMIDEC CECCONI	BAS								1793		
ANNONCIATION			ARENA FERRI SANDR	BAS								1794		
ANONYME		BERTHOE PRE	METOIS LECHANTRE	NAN	150	10		2	80			1798		
ANTECHRIST		SCORSSERY AEN	DUTESTE	DUN	70	14			61			1801		
ANTI BRETON				CIV								1810		
ANTOINE		MONZA NOEL	SAPEY	BAS								1794		
ANVERSOISE			MILLET CHARLES	OST								1809		
APPOCRATE		PINARE	BOUDIN CHEVALIER	HON	100	14						1797		1796
AQUILON		LECONTE JEAN	DUBOIS JEAN BAPT	STM	50	2			68			1807		1807
ARAIGNEE		MALO GASPARD		DUN	4				8			1793		
ARAIGNEE		ROSSE CHAS	BASTERRECHE	BAY	40	5			39	T		1798		
ARCHIMEDE		ACCARDO DOM	ROMEY LS	TOU	65	14			51			1799		
ARGONAUTE		NEEL CHAS	CARPENTIER DUBISS	GRA	22	2		3	36	T		1797		
ARGUS		MARTIN G	NAIRAC P	BOR	200	16			104			1798		
ARGUS		MARTIN G	NAIRAC P	BOR	200	16			104	T		1799		
ARGUS		DAGUENET	GOURDAN ET CIE	GRA	24	4						1807	1	1804
ARGUS		DAGUENET	GOURDAN ET CIE	GRA	24	4				T		1808		1804
ARGUS		MERLIERE	DUCLOS LE PELLY	DUN							1	1808		
ARGUS				CAN								1812		
ARLEQUIN		SERIA JOS	LEON GARNIER LARR	CON	20			2	34	T		1800		
ARRIEGE		HENRY PRE	DESPLACE	BOR	150	18			142			1800		
ATALANTE		MARTIN ARNOUD	COUDOL ET BOUE	BOR	180	14			128	T		1803		
AUDACIEUSE		LE PICARD		HAV					34			1798		
AUDACIEUSE		ETCHEBERY	DELOUART BASTERR	BAY				8	15			1801		
AUDACIEUSE		ETCHEVERRY LAUR	DELOVART	STJ								1804		
AUDACIEUX		LA VERGNE	DUCHENE PINTEDEVIN	STM	40	18	1	2	48	T		1797		1796
AUDACIEUX		MOUTON JOS	GARNIER	BOR	128	20			137	T		1798		
AUDACIEUX		CAUDEAUX							43	T		1801		
AUDACIEUX		DIDABOURE	GUILLEMAN	STM	18				21	T		1808		1808
AUDACIEUX		SEROU BAPTISTE	AUDIBERT LE VEUX	CAL		11			40			1810	1	
AUDACIEUX		SEROU BAPTISTE	AUDIBERT LE VEUX	CAL		11			40			1811		
AUDACIEUX PRIZE		LAURIOL	LE MOINE ET CIE	STM	8				11			1797		
AUDACIEUX PRIZE		ANTHOUARD	LE MOINE ET CIE	STM	8				11			1798		
AUDACIEVSE		ETCHEVERRY LAVR	DELOUART	STJ								1803	1	1805
AUGUSTE		COUPARD	LE MOYNE AUTIER TR	STM		8			46			1793		
AUGUSTE	G ET M	CASSE A	SEIGNORET GORERREA	BOR	140	10			37	T		1800		
AUGUSTE		ARNAUD	VIDAT ANTOINE	TOU	29	1			44			1804		1797
AUGUSTE			HENRY PARIS ET CAR	ROC		8			55			1808	1	
AUGUSTE		FEUILLET FRANC	MAGON VIEUVILLE A	STM	17			2	20			1808	1	1808
AUGUSTE			HENRY PARIS ET CAR	ROC		8			55			1809		
AUGUSTE		FEUILLET FRANC	MAGON VIEUVILLE A	STM	17			2	20	T		1809		1808
AUGUSTE		LAURENT PIERRE	SURCOUF ROBERT	STM	150	14			99	T		1810		1810
AUGUSTE				BRE		18			127			1811		
AUGUSTE		PELLETIER PRE	GODFROY	STM	110	14	4					1812	2	1812
AUGUSTE		PELLETIER PRE	GODFROY	STM	110	14	4					1813		1812
AUGUSTE		PELLETIER PRE	GODFROY	STM	110	14	4			W		1814		1812
AUGUSTE NO TWO			BERNELOT GAUTIER	BOR		6			37	T		1809		
AUGUSTINE		DE DESCHERS H	LAUTRAN	HAV	60	6		9	42	T		1796		1794
AUNA				STR		2			22			1811		
AURELIA		FRESSON JEAN	FONTAINE ET MERLIN	BOU		1			25			1810	1	
AURELIA		FRESSON JEAN	FONTAINE ET MERLIN	BOU		1			25			1811		
AURORE	G ET M	DUPIN JOS	BLATTE	BOR	150	6				T		1799		
AURORE		BRIGANDA NIC	FOLLIN ET LEBORGUE	STV	71	16			70	T		1809		1809
AUSTERLITZ		LAFONT	SAUARY J M	LOR	200	14		2	80	T	1	1807		1804
AUTOUR		LE VASSEUR		LAR		14		6	90			1797		
AUTOUR				LAR		14		6	90		1	1798		
AVANTAGEUX		LA ROCHE	DUCHESNE PINTEDEV	STM	42	3			43			1799		
AVANTAGEUX		GONIDEC JN	DUCHESNE PINTEDEV	STM	42	5	1		39	T		1800		
AVENTURE		LAXAGUE RD	BASTERRECHE	STJ	10				18			1795		
AVENTURE		PELTIER	DAUCHY OF PARIS	DUN	70	16			62	T		1796		1796
AVENTURE		DEGUERRE PRE	CONTE JACQ	BOR	180	14			112			1797		
AVENTURE		EXCADO ALEX	BONNET	LOR	172	12			108			1797		
AVENTURE		LE SCARBIEN	LAMBERT	LAR	26	8			43	T		1797		
AVENTURE		DOYAMBEHERE	BASTERRECHE	BAY	10				15			1798		
AVENTURE		EXCADO ALEX	BONNET	LOR	172	12			108	T		1798		
AVENTURE		TESSON		BAY					102			1798		
AVENTURE		VILDIEUX							43	T		1798		
AVENTURE		LE ROY		BOR								1799		
AVENTURE	G ET M	LAXAGUES	BASTERRECHE FR	STJ								1799		
AVENTURE		CAVE JEAN	MALLEN J ANTOINE	DUN	8				27			1803		
AVENTURE		GARROU	BALGUERIE NOURGIB	BOR		18			144	T		1803		
AVENTURE		DUQUESNE	DUQUESNE BALGUERIE	ROC		8			35			1808	1	1808
