,"English prices and wages, 1209-1914 (Gregory Clark)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(grams of Ag per metric) = (grams of Ag per £) * (pence per English)  /((pence per £)*(metric per English)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(A.) In English pence and English physical units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(B.) In grams of silver and metric physical units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series no.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raisins,",,,,,,,,,,Spade/,,,,,,,,,,,,,,,,,,,
Good or service,Barley,Beans,Beef,Beer-strong,Bricks,Books,Bread,Butter,Candles tallow,Candles Wax,Charcoal,Cheese,Cider,Cinnamon,Clothing,Coal,Coal London,Coal North,Coal rest of Eng.,Coal pithead,Coalgas,Coffee,Cotton,Cottoncloth,Cream,Eggs,Firewood,Flour,Ginger,Glassware,Hay,Herring,Honey,Hops,Housing,Iron-pig,Iron-manu,Linen cloth,Manu item,Milk,Mustard,Mutton,Nails,Oatmeal,Oats,Oil-lamp,Paper-foolscap,Parchment,Peas,Pepper,Pewter,Pork,Potato,Raisins/currants,Rice,Rye,Saffron,Salt,Salt Cod index,Salt Salmon,Shoes,Silk Thread,Soap,Spade/shovel,Stockings,Straw,Suet,Sugar,Tea,Tobacco,Treacle,Trenchers,Vinegar,Wine-Port,Wheat,Wheatflour,Wood,wool,Woolcloth,Workgloves,"Wage, farm","Wage, craft","Wage, bldg laborer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,currants,,,,,,,,,,shovel,,,,,,,,,,,,,,,,,,,
pence,12,12,1,1,1,12,1,1,1,1,1,1,1,1,12,12,12,12,12,12,12,1,1,1,1,1,12,1,1,1,12,1,1,1,12,1,1,1,1,1,12,1,1,1,12,1,1,12,12,1,1,1,12,1,1,12,1,1,,12,12,1,12,1,1,12,1,1,12,1,1,1,12,12,12,1,1,1,12,1,1,1,1,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
metric/Eng. unit,35.239,35.239,0.45359,3.7854,1,1,0.45359,0.45359,0.45359,0.45359,35.239,0.45359,3.7854,0.45359,1,1.016,1.016,1.016,1.016,1.016,28.3,0.45359,0.45359,0.45359,3.7854,1,1.016,0.45359,0.45359,1,1.016,,0.45359,0.45359,1,0.45359,0.45359,0.9144,,3.7854,35.239,0.45359,0.45359,0.45359,35.239,3.7854,0.05,1,35.239,0.45359,0.45359,0.45359,50.802,0.45359,0.45359,35.239,28.35,50.802,,119.24,1,0.45359,0.45359,1,1,1,0.45359,0.45359,0.45359,0.45359,0.45359,1,3.7854,3.7854,35.239,0.45359,0.0283,0.45359,0.914402758,1,1,1,1,,Grams of silver per £,,,,Barley,Beans,Beef,Beer-strong,Bricks,Books,Bread,Butter,Candles tallow,Candles Wax,Charcoal,Cheese,Cider,Cinnamon,Clothing,Coal,Coal London,Coal North,Coal rest of Eng.,Coal pithead,Coalgas,Coffee,Cotton,Cotton cloth,Cream,Eggs,Firewood,Flour,Ginger,Glassware,Hay,Herring,Honey,Hops,Housing,Iron-pig,Iron-manu,Linen cloth,Manu item,Milk,Mustard,Mutton,Nails,Oatmeal,Oats,Oil-lamp,Paper-foolscap,Parchment,Peas,Pepper,Pewter,Pork,Potato,Rais./curr.,Rice,Rye,Saffron,Salt,Salt Cod index,Salt Salmon,Shoes,Silk Thread,Soap,Spade,Stockings,Straw,Suet,Sugar,Tea,Tobacco,Treacle,Trenchers,Vinegar,Wine-Port,Wheat,Wheatflour,Wood,wool,Woolcloth,Workgloves,"Wage, farm","Wage, craft","Wage, bldg laborer"
per (unit),bushel,bushel,lb.,gallon,100 bricks,200 pages,lb.,lb.,lb.,lb.,bushel,lb.,gallon,lb.,suit,ton,ton,ton,ton,ton,1000ft3,lb.,lb.,lb.,gallon,dozen,ton,lb.,lb.,bottle,ton,,lb.,lb.,year,lb.,lb.,yard,,gallon,bushel,lb.,lb.,lb.,bushel,gallon,quire,dozen,bushel,lb.,lb.,lb.,cwt,lb.,lb.,bushel,ounce,cwt,,barrel,pair,lb.,lb.,piece,pair,load,lb.,lb.,lb.,lb.,lb.,dozen,gallon,gallon,bushel,lb.,ft3,lb.,yard,pair,day,day,day,,mint price,market price,,,liter,liter,kg.,liter,100 bricks,200 pages,kg.,kg.,kg.,kg.,liter,kg.,liter,kg.,suit,metric ton,metric ton,metric ton,metric ton,metric ton,cubic m.,kg.,kg.,kg.,liter,dozen,metric ton,kg.,kg.,bottle,metric ton,,kg.,kg.,year,kg.,kg.,meter,,liter,liter,kg.,kg.,kg.,liter,liter,ream,dozen,liter,kg.,kg.,kg.,kg.,kg.,kg.,liter,gram,kg.,,liter,pair,kg.,kg.,piece,pair,load,kg.,kg.,kg.,kg.,kg.,dozen,liter,liter,liter,kg.,cubic m.,kg.,meter,pair,day,day,day
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,0.206,,,,,,,,,,,0.388,,,,,,,,,,,,,,,,,,,,0.280,,,,,,3.587,,,,,1.834,,0.104,,,,0.222,,,,,,,,,,,,,,,,,,0.751,,,,,,,0.184,0.285,,,1.740,,,1.374,2.784,,,321.1,316.0,,1209,0.092,,,,,,,,,,,1.126,,,,,,,,,,,,,,,,,,,,,,,,,,5.165,,,,,5.323,,0.047,,,,0.099,,,,,,,,,,,,,,,,,,2.181,,,,,,,0.770,0.128,,,5.050,,,1.808,3.665,
1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,0.240,,,,,,,,,,,0.399,0.502,,,,,,,,,,,,,,,,,,,0.430,,,,,,3.682,,,,,,,0.121,,,,0.350,,,,,,,,,2.548,,,,,,,,,,,,,,,,0.182,0.355,,,1.680,,,1.168,2.079,,,321.1,316.0,,1211,0.108,,,,,,,,,,,1.159,0.174,,,,,,,,,,,,,,,,,,,,,,,,,5.301,,,,,,,0.054,,,,0.157,,,,,,,,,0.066,,,,,,,,,,,,,,,,0.759,0.159,,,4.876,,,1.537,2.737,
1212,0.180,,,,,,,,,,,0.427,,,,,,,,,,,,,,,,,,,,0.600,,,,,,3.562,,,,,,,0.112,,,,0.245,5.930,,,,,,,,,,,,,,,,,0.672,,,,,,,,0.282,,,1.400,,,1.195,,,,321.1,316.0,,1212,0.081,,,,,,,,,,,1.240,,,,,,,,,,,,,,,,,,,,,,,,,,5.129,,,,,,,0.050,,,,0.110,17.212,,,,,,,,,,,,,,,,,1.950,,,,,,,,0.126,,,4.063,,,1.573,,
1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,0.163,,,,,,,,,,,0.416,0.374,,,,,,,,,,,,,,,,,,,,,,,,,3.627,,,,,,,0.121,,,,0.199,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.242,,,1.680,,,1.430,,,,321.1,316.0,,1214,0.073,,,,,,,,,,,1.208,0.130,,,,,,,,,,,,,,,,,,,,,,,,,5.222,,,,,,,0.054,,,,0.089,,,,,,,,,,,,,,,,,,,,,,,,,0.697,0.108,,,4.876,,,1.882,,
1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,0.180,,,,,,,,,,,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,3.998,,,,,,,0.121,,,,0.327,,,,,,,,,5.632,,,,,,,,,,,,,,,,0.004,0.303,,,1.800,,,1.268,,,,321.1,316.0,,1216,0.081,,,,,,,,,,,1.044,,,,,,,,,,,,,,,,,,,,,,,,,,5.755,,,,,,,0.054,,,,0.147,,,,,,,,,0.146,,,,,,,,,,,,,,,,0.015,0.136,,,5.224,,,1.669,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461,,,,,,,,,,321.1,316.0,,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,,,,,,,,
1218,0.378,,,,,,,,,,,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,3.577,,,,,,,0.182,,,,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,0.519,,,1.650,,,1.141,,,,321.1,316.0,,1218,0.169,,,,,,,,,,,1.110,,,,,,,,,,,,,,,,,,,,,,,,,,5.150,,,,,,,0.081,,,,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,,,4.789,,,1.502,,
1219,0.343,,,,,,,,,,,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,2.967,,,,,,,0.182,,,,0.397,,,,,,,,,5.565,,,,,,,,,,,,,,,,,0.524,,,1.620,,,1.375,,,,321.1,316.0,,1219,0.154,,,,,,,,,,,1.208,,,,,,,,,,,,,,,,,,,,,,,,,,4.271,,,,,,,0.081,,,,0.178,,,,,,,,,0.144,,,,,,,,,,,,,,,,,0.235,,,4.702,,,1.810,,
1220,0.240,,,,,,,,,,,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,3.309,,,,,,,0.138,,,,0.339,,2.262,,,,,,,4.324,,,,,,,,,,,,,,,,,0.387,,,1.770,,,1.215,2.459,,,321.1,316.0,,1220,0.108,,,,,,,,,,,1.159,,,,,,,,,,,,,,,,,,,,,,,,,,4.764,,,,,,,0.062,,,,0.152,,6.566,,,,,,,0.112,,,,,,,,,,,,,,,,,0.174,,,5.137,,,1.599,3.237,
1221,0.326,,,,,,,,,,,0.388,0.494,,,,,,,,,,,,,,,,,,,,,,,,,2.860,,,,,3.784,,0.164,,,,0.385,,2.013,,,,,,,5.481,,,,,,2.463,,,0.914,,,,,,,0.279,0.541,,,1.620,,,1.298,2.579,1.570,,321.1,316.0,,1221,0.146,,,,,,,,,,,1.126,0.172,,,,,,,,,,,,,,,,,,,,,,,,,4.118,,,,,10.983,,0.074,,,,0.173,,5.843,,,,,,,0.142,,,,,,3.243,,,2.653,,,,,,,1.166,0.243,,,4.702,,,1.708,3.395,2.067
1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.109,,,,,,,,1.414,,,,,,,,,,,,,0.500,,0.371,,,,,,,,,,,,,,,,2.376,1.589,,321.1,316.0,,1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.023,,,,,,,,4.103,,,,,,,,,,,,,0.658,,5.856,,,,,,,,,,,,,,,,3.128,2.092
1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,0.222,,,,,,,,,,321.1,316.0,,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.346,0.100,,,,,,,,
1224,0.172,,,,,,,,,3.665,,0.405,0.427,,,,,,,,,,,,,,,,,,,,,,,,,3.495,,,,,2.586,,0.104,,,,0.222,,,,,,,,,5.565,,,,,,1.837,,,,,,,,,,0.221,0.287,,,1.980,,,1.307,,,,321.1,316.0,,1224,0.077,,,,,,,,,10.636,,1.175,0.149,,,,,,,,,,,,,,,,,,,,,,,,,5.031,,,,,7.505,,0.047,,,,0.099,,,,,,,,,0.144,,,,,,2.419,,,,,,,,,,0.922,0.129,,,5.747,,,1.721,,
1225,0.395,,,,,,,,,,,0.506,,,,,,,,,,,,,,,,,,,,,6.066,,,,,3.646,,,,,,,0.182,,,,0.374,,,,,,,,,4.626,,,,,,,,,1.461,,,,,,,0.210,0.612,,,1.890,,,1.273,,,,321.1,316.0,,1225,0.177,,,,,,,,,,,1.469,,,,,,,,,,,,,,,,,,,,,17.605,,,,,5.249,,,,,,,0.081,,,,0.168,,,,,,,,,0.120,,,,,,,,,4.240,,,,,,,0.877,0.274,,,5.486,,,1.676,,
1226,0.360,,,,,,,,,3.480,,0.427,0.605,,,,,,,,,,,,,,,,,,,,,,,,,3.589,,,,,2.964,,0.190,,,,0.724,9.081,,,,,,,,3.939,,,,,,,,,1.484,,,,,,,,0.505,,,1.710,,,1.265,2.958,,,321.1,316.0,,1226,0.162,,,,,,,,,10.100,,1.240,0.210,,,,,,,,,,,,,,,,,,,,,,,,,5.168,,,,,8.603,,0.085,,,,0.325,26.358,,,,,,,,0.102,,,,,,,,,4.306,,,,,,,,0.226,,,4.963,,,1.665,3.894,
1227,0.360,,,,,,,,,,,0.394,0.494,,,,,,,,,,,,,,,,,,,,,,,,,3.011,,,,,,,0.199,,,,0.526,,1.697,,,,,,,3.235,,,,,,,,,1.813,,,,,,,0.253,0.582,,,1.680,,,1.139,2.643,1.718,,321.1,316.0,,1227,0.162,,,,,,,,,,,1.142,0.172,,,,,,,,,,,,,,,,,,,,,,,,,4.335,,,,,,,0.089,,,,0.236,,4.924,,,,,,,0.084,,,,,,,,,5.262,,,,,,,1.056,0.261,,,4.876,,,1.500,3.479,2.262
1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457,,,,,,,,,,321.1,316.0,,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,,,,,,,,
1232,0.318,,,,,,,,,,,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,3.283,,,,,2.055,,0.182,,,,0.456,,,,,,,,,6.101,,,,,,,,,1.461,,,,,,,0.292,0.429,,,2.530,,,1.143,,,,321.1,316.0,,1232,0.142,,,,,,,,,,,1.159,,,,,,,,,,,,,,,,,,,,,,,,,,4.727,,,,,5.965,,0.081,,,,0.204,,,,,,,,,0.158,,,,,,,,,4.240,,,,,,,1.218,0.192,,,7.343,,,1.505,,
1233,0.275,,,,,,,,,,,0.467,0.441,,,,,,,,,,,,,,,,,,,,,,,,,2.706,,,,,,,0.182,,,,0.397,,,,,,,,,5.012,,,,,,,,,,,,,,,,0.347,0.384,,,2.620,,,1.208,,,,321.1,316.0,,1233,0.123,,,,,,,,,,,1.355,0.153,,,,,,,,,,,,,,,,,,,,,,,,,3.896,,,,,,,0.081,,,,0.178,,,,,,,,,0.130,,,,,,,,,,,,,,,,1.447,0.172,,,7.604,,,1.590,,
1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.382,,,,,,,,,,321.1,316.0,,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,
1236,0.215,,,,,,,,,,,0.484,0.515,,,,,,,,,,,,,,,,,,,,,,,,,2.972,,,,,,,0.164,,,,0.304,,,,,,,,,2.397,,,,,,,,,0.853,,,,,,,,0.378,,,2.440,,,1.167,,,,321.1,316.0,,1236,0.096,,,,,,,,,,,1.404,0.179,,,,,,,,,,,,,,,,,,,,,,,,,4.279,,,,,,,0.074,,,,0.136,,,,,,,,,0.062,,,,,,,,,2.475,,,,,,,,0.170,,,7.082,,,1.536,,
1237,0.300,,,,,,,,,,,0.506,0.502,,,,,,,,,,,,,,,,,,,,,,,,,3.212,,,,,4.754,,0.225,,,,0.385,,,,,,,,,3.319,,,,,,1.000,,,,,,,,,,,0.423,,,2.410,,,1.198,,,,321.1,316.0,,1237,0.135,,,,,,,,,,,1.469,0.175,,,,,,,,,,,,,,,,,,,,,,,,,4.625,,,,,13.797,,0.101,,,,0.173,,,,,,,,,0.086,,,,,,1.316,,,,,,,,,,,0.190,,,6.995,,,1.577,,
1238,,,,,,,,,,,,0.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1238,,,,,,,,,,,,1.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,,,,,,,,1.569,0.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1239,,,,,,,,,,,0.059,1.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.1,316.0,,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,0.163,,,,,,,,,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,4.095,,,,,4.172,,0.121,,,,0.245,,,,,,,,,4.006,,,,,,,,,,,,,,,,0.190,0.255,,,2.530,,,1.187,,,,321.1,316.0,,1245,0.073,,,,,,,,,,,1.322,,,,,,,,,,,,,,,,,,,,,,,,,,5.896,,,,,12.109,,0.054,,,,0.110,,,,,,,,,0.104,,,,,,,,,,,,,,,,0.793,0.114,,,7.343,,,1.563,,
1246,0.223,,,,,,,,,,,0.489,0.549,,,,,,,,,,,,,,,,,,,,,,,,,4.124,,,,,3.029,,0.156,,,,0.292,,,,,,,,,3.620,,,,,,2.000,,,0.763,,,,,,,,0.352,,,2.690,,,1.260,3.232,1.688,,321.1,316.0,,1246,0.100,,,,,,,,,,,1.420,0.191,,,,,,,,,,,,,,,,,,,,,,,,,5.938,,,,,8.792,,0.070,,,,0.131,,,,,,,,,0.094,,,,,,2.633,,,2.214,,,,,,,,0.158,,,7.807,,,1.659,4.254,2.222
1247,0.421,,,,,,,,,,,0.596,0.621,,,,,,,,,,,,,,,,,,,,,,,,,3.626,,,,,2.901,,0.251,,,,0.619,,,,,,,,,7.878,,,,,,,,,0.768,,,,,,,0.257,0.654,,,2.900,,,1.260,3.041,,,321.1,316.0,,1247,0.189,,,,,,,,,,,1.730,0.216,,,,,,,,,,,,,,,,,,,,,,,,,5.221,,,,,8.421,,0.112,,,,0.278,,,,,,,,,0.204,,,,,,,,,2.229,,,,,,,1.074,0.293,,,8.417,,,1.659,4.003,
1248,0.472,,,,,,,,,,,0.455,0.620,,,,,,,,,,,,,,,,,,,0.530,,,,,,4.031,,,,,3.118,,0.259,,,,0.689,14.303,,,,,,,,6.101,,,,,,,,,1.003,,,,,,,,0.620,,,2.320,2.416,,1.235,,2.069,,321.1,316.0,,1248,0.212,,,,,,,,,,,1.322,0.216,,,,,,,,,,,,,,,,,,,,,,,,,5.804,,,,,9.049,,0.116,,,,0.309,41.514,,,,,,,,0.158,,,,,,,,,2.912,,,,,,,,0.278,,,6.734,41.736,,1.625,,2.724
1249,0.223,,,,,,,,,4.154,,0.410,0.389,,,,,,,,,,,,,,,,,,,,,,,,,3.695,,,,,2.821,,0.147,,,,0.269,,,,,,,,,5.095,,,,,,1.000,,,1.466,,,,,,,0.191,0.338,,,2.070,,,1.292,2.409,,,321.1,316.0,,1249,0.100,,,,,,,,,12.057,,1.191,0.135,,,,,,,,,,,,,,,,,,,,,,,,,5.320,,,,,8.189,,0.066,,,,0.120,,,,,,,,,0.132,,,,,,1.316,,,4.254,,,,,,,0.798,0.152,,,6.008,,,1.701,3.172,
1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,2.258,,1.151,,,,321.1,316.0,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561,,,,,39.009,,1.515,,
1251,0.335,,,,,,,,,,0.258,0.500,,,,,,,,,,,,,,,,,,,,0.500,,,,,,3.710,,,,,,,,,,,0.456,,,,,,,,,,,,,,,,,,,,,,,,,0.168,0.350,,,,,,1.506,,,,321.1,316.0,,1251,0.150,,,,,,,,,,0.010,1.452,,,,,,,,,,,,,,,,,,,,,,,,,,5.341,,,,,,,,,,,0.204,,,,,,,,,,,,,,,,,,,,,,,,,0.700,0.157,,,,,,1.983,,
1252,0.240,,,,,,,,,,,0.500,0.437,,,,,,,,,,,,,,2.941,,,,,0.580,,,,,,3.718,,,,,3.017,,0.190,,,,0.327,,,,,,,,,3.855,,,,,,,,,1.127,,,,,,,0.131,0.355,,,2.290,2.855,1.667,1.266,2.878,1.335,,321.1,316.0,,1252,0.108,,,,,,,,,,,1.452,0.152,,,,,,,,,,,,,,45.729,,,,,,,,,,,5.353,,,,,8.758,,0.085,,,,0.147,,,,,,,,,0.100,,,,,,,,,3.272,,,,,,,0.549,0.159,,,6.646,49.328,2.194,1.667,3.789,1.758
1253,0.429,,,,,,,,,,0.318,0.422,0.349,,,,,,,,,,,,,,,,,,,0.390,,,,,,3.676,,,,,2.661,,0.268,,,,0.596,6.641,,,,,,,,3.934,,,,,,,,,0.882,,,,,,,0.174,0.543,,,2.290,2.528,,1.277,2.965,1.809,,321.1,316.0,,1253,0.192,,,,,,,,,,0.012,1.224,0.121,,,,,,,,,,,,,,,,,,,,,,,,,5.293,,,,,7.722,,0.120,,,,0.267,19.274,,,,,,,,0.102,,,,,,,,,2.560,,,,,,,0.727,0.244,,,6.646,43.679,,1.681,3.904,2.381
