"year","colonies","france"
1815,"St. Domingue",0
1816,"St. Domingue",0
1817,"St. Domingue",0
1818,"St. Domingue",0
1819,"St. Domingue",0
1820,"St. Domingue",0
1700,"Martinique",0
1701,"Martinique",0
1702,"Martinique",0
1703,"Martinique",0
1704,"Martinique",0
1705,"Martinique",0
1706,"Martinique",0
1707,"Martinique",0
1708,"Martinique",0
1709,"Martinique",0
1710,"Martinique",0
1711,"Martinique",0
1712,"Martinique",0
1713,"Martinique",0
1714,"Martinique",0
1715,"Martinique",0
1716,"Martinique",0
1717,"Martinique",0
1718,"Martinique",0
1719,"Martinique",0
1720,"Martinique",0
1721,"Martinique",0
1722,"Martinique",0
1723,"Martinique",0
1724,"Martinique",0
1725,"Martinique",0
1726,"Martinique",0
1727,"Martinique",0
1728,"Martinique",0
1729,"Martinique",0
1730,"Martinique",0
1731,"Martinique",0
1732,"Martinique",0
1733,"Martinique",0
1734,"Martinique",0
1735,"Martinique",0
1736,"Martinique",0
1737,"Martinique",0
1738,"Martinique",0
1739,"Martinique",0
1740,"Martinique",0
1741,"Martinique",0
1742,"Martinique",0
1743,"Martinique",0
1744,"Martinique",0
1745,"Martinique",0
1746,"Martinique",0
1747,"Martinique",0
1748,"Martinique",0
1749,"Martinique",0
1750,"Martinique",0
1751,"Martinique",0
1752,"Martinique",0
1753,"Martinique",0
1754,"Martinique",0
1755,"Martinique",0
1756,"Martinique",0
1757,"Martinique",0
1758,"Martinique",0
1759,"Martinique",0
1760,"Martinique",0
1761,"Martinique",0
1762,"Martinique",0
1763,"Martinique",0
1764,"Martinique",0
1765,"Martinique",0
1766,"Martinique",0
1767,"Martinique",0
1768,"Martinique",0
1769,"Martinique",0
1770,"Martinique",0
1771,"Martinique",0
1772,"Martinique",0
1773,"Martinique",0
1774,"Martinique",0
1775,"Martinique",0
1776,"Martinique",0
1777,"Martinique",0
1778,"Martinique",0
1779,"Martinique",0
1780,"Martinique",0
1781,"Martinique",0
1782,"Martinique",0
1783,"Martinique",0
1784,"Martinique",0
1785,"Martinique",0
1786,"Martinique",0
1787,"Martinique",0
1788,"Martinique",0
1789,"Martinique",0
1790,"Martinique",0
1791,"Martinique",0
1792,"Martinique",0
1793,"Martinique",0
1794,"Martinique",0
1795,"Martinique",0
1796,"Martinique",0
1797,"Martinique",0
1798,"Martinique",0
1799,"Martinique",0
1800,"Martinique",0
1801,"Martinique",0
1802,"Martinique",0
1803,"Martinique",0
1804,"Martinique",0
1805,"Martinique",0
1806,"Martinique",0
1807,"Martinique",0
1808,"Martinique",0
1809,"Martinique",0
1810,"Martinique",0
1811,"Martinique",0
1812,"Martinique",0
1813,"Martinique",0
1814,"Martinique",0
1815,"Martinique",0
1816,"Martinique",0
1817,"Martinique",0
1818,"Martinique",0
1819,"Martinique",0
1820,"Martinique",0
1700,"Tobago",0
1701,"Tobago",0
1702,"Tobago",0
1703,"Tobago",0
1704,"Tobago",0
1705,"Tobago",0
1706,"Tobago",0
1707,"Tobago",0
1708,"Tobago",0
1709,"Tobago",0
1710,"Tobago",0
1711,"Tobago",0
1712,"Tobago",0
1713,"Tobago",0
1714,"Tobago",0
1715,"Tobago",0
1716,"Tobago",0
1717,"Tobago",0
1718,"Tobago",0
1719,"Tobago",0
1720,"Tobago",0
1721,"Tobago",0
1722,"Tobago",0
1723,"Tobago",0
1724,"Tobago",0
1725,"Tobago",0
1726,"Tobago",0
1727,"Tobago",0
1728,"Tobago",0
1729,"Tobago",0
1730,"Tobago",0
1731,"Tobago",0
1732,"Tobago",0
1733,"Tobago",0
1734,"Tobago",0
1735,"Tobago",0
1736,"Tobago",0
1737,"Tobago",0
1738,"Tobago",0
1739,"Tobago",0
1740,"Tobago",0
1741,"Tobago",0
1742,"Tobago",0
1743,"Tobago",0
1744,"Tobago",0
1745,"Tobago",0
1746,"Tobago",0
1747,"Tobago",0
1748,"Tobago",0
1749,"Tobago",0
1750,"Tobago",0
1751,"Tobago",0
1752,"Tobago",0
1753,"Tobago",0
1754,"Tobago",0
1755,"Tobago",0
1756,"Tobago",0
1757,"Tobago",0
1758,"Tobago",0
1759,"Tobago",0
1760,"Tobago",0
1761,"Tobago",0
1762,"Tobago",0
1763,"Tobago",0
1764,"Tobago",0
1765,"Tobago",0
1766,"Tobago",0
1767,"Tobago",0
1768,"Tobago",0
1769,"Tobago",0
1770,"Tobago",0
1771,"Tobago",0
1772,"Tobago",0
1773,"Tobago",0
1774,"Tobago",0
1775,"Tobago",0
1776,"Tobago",0
1777,"Tobago",0
1778,"Tobago",0
1779,"Tobago",0
1780,"Tobago",0
1781,"Tobago",0
1782,"Tobago",0
1783,"Tobago",0
1784,"Tobago",0
1785,"Tobago",0
1786,"Tobago",0
1787,"Tobago",0
1788,"Tobago",0
1789,"Tobago",0
1790,"Tobago",0
1791,"Tobago",0
1792,"Tobago",0
1793,"Tobago",0
1794,"Tobago",0
1795,"Tobago",0
1796,"Tobago",0
1797,"Tobago",0
1798,"Tobago",0
1799,"Tobago",0
1800,"Tobago",0
1801,"Tobago",0
1802,"Tobago",0
1803,"Tobago",0
1804,"Tobago",0
1805,"Tobago",0
1806,"Tobago",0
1807,"Tobago",0
1808,"Tobago",0
1809,"Tobago",0
1810,"Tobago",0
1811,"Tobago",0
1812,"Tobago",0
1813,"Tobago",0
1814,"Tobago",0
1815,"Tobago",0
1816,"Tobago",0
1817,"Tobago",0
1818,"Tobago",0
1819,"Tobago",0
1820,"Tobago",0
1700,"Guyana",0
1701,"Guyana",0
1702,"Guyana",0
1703,"Guyana",0
1704,"Guyana",0
1705,"Guyana",0
1706,"Guyana",0
1707,"Guyana",0
1708,"Guyana",0
1709,"Guyana",0
1710,"Guyana",0
1711,"Guyana",0
1712,"Guyana",0
1713,"Guyana",0
1714,"Guyana",0
1715,"Guyana",0
1716,"Guyana",0
1717,"Guyana",0
1718,"Guyana",0
1719,"Guyana",0
1720,"Guyana",0
1721,"Guyana",0
1722,"Guyana",0
1723,"Guyana",0
1724,"Guyana",0
1725,"Guyana",0
1726,"Guyana",0
1727,"Guyana",0
1728,"Guyana",0
1729,"Guyana",0
1730,"Guyana",0
1731,"Guyana",0
1732,"Guyana",0
1733,"Guyana",0
1734,"Guyana",0
1735,"Guyana",0
1736,"Guyana",0
1737,"Guyana",0
1738,"Guyana",0
1739,"Guyana",0
1740,"Guyana",0
1741,"Guyana",0
1742,"Guyana",0
1743,"Guyana",0
1744,"Guyana",0
1745,"Guyana",0
1746,"Guyana",0
1747,"Guyana",0
1748,"Guyana",0
1749,"Guyana",0
1750,"Guyana",0
1751,"Guyana",0
1752,"Guyana",0
1753,"Guyana",0
1754,"Guyana",0
1755,"Guyana",0
1756,"Guyana",0
1757,"Guyana",0
1758,"Guyana",0
1759,"Guyana",0
1760,"Guyana",0
1761,"Guyana",0
1762,"Guyana",0
1763,"Guyana",0
1764,"Guyana",0
1765,"Guyana",0
1766,"Guyana",0
1767,"Guyana",0
1768,"Guyana",0
1769,"Guyana",0
1770,"Guyana",0
1771,"Guyana",0
1772,"Guyana",0
1773,"Guyana",0
1774,"Guyana",0
1775,"Guyana",0
1776,"Guyana",0
1777,"Guyana",0
1778,"Guyana",0
1779,"Guyana",0
1780,"Guyana",0
1781,"Guyana",0
1782,"Guyana",0
1783,"Guyana",0
1784,"Guyana",0
1785,"Guyana",0
1786,"Guyana",0
1787,"Guyana",0
1788,"Guyana",0
1789,"Guyana",0
1790,"Guyana",0
1791,"Guyana",0
1792,"Guyana",0
1793,"Guyana",0
1794,"Guyana",0
1795,"Guyana",0
1796,"Guyana",0
1797,"Guyana",0
1798,"Guyana",0
1799,"Guyana",0
1800,"Guyana",0
1801,"Guyana",0
1802,"Guyana",0
1803,"Guyana",0
1804,"Guyana",0
1805,"Guyana",0
1806,"Guyana",0
1807,"Guyana",0
1808,"Guyana",0
1809,"Guyana",0
1810,"Guyana",0
1811,"Guyana",0
1812,"Guyana",0
1813,"Guyana",0
1814,"Guyana",0
1815,"Guyana",0
1816,"Guyana",0
1817,"Guyana",0
1818,"Guyana",0
1819,"Guyana",0
1820,"Guyana",0
1700,"Maurice",0
1701,"Maurice",0
1702,"Maurice",0
1703,"Maurice",0
1704,"Maurice",0
1705,"Maurice",0
1706,"Maurice",0
1707,"Maurice",0
1708,"Maurice",0
1709,"Maurice",0
1710,"Maurice",0
1711,"Maurice",0
1712,"Maurice",0
1713,"Maurice",0
1714,"Maurice",0
1715,"Maurice",0
1716,"Maurice",0
1717,"Maurice",0
1718,"Maurice",0
1719,"Maurice",0
1720,"Maurice",0
1721,"Maurice",0
1722,"Maurice",0
1723,"Maurice",0
1724,"Maurice",0
1725,"Maurice",0
1726,"Maurice",0
1727,"Maurice",0
1728,"Maurice",0
1729,"Maurice",0
1730,"Maurice",0
1731,"Maurice",0
1732,"Maurice",0
1733,"Maurice",0
1734,"Maurice",0
1735,"Maurice",0
1736,"Maurice",0
1737,"Maurice",0
1738,"Maurice",0
1739,"Maurice",0
1740,"Maurice",0
1741,"Maurice",0
1742,"Maurice",0
1743,"Maurice",0
1744,"Maurice",0
1745,"Maurice",0
1746,"Maurice",0
1747,"Maurice",0
1748,"Maurice",0
1749,"Maurice",0
1750,"Maurice",0
1751,"Maurice",0
1752,"Maurice",0
1753,"Maurice",0
1754,"Maurice",0
1755,"Maurice",0
1756,"Maurice",0
1757,"Maurice",0
1758,"Maurice",0
1759,"Maurice",0
1760,"Maurice",0
1761,"Maurice",0
1762,"Maurice",0
1763,"Maurice",0
1764,"Maurice",0
1765,"Maurice",0
1766,"Maurice",0
1767,"Maurice",0
1768,"Maurice",0
1769,"Maurice",0
1770,"Maurice",0
1771,"Maurice",0
1772,"Maurice",0
1773,"Maurice",0
1774,"Maurice",0
1775,"Maurice",0
1776,"Maurice",0
1777,"Maurice",0
1778,"Maurice",0
1779,"Maurice",0
1780,"Maurice",0
1781,"Maurice",0
1782,"Maurice",0
1783,"Maurice",0
1784,"Maurice",0
1785,"Maurice",0
1786,"Maurice",0
1787,"Maurice",0
1788,"Maurice",0
1789,"Maurice",0
1790,"Maurice",0
1791,"Maurice",0
1792,"Maurice",0
1793,"Maurice",0
1794,"Maurice",0
1795,"Maurice",0
1796,"Maurice",0
1797,"Maurice",0
1798,"Maurice",0
1799,"Maurice",0
1800,"Maurice",0
1801,"Maurice",0
1802,"Maurice",0
1803,"Maurice",0
1804,"Maurice",0
1805,"Maurice",0
1806,"Maurice",0
1807,"Maurice",0
1808,"Maurice",0
1809,"Maurice",0
1810,"Maurice",0
1811,"Maurice",0
1812,"Maurice",0
1813,"Maurice",0
1814,"Maurice",0
1815,"Maurice",0
1816,"Maurice",0
1817,"Maurice",0
1818,"Maurice",0
1819,"Maurice",0
1820,"Maurice",0
1700,"Reunion",0
1701,"Reunion",0
1702,"Reunion",0
1703,"Reunion",0
1704,"Reunion",0
1705,"Reunion",0
1706,"Reunion",0
1707,"Reunion",0
1708,"Reunion",0
1709,"Reunion",0
1710,"Reunion",0
1711,"Reunion",0
1712,"Reunion",0
1713,"Reunion",0
1714,"Reunion",0
1715,"Reunion",0
1716,"Reunion",0
1717,"Reunion",0
1718,"Reunion",0
1719,"Reunion",0
1720,"Reunion",0
1721,"Reunion",0
1722,"Reunion",0
1723,"Reunion",0
1724,"Reunion",0
1725,"Reunion",0
1726,"Reunion",0
1727,"Reunion",0
1728,"Reunion",0
1729,"Reunion",0
1730,"Reunion",0
1731,"Reunion",0
1732,"Reunion",0
1733,"Reunion",0
1734,"Reunion",0
1735,"Reunion",0
1736,"Reunion",0
1737,"Reunion",0
1738,"Reunion",0
1739,"Reunion",0
