,St. Domingue,Martinique ,Guadeloupe,Guyane,Tobago,Ile de france Bourbon,India,Total
Total ,170217313,25640457,13052413,539020,3289160,5630244,7561610,225930217
% of total,0.7534065839,0.1134883919,0.0577718783,0.0023857809,0.0145583005,0.0249202788,0.0334687856,1
