"reporting","partner","partner type","year","import","export","total","currency","source"
"France","Philippines",,1856,1800000,300000,2100000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Portugal",,1856,5100000,10300000,15400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Reunion",,1856,42000000,19500000,61500000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","RussiaUSSR",,1856,95000000,31700000,126700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Senegal",,1856,5100000,7700000,12800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Spain",,1856,107400000,96400000,203800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","SpanishAntilles",,1856,21800000,24100000,45900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","St.MariedeMadagascar_Mayotte_NossiBe",,1856,200000,100000,300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","St.PierreandMiquelon",,1856,19700000,5800000,25500000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Sweden",,1856,9700000,3100000,12800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Switzerland",,1856,59000000,86500000,145500000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Turkey",,1856,109900000,60400000,170300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","TwoSicilies",,1856,66300000,27500000,93800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","UnitedKingdom",,1856,336500000,372200000,708700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","UnitedStatesofAmerica",,1856,222800000,323600000,546400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Uruguay",,1856,5100000,11800000,16900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Venezuela",,1856,3700000,5800000,9500000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","ViceroyaltyofLaPlata",,1856,13400000,19000000,32400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","VirginIslands",,1856,200000,6100000,6300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","WestAfrica",,1856,10500000,2200000,12700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","WorldFedericoTena",,1856,"386115059.288537","367294375.494071","753409434.782608","us dollar","FEDERICO-TENA"
"France","Worldasreported",,1856,1989800000,1893000000,3882800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Worldasreported2",,1856,1521000000,1626900000,3147900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Worldsumpartners",,1856,1989800000,1893000000,3882800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","Worldbestguess",,1856,1989800000,1893000000,3882800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1847-1856, vol. 1."
"France","BritishAmerica",,1856,,,,"french franc",
"France","SpanishAmerica",,1856,,,,"french franc",
"France","Germany",,1856,,,,"french franc",
"France","Othercountries",,1856,,,,"french franc",
"France","Africaother",,1857,1600000,400000,2000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Algeria",,1857,30600000,88800000,119400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Austria",,1857,20600000,7400000,28000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","BarbaryCoast",,1857,14900000,4000000,18900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Belgium",,1857,176400000,167700000,344100000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Bolivia",,1857,0,500000,500000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Brazil",,1857,23100000,65300000,88400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Bremen_Hamburg_Lubeck",,1857,23500000,23500000,47000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","BritishAfrica",,1857,14200000,16000000,30200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","BritishAmerica",,1857,300000,3500000,3800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Chile",,1857,6100000,34100000,40200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
