
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="",="(1.77)",="(2.02)",="",="(3.74)",="(3.76)"

="Angleterre # Wine",="",="8.091",="28.08",="",="956.2***",="952.4***"
="",="",="(0.13)",="(0.45)",="",="(5.22)",="(5.20)"

="Espagne # Coffee",="",="-68.66",="-47.02",="",="-35.75",="-35.63"
="",="",="(-1.12)",="(-0.76)",="",="(-0.58)",="(-0.58)"

="Espagne # Eau de vie",="",="-43.74",="-22.39",="",="414.9*",="429.1*"
="",="",="(-0.72)",="(-0.37)",="",="(2.27)",="(2.35)"

="Espagne # Other",="",="-159.1**",="-137.8*",="",="70.02",="68.63"
="",="",="(-2.60)",="(-2.25)",="",="(0.38)",="(0.38)"

="Espagne # Sugar",="",="-108.2",="-86.86",="",="487.0*",="491.0**"
="",="",="(-1.77)",="(-1.42)",="",="(2.57)",="(2.58)"

="Espagne # Wine",="",="-198.7**",="-177.4**",="",="733.8***",="734.1***"
="",="",="(-3.25)",="(-2.89)",="",="(4.02)",="(4.01)"

="Flandre et autres états de l'Empereur # Coffee",="",="193.5**",="204.6**",="",="221.1***",="218.2***"
="",="",="(2.99)",="(3.16)",="",="(3.41)",="(3.36)"

="Flandre et autres états de l'Empereur # Eau de vie",="",="104.0",="115.7",="",="560.2**",="571.1**"
="",="",="(1.67)",="(1.85)",="",="(3.06)",="(3.11)"

="Flandre et autres états de l'Empereur # Other",="",="-103.2",="-85.53",="",="126.1",="124.7"
="",="",="(-1.69)",="(-1.40)",="",="(0.69)",="(0.68)"

="Flandre et autres états de l'Empereur # Sugar",="",="275.8***",="291.8***",="",="868.1***",="872.8***"
="",="",="(4.25)",="(4.48)",="",="(4.54)",="(4.56)"

="Flandre et autres états de l'Empereur # Wine",="",="150.1*",="162.1**",="",="1078.2***",="1075.0***"
="",="",="(2.44)",="(2.63)",="",="(5.89)",="(5.87)"

="Hollande # Coffee",="",="-0.0200",="1.994",="",="-12.17",="-10.94"
="",="",="(-0.00)",="(0.03)",="",="(-0.20)",="(-0.18)"

="Hollande # Eau de vie",="",="13.36",="15.61",="",="429.0*",="444.2*"
="",="",="(0.22)",="(0.25)",="",="(2.35)",="(2.43)"

="Hollande # Other",="",="-57.61",="-55.35",="",="127.6",="126.6"
="",="",="(-0.94)",="(-0.90)",="",="(0.70)",="(0.69)"

="Hollande # Sugar",="",="131.9*",="134.2*",="",="685.7***",="689.7***"
="",="",="(2.15)",="(2.18)",="",="(3.61)",="(3.62)"

="Hollande # Wine",="",="-43.98",="-41.73",="",="844.2***",="845.2***"
="",="",="(-0.72)",="(-0.68)",="",="(4.62)",="(4.62)"

="Italie # Coffee",="",="-32.07",="-31.33",="",="-34.01",="-33.89"
="",="",="(-0.52)",="(-0.51)",="",="(-0.55)",="(-0.55)"

="Italie # Eau de vie",="",="-91.86",="-90.89",="",="332.7",="346.8"
="",="",="(-1.51)",="(-1.49)",="",="(1.82)",="(1.90)"

="Italie # Other",="",="-108.2",="-107.3",="",="86.81",="85.42"
="",="",="(-1.78)",="(-1.76)",="",="(0.48)",="(0.47)"

="Italie # Sugar",="",="-10.42",="-9.448",="",="550.6**",="554.7**"
="",="",="(-0.17)",="(-0.15)",="",="(2.90)",="(2.92)"

="Italie # Wine",="",="-108.8",="-107.8",="",="789.6***",="789.9***"
="",="",="(-1.79)",="(-1.77)",="",="(4.32)",="(4.32)"

="Levant et Barbarie # Coffee",="",="149.8*",="160.5*",="",="161.1**",="160.5**"
="",="",="(2.41)",="(2.58)",="",="(2.60)",="(2.58)"

="Levant et Barbarie # Eau de vie",="",="-1.766",="8.907",="",="436.7*",="449.5*"
="",="",="(-0.03)",="(0.14)",="",="(2.39)",="(2.46)"

="Levant et Barbarie # Other",="",="-92.42",="-81.01",="",="115.3",="113.9"
="",="",="(-1.51)",="(-1.32)",="",="(0.63)",="(0.62)"

="Levant et Barbarie # Sugar",="",="62.68",="74.54",="",="637.3***",="641.7***"
="",="",="(1.01)",="(1.20)",="",="(3.35)",="(3.37)"

="Levant et Barbarie # Wine",="",="-64.76",="-54.09",="",="846.4***",="845.9***"
="",="",="(-1.05)",="(-0.88)",="",="(4.63)",="(4.62)"

="Nord # Coffee",="",="-101.5",="-96.71",="",="-98.66",="-97.71"
="",="",="(-1.65)",="(-1.57)",="",="(-1.60)",="(-1.58)"

="Nord # Eau de vie",="",="-81.29",="-76.52",="",="348.5",="362.6*"
="",="",="(-1.33)",="(-1.25)",="",="(1.91)",="(1.98)"

="Nord # Other",="",="-191.5**",="-186.7**",="",="8.805",="7.411"
="",="",="(-3.14)",="(-3.05)",="",="(0.05)",="(0.04)"

="Nord # Sugar",="",="66.00",="71.02",="",="633.7***",="637.8***"
="",="",="(1.08)",="(1.15)",="",="(3.34)",="(3.35)"

="Nord # Wine",="",="-85.16",="-80.39",="",="818.5***",="818.8***"
="",="",="(-1.39)",="(-1.31)",="",="(4.48)",="(4.48)"

="Portugal # Coffee",="",="-43.54",="-18.24",="",="19.20",="19.23"
