
="Nord Sugar",="143.1***",="-51.72",="-82.50"
="",="(4.16)",="(-0.29)",="(-0.45)"

="Nord Wine",="109.0***",="-86.30",="-81.45"
="",="(3.34)",="(-0.48)",="(-0.44)"

="Nord Other",="127.4***",="-68.19",="-63.35"
="",="(3.91)",="(-0.38)",="(-0.35)"

="Portugal Coffee",="127.2***",="-125.2",="-117.9"
="",="(4.04)",="(-0.71)",="(-0.65)"

="Portugal Eau de vie",="127.2***",="-61.85",="-54.64"
="",="(3.68)",="(-0.35)",="(-0.30)"

="Portugal Sugar",="144.9***",="-43.76",="-72.25"
="",="(4.13)",="(-0.25)",="(-0.40)"

="Portugal Wine",="111.3***",="-77.75",="-70.56"
="",="(3.34)",="(-0.44)",="(-0.39)"

="Portugal Other",="134.0***",="-55.32",="-48.13"
="",="(4.06)",="(-0.31)",="(-0.26)"

="Suisse Coffee",="102.5**",="-150.8",="-142.4"
="",="(3.26)",="(-0.84)",="(-0.78)"

="Suisse Eau de vie",="99.52**",="-90.74",="-82.60"
="",="(2.87)",="(-0.51)",="(-0.45)"

="Suisse Sugar",="118.3***",="-71.51",="-99.17"
="",="(3.37)",="(-0.40)",="(-0.54)"

="Suisse Wine",="85.00*",="-105.2",="-97.10"
="",="(2.54)",="(-0.59)",="(-0.53)"

="Suisse Other",="105.7**",="-84.80",="-76.69"
="",="(3.19)",="(-0.47)",="(-0.42)"

="États-Unis d'Amérique Coffee",="34.10",="-219.7",="-211.1"
="",="(0.96)",="(-1.23)",="(-1.15)"

="États-Unis d'Amérique Eau de vie",="36.96",="-153.2",="-144.8"
="",="(0.96)",="(-0.85)",="(-0.79)"

="États-Unis d'Amérique Sugar",="50.75",="-139.0",="-166.3"
="",="(1.30)",="(-0.77)",="(-0.90)"

="États-Unis d'Amérique Wine",="20.73",="-169.4",="-161.0"
="",="(0.55)",="(-0.94)",="(-0.87)"

="États-Unis d'Amérique Other",="41.39",="-149.1",="-140.7"
="",="(1.12)",="(-0.83)",="(-0.76)"

="Afrique # year",="0.0792***",="0.0792***",="0.0792***"
="",="(4.51)",="(4.51)",="(4.51)"

="Allemagne et Pologne (par terre) # year",="0.0260***",="0.0260***",="0.0260***"
="",="(12.02)",="(11.95)",="(11.94)"

="Angleterre # year",="0.0218***",="0.0219***",="0.0219***"
="",="(6.57)",="(6.59)",="(6.58)"

="Colonies françaises # year",="0.00297",="0.00300",="0.00300"
="",="(1.12)",="(1.13)",="(1.13)"

="Espagne # year",="0.00867***",="0.00867***",="0.00868***"
="",="(5.69)",="(5.69)",="(5.65)"

="Flandre et autres états de l'Empereur # year",="-0.00447",="-0.00441",="-0.00463"
="",="(-0.96)",="(-0.94)",="(-0.97)"

