
="",="(131.15)",="(133.59)",="(152.84)"

="Suisse Coffee",="48.86***",="6.122***",="41.11***"
="",="(69.34)",="(7.79)",="(54.86)"

="Suisse Eau de vie",="251.6***",="241.7***",="276.8***"
="",="(327.50)",="(285.75)",="(339.29)"

="Suisse Sugar",="102.7***",="71.12***",="127.1***"
="",="(134.61)",="(84.62)",="(156.81)"

="Suisse Wine",="215.3***",="206.8***",="240.9***"
="",="(280.12)",="(244.43)",="(295.11)"

="Suisse Other",="224.3***",="212.0***",="249.0***"
="",="(293.65)",="(251.62)",="(306.58)"

="États-Unis d'Amérique Coffee",="-306.8***",="-348.7***",="-320.3***"
="",="(-231.03)",="(-237.98)",="(-229.16)"

="États-Unis d'Amérique Eau de vie",="-101.9***",="-110.7***",="-82.31***"
="",="(-74.27)",="(-73.22)",="(-56.84)"

="États-Unis d'Amérique Sugar",="-253.2***",="-284.7***",="-234.3***"
="",="(-185.81)",="(-190.43)",="(-162.91)"

="États-Unis d'Amérique Wine",="-139.9***",="-147.3***",="-120.0***"
="",="(-101.91)",="(-97.42)",="(-82.81)"

="États-Unis d'Amérique Other",="-133.8***",="-145.0***",="-114.8***"
="",="(-97.62)",="(-95.96)",="(-79.35)"

="Allemagne # year",="0.0320***",="0.0280***",="0.0310***"
="",="(376.34)",="(348.64)",="(371.87)"

="Angleterre # year",="0.00696***",="0.0147***",="0.00861***"
="",="(43.03)",="(92.96)",="(53.38)"

="Espagne # year",="-0.00309***",="0.0176***",="0.00287***"
="",="(-18.75)",="(104.22)",="(17.17)"

="Flandre et autres états de l'Empereur # year",="-0.00684***",="0.00388***",="-0.00381***"
="",="(-20.72)",="(11.82)",="(-11.52)"

="Hollande # year",="-0.0327***",="-0.0142***",="-0.0299***"
="",="(-171.00)",="(-73.54)",="(-155.43)"

="Italie # year",="-0.00785***",="0.0173***",="0.0000934"
="",="(-37.16)",="(78.43)",="(0.43)"

="Levant et Barbarie # year",="0.00618***",="0.0265***",="0.0141***"
="",="(13.83)",="(57.82)",="(31.05)"

="Nord # year",="0.0259***",="0.0457***",="0.0304***"
="",="(79.90)",="(141.58)",="(94.31)"

="Outre-mers # year",="0.000785",="0.000280",="-0.000373"
="",="(1.86)",="(0.68)",="(-0.90)"

="Portugal # year",="0.0467***",="0.0508***",="0.0463***"
="",="(72.95)",="(82.17)",="(72.90)"

="Suisse # year",="0.00615***",="0.0213***",="0.00910***"
