
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="Angleterre # Sugar",="",="-197.5***",="-209.7***",="",="-235.2***",="-247.1***"
="",="",="(-6.55)",="(-6.88)",="",="(-18.18)",="(-18.92)"

="Angleterre # Wine",="",="-95.93*",="-110.8**",="",="-227.3",="-215.9"
="",="",="(-2.54)",="(-2.90)",="",="(-1.15)",="(-1.08)"

="Espagne # Coffee",="",="-120.1***",="-135.5***",="",="5.454",="-24.53"
="",="",="(-4.06)",="(-4.53)",="",="(0.17)",="(-0.78)"

="Espagne # Eau de vie",="",="-48.92",="-64.91*",="",="-208.7",="-184.9"
="",="",="(-1.68)",="(-2.20)",="",="(-0.56)",="(-0.49)"

="Espagne # Other",="",="-79.80**",="-98.41***",="",="53.16***",="49.67***"
="",="",="(-2.75)",="(-3.36)",="",="(24.92)",="(23.08)"

="Espagne # Sugar",="",="-140.8***",="-161.5***",="",="-174.5***",="-191.9***"
="",="",="(-4.81)",="(-5.46)",="",="(-16.54)",="(-18.05)"

="Espagne # Wine",="",="-84.95**",="-100.6***",="",="-220.7",="-209.4"
="",="",="(-2.90)",="(-3.40)",="",="(-1.12)",="(-1.05)"

="Flandre et autres états de l'Empereur # Coffee",="",="-161.2",="-174.1",="",="-41.20",="-68.98"
="",="",="(-0.43)",="(-0.46)",="",="(-0.11)",="(-0.18)"

="Flandre et autres états de l'Empereur # Eau de vie",="",="-165.4*",="-181.1**",="",="-352.6",="-307.4"
="",="",="(-2.49)",="(-2.70)",="",="(-0.94)",="(-0.81)"

="Flandre et autres états de l'Empereur # Other",="",="-102.0***",="-117.5***",="",="32.02***",="29.38***"
="",="",="(-3.51)",="(-4.00)",="",="(11.67)",="(10.60)"

="Flandre et autres états de l'Empereur # Sugar",="",="-99.81*",="-115.7**",="",="-134.4***",="-155.1***"
="",="",="(-2.28)",="(-2.62)",="",="(-3.86)",="(-4.40)"

="Flandre et autres états de l'Empereur # Wine",="",="-220.8***",="-236.5***",="",="-345.8",="-334.3"
="",="",="(-3.76)",="(-3.99)",="",="(-1.70)",="(-1.63)"

="Hollande # Coffee",="",="30.37",="23.79",="",="103.7**",="94.12**"
="",="",="(1.00)",="(0.77)",="",="(3.28)",="(2.96)"

="Hollande # Eau de vie",="",="-71.88*",="-78.18*",="",="-243.8",="-227.1"
="",="",="(-2.20)",="(-2.37)",="",="(-0.65)",="(-0.60)"

="Hollande # Other",="",="-102.8***",="-117.4***",="",="32.46***",="29.46***"
="",="",="(-3.54)",="(-4.00)",="",="(15.29)",="(13.75)"

="Hollande # Sugar",="",="-143.8***",="-155.7***",="",="-164.9***",="-184.4***"
="",="",="(-4.88)",="(-5.23)",="",="(-14.78)",="(-16.44)"

="Hollande # Wine",="",="-138.6***",="-154.1***",="",="-287.9",="-275.2"
="",="",="(-3.83)",="(-4.22)",="",="(-1.45)",="(-1.37)"

="Italie # Coffee",="",="-83.78*",="-96.19*",="",="29.87",="4.844"
="",="",="(-2.10)",="(-2.38)",="",="(0.72)",="(0.12)"

="Italie # Eau de vie",="",="-180.4***",="-196.4***",="",="-364.6",="-329.3"
="",="",="(-4.60)",="(-4.95)",="",="(-0.98)",="(-0.87)"

="Italie # Other",="",="-92.92**",="-108.2***",="",="39.53***",="36.63***"
="",="",="(-3.20)",="(-3.69)",="",="(18.78)",="(17.24)"

="Italie # Sugar",="",="-107.1***",="-120.5***",="",="-126.0***",="-151.7***"
="",="",="(-3.34)",="(-3.71)",="",="(-7.35)",="(-8.78)"

="Italie # Wine",="",="-153.6***",="-171.1***",="",="-323.3",="-310.9"
="",="",="(-4.65)",="(-5.12)",="",="(-1.63)",="(-1.56)"

="Levant et Barbarie # Coffee",="",="-42.30",="-58.38",="",="96.11**",="66.42*"
="",="",="(-1.38)",="(-1.88)",="",="(2.92)",="(2.03)"

="Levant et Barbarie # Eau de vie",="",="-93.70",="-110.3",="",="-254.3",="-233.3"
="",="",="(-0.23)",="(-0.27)",="",="(-0.46)",="(-0.42)"

="Levant et Barbarie # Other",="",="-71.33*",="-87.20**",="",="70.16***",="67.14***"
="",="",="(-2.46)",="(-2.97)",="",="(32.30)",="(30.63)"

="Levant et Barbarie # Sugar",="",="-153.0",="-168.5",="",="-109.8",="-93.62"
="",="",="(-1.62)",="(-1.77)",="",="(-1.19)",="(-1.01)"

="Levant et Barbarie # Wine",="",="-92.50*",="-108.5*",="",="-225.5",="-213.8"
="",="",="(-1.99)",="(-2.31)",="",="(-1.12)",="(-1.06)"

="Nord # Coffee",="",="241.1***",="229.5***",="",="302.6***",="287.8***"
="",="",="(6.74)",="(6.36)",="",="(8.13)",="(7.72)"

="Nord # Eau de vie",="",="-117.8",="-131.7",="",="-313.7",="-255.2"
="",="",="(-1.64)",="(-1.81)",="",="(-0.83)",="(-0.67)"

="Nord # Other",="",="-101.5***",="-117.6***",="",="35.71***",="33.09***"
="",="",="(-3.50)",="(-4.01)",="",="(16.44)",="(15.09)"

="Nord # Sugar",="",="-133.4***",="-147.1***",="",="-171.4***",="-184.0***"
="",="",="(-4.37)",="(-4.76)",="",="(-12.37)",="(-13.17)"

="Nord # Wine",="",="-121.7**",="-138.0**",="",="-260.6",="-250.7"
="",="",="(-2.67)",="(-2.99)",="",="(-1.30)",="(-1.24)"

="Portugal # Coffee",="",="-139.4***",="-151.5***",="",="-26.17",="-55.76"
="",="",="(-4.18)",="(-4.49)",="",="(-0.74)",="(-1.58)"

="Portugal # Eau de vie",="",="-240.5*",="-256.3*",="",="-408.4",="-377.7"
="",="",="(-2.00)",="(-2.11)",="",="(-1.05)",="(-0.96)"

="Portugal # Other",="",="-143.1***",="-157.8***",="",="-7.509**",="-9.554***"
="",="",="(-4.93)",="(-5.37)",="",="(-3.01)",="(-3.79)"

="Portugal # Sugar",="",="-97.48**",="-106.8***",="",="-149.9***",="-145.0***"
="",="",="(-3.24)",="(-3.51)",="",="(-11.85)",="(-11.34)"

="Portugal # Wine",="",="-61.05",="-75.95*",="",="-199.2",="-187.9"
="",="",="(-1.80)",="(-2.22)",="",="(-1.01)",="(-0.94)"

="Suisse # Coffee",="",="-127.3",="-138.5*",="",="-66.09",="-84.45"
="",="",="(-1.93)",="(-2.08)",="",="(-0.98)",="(-1.24)"

="Suisse # Eau de vie",="",="-77.91",="-93.60",="",="-280.9",="-235.2"
="",="",="(-0.40)",="(-0.48)",="",="(-0.67)",="(-0.55)"

="Suisse # Other",="",="-94.98**",="-111.0***",="",="38.45***",="35.07***"
="",="",="(-3.27)",="(-3.78)",="",="(16.81)",="(15.20)"

="Suisse # Sugar",="",="-81.81",="-93.64",="",="-92.20",="-115.6*"
="",="",="(-1.36)",="(-1.54)",="",="(-1.68)",="(-2.09)"

="Suisse # Wine",="",="-160.0**",="-177.0**",="",="-317.3",="-302.6"
="",="",="(-2.91)",="(-3.19)",="",="(-1.56)",="(-1.48)"

="États-Unis d'Amérique # Coffee",="",="-43.41",="-57.82",="",="109.1***",="82.17*"
="",="",="(-1.39)",="(-1.83)",="",="(3.33)",="(2.53)"

="États-Unis d'Amérique # Eau de vie",="",="143.8",="125.8",="",="0",="0"
="",="",="(0.39)",="(0.34)",="",="(.)",="(.)"

="États-Unis d'Amérique # Other",="",="-144.6***",="-160.8***",="",="0",="0"
="",="",="(-4.97)",="(-5.47)",="",="(.)",="(.)"

="États-Unis d'Amérique # Sugar",="",="-41.46",="-55.41",="",="0",="0"
="",="",="(-1.36)",="(-1.79)",="",="(.)",="(.)"

="États-Unis d'Amérique # Wine",="",="50.99",="33.47",="",="0",="0"
="",="",="(0.26)",="(0.17)",="",="(.)",="(.)"

="Allemagne # Coffee # year",="",="-0.0428**",="-0.0516**",="",="0.0341*",="0.0184"
="",="",="(-2.66)",="(-3.17)",="",="(1.97)",="(1.07)"

="Allemagne # Eau de vie # year",="",="0.0614**",="0.0609**",="",="0.0659***",="0.0644***"
="",="",="(3.26)",="(3.20)",="",="(3.43)",="(3.31)"

="Allemagne # Other # year",="",="0.0377***",="0.0376***",="",="0.0417***",="0.0417***"
="",="",="(80.91)",="(80.44)",="",="(89.44)",="(88.67)"

="Allemagne # Sugar # year",="",="-0.0629***",="-0.0732***",="",="-0.0888***",="-0.0917***"
="",="",="(-3.73)",="(-4.30)",="",="(-5.10)",="(-5.22)"

="Allemagne # Wine # year",="",="0.00517",="0.00525",="",="0.0130",="0.0137"
="",="",="(0.62)",="(0.62)",="",="(1.51)",="(1.58)"

="Angleterre # Coffee # year",="",="0.0280***",="0.0262***",="",="0.0278***",="0.0284***"
="",="",="(8.51)",="(7.86)",="",="(8.04)",="(8.23)"

="Angleterre # Eau de vie # year",="",="-0.0100",="-0.00975",="",="-0.00720",="-0.00596"
="",="",="(-0.44)",="(-0.42)",="",="(-0.31)",="(-0.25)"

="Angleterre # Other # year",="",="0.0172***",="0.0171***",="",="0.0182***",="0.0175***"
="",="",="(43.32)",="(42.56)",="",="(46.01)",="(43.71)"

="Angleterre # Sugar # year",="",="0.0675***",="0.0654***",="",="0.0753***",="0.0686***"
="",="",="(14.98)",="(14.35)",="",="(16.32)",="(14.76)"

="Angleterre # Wine # year",="",="0.00838",="0.00780",="",="0.00701",="0.00749"
="",="",="(0.62)",="(0.57)",="",="(0.51)",="(0.54)"

="Espagne # Coffee # year",="",="0.0235***",="0.0233***",="",="0.0308***",="0.0317***"
="",="",="(7.46)",="(7.29)",="",="(9.29)",="(9.53)"

="Espagne # Eau de vie # year",="",="-0.0150***",="-0.0150***",="",="-0.0205***",="-0.0162***"
="",="",="(-8.72)",="(-8.60)",="",="(-9.87)",="(-7.97)"

="Espagne # Other # year",="",="0.00306***",="0.00460***",="",="0.00424***",="0.00441***"
="",="",="(9.68)",="(14.58)",="",="(13.49)",="(13.90)"

="Espagne # Sugar # year",="",="0.0361***",="0.0389***",="",="0.0417***",="0.0383***"
="",="",="(17.05)",="(18.17)",="",="(18.48)",="(16.87)"

="Espagne # Wine # year",="",="0.00396",="0.00382",="",="0.00506*",="0.00558*"
="",="",="(1.76)",="(1.68)",="",="(2.16)",="(2.38)"

="Flandre et autres états de l'Empereur # Coffee # year",="",="0.0444",="0.0428",="",="0.0549",="0.0546"
="",="",="(0.21)",="(0.20)",="",="(0.26)",="(0.25)"

="Flandre et autres états de l'Empereur # Eau de vie # year",="",="0.0483",="0.0482",="",="0.0582",="0.0506"
="",="",="(1.44)",="(1.42)",="",="(1.70)",="(1.46)"

="Flandre et autres états de l'Empereur # Other # year",="",="0.0151***",="0.0149***",="",="0.0157***",="0.0154***"
="",="",="(15.05)",="(14.67)",="",="(15.36)",="(14.89)"

="Flandre et autres états de l'Empereur # Sugar # year",="",="0.0114",="0.0114",="",="0.0176",="0.0161"
="",="",="(0.62)",="(0.61)",="",="(0.94)",="(0.84)"

="Flandre et autres états de l'Empereur # Wine # year",="",="0.0788**",="0.0787**",="",="0.0738*",="0.0742*"
="",="",="(2.75)",="(2.71)",="",="(2.52)",="(2.51)"

="Hollande # Coffee # year",="",="-0.0585***",="-0.0637***",="",="-0.0224***",="-0.0327***"
="",="",="(-11.49)",="(-12.45)",="",="(-3.81)",="(-5.89)"

="Hollande # Eau de vie # year",="",="-0.00314",="-0.00850",="",="-0.00182",="0.00650"
="",="",="(-0.38)",="(-1.01)",="",="(-0.17)",="(0.66)"

="Hollande # Other # year",="",="0.0160***",="0.0153***",="",="0.0159***",="0.0158***"
="",="",="(54.66)",="(51.72)",="",="(54.17)",="(53.27)"

="Hollande # Sugar # year",="",="0.0382***",="0.0359***",="",="0.0367***",="0.0346***"
="",="",="(13.46)",="(12.56)",="",="(12.42)",="(11.70)"

="Hollande # Wine # year",="",="0.0327**",="0.0324**",="",="0.0415***",="0.0412***"
="",="",="(2.72)",="(2.67)",="",="(3.37)",="(3.31)"

="Italie # Coffee # year",="",="0.00260",="0.000648",="",="0.0164",="0.0146"
="",="",="(0.17)",="(0.04)",="",="(1.06)",="(0.93)"

="Italie # Eau de vie # year",="",="0.0563***",="0.0563***",="",="0.0645***",="0.0624***"
="",="",="(3.85)",="(3.82)",="",="(4.30)",="(4.13)"

="Italie # Other # year",="",="0.0106***",="0.0103***",="",="0.0121***",="0.0119***"
="",="",="(39.66)",="(38.01)",="",="(46.35)",="(45.27)"

="Italie # Sugar # year",="",="0.0162*",="0.0148",="",="0.0135",="0.0148"
="",="",="(2.12)",="(1.92)",="",="(1.72)",="(1.87)"

="Italie # Wine # year",="",="0.0409***",="0.0418***",="",="0.0612***",="0.0612***"
="",="",="(4.65)",="(4.70)",="",="(6.26)",="(6.23)"

="Levant et Barbarie # Coffee # year",="",="-0.0205***",="-0.0204***",="",="-0.0204***",="-0.0196***"
="",="",="(-3.60)",="(-3.54)",="",="(-3.49)",="(-3.32)"

="Levant et Barbarie # Eau de vie # year",="",="0.00472",="0.00511",="",="-0.000152",="0.00565"
="",="",="(0.02)",="(0.02)",="",="(-0.00)",="(0.02)"

="Levant et Barbarie # Other # year",="",="-0.00175***",="-0.00177***",="",="-0.00539***",="-0.00550***"
="",="",="(-4.47)",="(-4.48)",="",="(-13.79)",="(-13.92)"

="Levant et Barbarie # Sugar # year",="",="0.0406",="0.0403",="",="0.00330",="-0.0187"
="",="",="(0.82)",="(0.80)",="",="(0.07)",="(-0.36)"

="Levant et Barbarie # Wine # year",="",="0.00582",="0.00587",="",="0.00535",="0.00568"
="",="",="(0.29)",="(0.29)",="",="(0.26)",="(0.27)"

="Nord # Coffee # year",="",="-0.176***",="-0.178***",="",="-0.133***",="-0.141***"
="",="",="(-15.17)",="(-15.23)",="",="(-10.92)",="(-11.53)"

="Nord # Eau de vie # year",="",="0.0215",="0.0204",="",="0.0361",="0.0212"
="",="",="(0.59)",="(0.55)",="",="(0.96)",="(0.56)"

="Nord # Other # year",="",="0.0152***",="0.0153***",="",="0.0140***",="0.0136***"
="",="",="(40.13)",="(40.10)",="",="(36.43)",="(35.23)"

="Nord # Sugar # year",="",="0.0324***",="0.0311***",="",="0.0404***",="0.0344***"
="",="",="(6.10)",="(5.80)",="",="(7.36)",="(6.24)"

="Nord # Wine # year",="",="0.0228",="0.0230",="",="0.0257",="0.0270"
="",="",="(1.16)",="(1.16)",="",="(1.28)",="(1.33)"

="Portugal # Coffee # year",="",="0.0337***",="0.0316***",="",="0.0477***",="0.0484***"
="",="",="(3.70)",="(3.42)",="",="(5.08)",="(5.12)"

="Portugal # Eau de vie # year",="",="0.0905",="0.0904",="",="0.0895",="0.0900"
="",="",="(1.38)",="(1.37)",="",="(1.34)",="(1.33)"

="Portugal # Other # year",="",="0.0378***",="0.0371***",="",="0.0374***",="0.0367***"
="",="",="(49.03)",="(47.59)",="",="(47.57)",="(46.27)"

="Portugal # Sugar # year",="",="0.0117**",="0.00803",="",="0.0276***",="0.0118*"
="",="",="(2.61)",="(1.78)",="",="(5.96)",="(2.56)"

="Portugal # Wine # year",="",="-0.0104",="-0.0110",="",="-0.00806",="-0.00755"
="",="",="(-1.07)",="(-1.11)",="",="(-0.80)",="(-0.75)"

="Suisse # Coffee # year",="",="0.0262",="0.0236",="",="0.0692*",="0.0637"
="",="",="(0.80)",="(0.71)",="",="(2.06)",="(1.88)"

="Suisse # Eau de vie # year",="",="-0.00277",="-0.00289",="",="0.0158",="0.00806"
="",="",="(-0.03)",="(-0.03)",="",="(0.15)",="(0.07)"

="Suisse # Other # year",="",="0.0110***",="0.0111***",="",="0.0120***",="0.0121***"
="",="",="(19.98)",="(19.93)",="",="(21.50)",="(21.47)"

="Suisse # Sugar # year",="",="0.00124",="-0.00103",="",="-0.00618",="-0.00616"
="",="",="(0.04)",="(-0.03)",="",="(-0.21)",="(-0.20)"

="Suisse # Wine # year",="",="0.0441",="0.0447",="",="0.0574*",="0.0560*"
="",="",="(1.70)",="(1.71)",="",="(2.17)",="(2.09)"

="États-Unis d'Amérique # Coffee # year",="",="-0.0178**",="-0.0186**",="",="-0.0256***",="-0.0264***"
="",="",="(-2.80)",="(-2.90)",="",="(-3.70)",="(-3.83)"

="États-Unis d'Amérique # Eau de vie # year",="",="-0.125",="-0.124",="",="-0.139",="-0.122"
="",="",="(-0.62)",="(-0.61)",="",="(-0.67)",="(-0.58)"

="États-Unis d'Amérique # Other # year",="",="0.0390***",="0.0391***",="",="0.0336***",="0.0318***"
="",="",="(34.53)",="(34.41)",="",="(29.49)",="(27.68)"

="États-Unis d'Amérique # Sugar # year",="",="-0.0187***",="-0.0198***",="",="-0.0548***",="-0.0678***"
="",="",="(-3.54)",="(-3.70)",="",="(-9.82)",="(-12.10)"

="États-Unis d'Amérique # Wine # year",="",="-0.0731",="-0.0722",="",="-0.119",="-0.112"
="",="",="(-0.69)",="(-0.67)",="",="(-1.09)",="(-1.02)"

="Coffee # 0",="",="",="",="0",="0",="0"
="",="",="",="",="(.)",="(.)",="(.)"

="Coffee # Blockade",="",="",="",="-0.599***",="-0.407***",="-0.287***"
="",="",="",="",="(-15.33)",="(-5.60)",="(-5.17)"

="Coffee # Mercantilist_War",="",="",="",="0.634***",="0.349***",="0.493***"
="",="",="",="",="(23.50)",="(6.95)",="(11.74)"

="Eau de vie # 0",="",="",="",="0",="308.3",="248.4"
="",="",="",="",="(.)",="(0.83)",="(0.66)"

="Eau de vie # Blockade",="",="",="",="-4.145***",="306.5",="247.4"
="",="",="",="",="(-11.09)",="(0.82)",="(0.66)"

="Eau de vie # Mercantilist_War",="",="",="",="-0.204***",="308.1",="248.6"
="",="",="",="",="(-5.07)",="(0.83)",="(0.66)"

="Other # 0",="",="",="",="0",="3.710",="-21.35"
="",="",="",="",="(.)",="(0.12)",="(-0.69)"

="Other # Blockade",="",="",="",="-0.166***",="3.841",="-21.45"
="",="",="",="",="(-25.07)",="(0.12)",="(-0.69)"

="Other # Mercantilist_War",="",="",="",="0.0736***",="3.816",="-21.27"
="",="",="",="",="(17.01)",="(0.12)",="(-0.68)"

="Sugar # 0",="",="",="",="0",="162.0***",="157.2***"
="",="",="",="",="(.)",="(4.93)",="(4.82)"

="Sugar # Blockade",="",="",="",="0.485***",="163.1***",="157.8***"
="",="",="",="",="(21.20)",="(4.96)",="(4.84)"

="Sugar # Mercantilist_War",="",="",="",="0.469***",="162.5***",="157.7***"
="",="",="",="",="(22.60)",="(4.95)",="(4.83)"

="Wine # 0",="",="",="",="0",="272.7",="232.2"
="",="",="",="",="(.)",="(1.37)",="(1.15)"

="Wine # Blockade",="",="",="",="-1.839***",="271.2",="231.0"
="",="",="",="",="(-8.47)",="(1.36)",="(1.15)"

="Wine # Mercantilist_War",="",="",="",="-0.555***",="272.1",="231.7"
="",="",="",="",="(-7.37)",="(1.36)",="(1.15)"

="Coffee # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Coffee # Blockade # year_of_war",="",="",="",="-0.0566***",="0.0293",=""
="",="",="",="",="(-7.48)",="(1.86)",=""

="Coffee # Mercantilist_War # year_of_war",="",="",="",="0.0695***",="0.0340***",=""
="",="",="",="",="(18.83)",="(4.80)",=""

="Eau de vie # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Eau de vie # Blockade # year_of_war",="",="",="",="0.330***",="0.165",=""
="",="",="",="",="(5.07)",="(1.29)",=""

="Eau de vie # Mercantilist_War # year_of_war",="",="",="",="0.111***",="0.126***",=""
="",="",="",="",="(12.30)",="(8.07)",=""

="Other # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Other # Blockade # year_of_war",="",="",="",="-0.0338***",="-0.0681***",=""
="",="",="",="",="(-22.40)",="(-26.00)",=""

="Other # Mercantilist_War # year_of_war",="",="",="",="-0.0383***",="-0.00713***",=""
="",="",="",="",="(-38.87)",="(-4.21)",=""

="Sugar # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Sugar # Blockade # year_of_war",="",="",="",="-0.160***",="-0.180***",=""
="",="",="",="",="(-37.08)",="(-20.40)",=""

="Sugar # Mercantilist_War # year_of_war",="",="",="",="0.0301***",="0.0234***",=""
="",="",="",="",="(10.05)",="(4.38)",=""

="Wine # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Wine # Blockade # year_of_war",="",="",="",="0.0639",="0.0576",=""
="",="",="",="",="(1.34)",="(0.69)",=""

