
="",="(-0.48)",="(-0.42)",="(-0.63)",="(-0.68)"

="Levant et Barbarie # Wine",="-62.57",="-58.27",="-104.4",="-91.64"
="",="(-1.15)",="(-1.10)",="(-1.17)",="(-1.01)"

="Nord # Coffee",="99.73",="102.7",="698.7*",="734.5*"
="",="(0.86)",="(0.90)",="(2.23)",="(2.00)"

="Nord # Eau de vie",="-53.18",="-49.60",="-35.74",="110.8"
="",="(-0.77)",="(-0.74)",="(.)",="(.)"

="Nord # Other",="-74.17",="-69.84",="24.23",="23.31"
="",="(-1.38)",="(-1.32)",="(1.77)",="(1.66)"

="Nord # Sugar",="-80.17",="-76.99",="287.7**",="209.2*"
="",="(-1.26)",="(-1.24)",="(2.91)",="(2.22)"

="Nord # Wine",="-102.9",="-98.48",="-124.6",="-112.2"
="",="(-1.83)",="(-1.80)",="(-1.36)",="(-1.21)"

="Outre-mers # Coffee",="-75.50",="-71.19",="445.5",="380.8"
="",="(-1.33)",="(-1.29)",="(1.55)",="(1.13)"

="Outre-mers # Eau de vie",="5368.9",="5372.8",="4287.9",="4383.9"
="",="(.)",="(.)",="(.)",="(.)"

="Outre-mers # Other",="-60.19",="-55.91",="40.29*",="39.44*"
="",="(-1.09)",="(-1.04)",="(2.48)",="(2.39)"

="Outre-mers # Sugar",="-60.07",="-55.72",="194.2**",="191.2***"
="",="(-1.11)",="(-1.04)",="(2.82)",="(3.38)"

="Outre-mers # Wine",="-29.72",="-25.36",="-90.43",="-80.27"
="",="(-0.53)",="(-0.46)",="(-1.01)",="(-0.89)"

="Portugal # Coffee",="-98.89",="-83.69",="98.37",="46.03"
="",="(-1.74)",="(-1.50)",="(0.33)",="(0.13)"

="Portugal # Eau de vie",="-173.6*",="-167.4*",="-66.35",="15.64"
="",="(-2.13)",="(-2.03)",="(.)",="(0.12)"

="Portugal # Other",="-102.2",="-95.31",="-9.755",="-10.40"
="",="(-1.88)",="(-1.78)",="(-0.72)",="(-0.74)"

="Portugal # Sugar",="-49.98",="-41.76",="99.60",="72.65"
="",="(-0.74)",="(-0.66)",="(0.46)",="(0.37)"

="Portugal # Wine",="-23.18",="-18.85",="-65.49",="-51.88"
="",="(-0.41)",="(-0.33)",="(-0.71)",="(-0.55)"

="Suisse # Coffee",="-92.66",="-90.76",="32.08",="24.90"
="",="(-1.50)",="(-1.46)",="(0.10)",="(0.07)"

="Suisse # Eau de vie",="-46.08",="-42.48",="-104.0",="-14.00"
="",="(-0.74)",="(-0.70)",="(.)",="(.)"

="Suisse # Other",="-74.55",="-70.14",="29.13*",="28.07*"
="",="(-1.40)",="(-1.32)",="(2.07)",="(1.96)"

="Suisse # Sugar",="-30.44",="-26.95",="70.00",="5.144"
="",="(-0.53)",="(-0.47)",="(0.67)",="(0.05)"

="Suisse # Wine",="-105.0",="-101.1",="-146.6",="-118.6"
="",="(-1.85)",="(-1.79)",="(-1.63)",="(-1.30)"

="États-Unis d'Amérique # Coffee",="-56.98",="-52.90",="224.2",="156.2"
="",="(-0.78)",="(-0.73)",="(0.75)",="(0.45)"

="États-Unis d'Amérique # Eau de vie",="56.28",="61.23",="0",="0"
="",="(0.64)",="(0.70)",="(.)",="(.)"

="États-Unis d'Amérique # Other",="-78.85",="-74.37",="0",="0"
="",="(-1.42)",="(-1.37)",="(.)",="(.)"

="États-Unis d'Amérique # Sugar",="-39.06",="-35.14",="0",="0"
="",="(-0.52)",="(-0.47)",="(.)",="(.)"

="États-Unis d'Amérique # Wine",="62.05",="66.86",="0",="0"
="",="(0.79)",="(0.86)",="(.)",="(.)"

="Allemagne # Coffee # year",="-0.0305",="-0.0281",="0.311",="0.275"
="",="(-1.02)",="(-0.96)",="(1.92)",="(1.45)"

="Allemagne # Eau de vie # year",="0.0648**",="0.0650**",="0.119**",="0.126**"
="",="(2.89)",="(2.88)",="(2.92)",="(2.76)"

="Allemagne # Other # year",="0.0400***",="0.0396***",="0.0549***",="0.0550***"
="",="(5.86)",="(5.86)",="(6.81)",="(6.66)"

="Allemagne # Sugar # year",="-0.0370**",="-0.0368**",="0.0973",="0.139"
="",="(-2.96)",="(-3.01)",="(0.59)",="(1.12)"

="Allemagne # Wine # year",="0.00691",="0.00670",="0.0108",="0.0107"
="",="(1.06)",="(1.03)",="(1.65)",="(1.64)"

="Angleterre # Coffee # year",="0.0238**",="0.0223**",="0.134**",="0.134**"
="",="(2.84)",="(2.82)",="(3.27)",="(3.19)"

="Angleterre # Eau de vie # year",="-0.00684",="-0.0103",="0.0114",="0.0236"
="",="(-0.55)",="(-0.88)",="(0.84)",="(1.75)"

="Angleterre # Other # year",="0.0118***",="0.0112***",="0.0220***",="0.0218***"
="",="(3.61)",="(3.56)",="(6.20)",="(6.17)"

="Angleterre # Sugar # year",="0.0178",="0.0165",="0.0992**",="0.101**"
="",="(1.08)",="(1.02)",="(2.72)",="(2.89)"

="Angleterre # Wine # year",="0.00589",="0.00415",="0.00394",="0.00454"
="",="(1.10)",="(0.81)",="(0.57)",="(0.56)"

="Espagne # Coffee # year",="0.0163**",="0.0160**",="0.195***",="0.169**"
="",="(2.62)",="(2.77)",="(3.53)",="(2.88)"

="Espagne # Eau de vie # year",="-0.0145",="-0.0148",="-0.0276",="-0.0147"
="",="(-0.75)",="(-0.77)",="(-1.89)",="(-0.93)"

="Espagne # Other # year",="0.00400",="0.00510",="0.0116**",="0.0113**"
="",="(1.28)",="(1.62)",="(3.13)",="(3.09)"

="Espagne # Sugar # year",="0.0221",="0.0222",="0.158**",="0.171**"
="",="(1.74)",="(1.63)",="(2.66)",="(2.92)"

="Espagne # Wine # year",="0.00405",="0.00394",="0.00701",="0.00878"
="",="(0.77)",="(0.74)",="(1.35)",="(1.52)"

="Flandre et autres états de l'Empereur # Coffee # year",="0.0316",="0.0306",="0.00475",="-0.00416"
="",="(1.32)",="(1.30)",="(0.14)",="(-0.11)"

="Flandre et autres états de l'Empereur # Eau de vie # year",="0.0133",="0.0138",="0.0358",="0.0183"
="",="(0.62)",="(0.64)",="(1.34)",="(0.61)"

="Flandre et autres états de l'Empereur # Other # year",="0.0224***",="0.0222***",="0.0267***",="0.0267***"
="",="(3.99)",="(3.97)",="(5.09)",="(5.10)"

="Flandre et autres états de l'Empereur # Sugar # year",="0.0159",="0.0164",="0.0120",="0.0200"
="",="(0.89)",="(0.93)",="(0.51)",="(1.12)"

="Flandre et autres états de l'Empereur # Wine # year",="0.0629***",="0.0630***",="0.0552***",="0.0557***"
="",="(4.28)",="(4.29)",="(3.53)",="(3.62)"

="Hollande # Coffee # year",="-0.0237",="-0.0222",="0.118*",="0.0533"
="",="(-0.89)",="(-0.87)",="(2.36)",="(1.35)"

="Hollande # Eau de vie # year",="0.00329",="-0.000276",="0.00767",="0.0238"
="",="(0.24)",="(-0.02)",="(0.32)",="(1.28)"

="Hollande # Other # year",="0.0167***",="0.0164***",="0.0251***",="0.0248***"
="",="(6.41)",="(6.33)",="(7.02)",="(7.01)"

="Hollande # Sugar # year",="0.0173",="0.0175",="0.0362",="0.0649***"
="",="(1.31)",="(1.39)",="(1.53)",="(3.45)"

="Hollande # Wine # year",="0.0296**",="0.0296**",="0.0320*",="0.0308**"
="",="(2.91)",="(2.90)",="(2.55)",="(2.75)"

="Italie # Coffee # year",="-0.0146",="-0.0146",="0.0373",="0.0357"
="",="(-1.50)",="(-1.51)",="(1.31)",="(1.50)"

="Italie # Eau de vie # year",="0.0268",="0.0269",="0.0856**",="0.112**"
="",="(1.48)",="(1.48)",="(2.58)",="(3.15)"

="Italie # Other # year",="0.0125***",="0.0121***",="0.0206***",="0.0204***"
="",="(6.69)",="(6.55)",="(8.28)",="(8.34)"

="Italie # Sugar # year",="0.00712",="0.00727",="0.0900",="0.112"
="",="(0.60)",="(0.62)",="(1.09)",="(1.38)"

="Italie # Wine # year",="0.0555***",="0.0553***",="0.0546***",="0.0443***"
="",="(6.00)",="(5.98)",="(4.02)",="(3.57)"

="Levant et Barbarie # Coffee # year",="-0.0120**",="-0.0120**",="-0.0154",="-0.0140"
="",="(-2.86)",="(-2.96)",="(-1.83)",="(-1.83)"

="Levant et Barbarie # Eau de vie # year",="0.00124",="0.00107",="0.00747",="0.0246*"
="",="(0.25)",="(0.24)",="(0.69)",="(2.23)"

="Levant et Barbarie # Other # year",="-0.00292",="-0.00294",="0.00530",="0.00514"
="",="(-0.66)",="(-0.66)",="(1.06)",="(1.04)"

="Levant et Barbarie # Sugar # year",="-0.0149",="-0.0149",="0.185**",="0.182**"
="",="(-0.75)",="(-0.75)",="(2.68)",="(2.71)"

="Levant et Barbarie # Wine # year",="0.00144",="0.00141",="0.00447",="0.00522"
="",="(0.40)",="(0.39)",="(0.81)",="(0.83)"

="Nord # Coffee # year",="-0.0852",="-0.0846",="-0.0764",="-0.132"
="",="(-1.48)",="(-1.50)",="(-1.17)",="(-1.81)"

="Nord # Eau de vie # year",="-0.00206",="-0.00169",="0.0299",="0.00422"
="",="(-0.09)",="(-0.07)",="(0.63)",="(0.16)"

="Nord # Other # year",="0.0122***",="0.0122***",="0.0217***",="0.0214***"
="",="(3.60)",="(3.78)",="(6.00)",="(5.99)"

="Nord # Sugar # year",="0.0151",="0.0157",="-0.000103",="0.0416"
="",="(0.77)",="(0.85)",="(-0.01)",="(1.44)"

="Nord # Wine # year",="0.0248**",="0.0247**",="0.0166*",="0.0176*"
="",="(2.77)",="(2.77)",="(1.98)",="(2.21)"

="Outre-mers # Coffee # year",="0.0137",="0.0137",="0.0663**",="0.0665**"
="",="(1.38)",="(1.38)",="(2.75)",="(2.75)"

="Outre-mers # Eau de vie # year",="-2.985***",="-2.985***",="-2.348",="-2.346"
="",="(-100.48)",="(-103.24)",="(.)",="(.)"

="Outre-mers # Other # year",="0.00471",="0.00468",="0.0130",="0.0127"
="",="(0.72)",="(0.72)",="(1.93)",="(1.89)"

="Outre-mers # Sugar # year",="0.00501",="0.00494",="0.0532**",="0.0532**"
="",="(0.85)",="(0.84)",="(2.91)",="(2.93)"

="Outre-mers # Wine # year",="-0.0163",="-0.0164*",="-0.00280",="-0.000616"
="",="(-1.96)",="(-1.97)",="(-0.24)",="(-0.05)"

="Portugal # Coffee # year",="0.0235*",="0.0175",="0.255***",="0.249***"
="",="(2.29)",="(1.79)",="(3.81)",="(3.62)"

="Portugal # Eau de vie # year",="0.0654",="0.0644",="0.0476",="0.0576"
="",="(1.92)",="(1.80)",="(1.05)",="(1.52)"

="Portugal # Other # year",="0.0273***",="0.0259***",="0.0400***",="0.0396***"
="",="(7.25)",="(6.53)",="(10.01)",="(9.99)"

="Portugal # Sugar # year",="-0.00231",="-0.00450",="0.104",="0.117"
="",="(-0.10)",="(-0.23)",="(0.86)",="(1.05)"

="Portugal # Wine # year",="-0.0191",="-0.0191",="-0.0158",="-0.0156"
="",="(-1.83)",="(-1.85)",="(-1.55)",="(-1.51)"

="Suisse # Coffee # year",="0.0193",="0.0206",="0.292**",="0.260**"
="",="(0.99)",="(1.08)",="(3.24)",="(2.63)"

="Suisse # Eau de vie # year",="-0.00811",="-0.00776",="0.0658*",="0.0715"
="",="(-0.49)",="(-0.47)",="(2.24)",="(1.89)"

="Suisse # Other # year",="0.0120***",="0.0119***",="0.0185***",="0.0183***"
="",="(3.58)",="(3.62)",="(6.04)",="(5.95)"

="Suisse # Sugar # year",="-0.0149",="-0.0145",="0.119",="0.153*"
="",="(-1.06)",="(-1.04)",="(1.70)",="(2.10)"

="Suisse # Wine # year",="0.0261*",="0.0263*",="0.0292*",="0.0214"
="",="(2.29)",="(2.28)",="(2.23)",="(1.82)"

="États-Unis d'Amérique # Coffee # year",="0.00203",="0.00211",="0.187***",="0.189**"
="",="(0.07)",="(0.08)",="(3.48)",="(3.22)"

="États-Unis d'Amérique # Eau de vie # year",="-0.0641",="-0.0644",="0.00916",="0.0643"
="",="(-1.66)",="(-1.67)",="(.)",="(.)"

="États-Unis d'Amérique # Other # year",="0.0147*",="0.0146*",="0.0350***",="0.0342***"
="",="(1.99)",="(2.01)",="(4.49)",="(4.34)"

="États-Unis d'Amérique # Sugar # year",="-0.00776",="-0.00759",="0.159**",="0.157***"
="",="(-0.27)",="(-0.26)",="(3.07)",="(3.48)"

="États-Unis d'Amérique # Wine # year",="-0.0671*",="-0.0674*",="-0.0528",="-0.0450"
="",="(-2.12)",="(-2.15)",="(-1.05)",="(-0.87)"

="Coffee # 0",="",="",="0",="0"
="",="",="",="(.)",="(.)"

="Coffee # Blockade",="",="",="-4.523***",="-4.528***"
="",="",="",="(-4.92)",="(-4.97)"

="Coffee # Mercantilist_War",="",="",="-1.361***",="-1.059***"
="",="",="",="(-5.62)",="(-4.02)"

="Eau de vie # 0",="",="",="539.1",="375.0"
="",="",="",="(.)",="(1.08)"

="Eau de vie # Blockade",="",="",="538.1",="373.5"
="",="",="",="(.)",="(1.20)"

="Eau de vie # Mercantilist_War",="",="",="538.6",="375.1"
="",="",="",="(.)",="(1.21)"

="Other # 0",="",="",="499.4",="436.5"
="",="",="",="(1.72)",="(1.28)"

="Other # Blockade",="",="",="498.8",="436.0"
="",="",="",="(1.71)",="(1.28)"

="Other # Mercantilist_War",="",="",="499.2",="436.3"
="",="",="",="(1.71)",="(1.28)"

="Sugar # 0",="",="",="274.6",="213.4"
="",="",="",="(0.90)",="(0.61)"

="Sugar # Blockade",="",="",="271.7",="210.5"
="",="",="",="(0.89)",="(0.60)"

="Sugar # Mercantilist_War",="",="",="274.5",="213.2"
="",="",="",="(0.90)",="(0.61)"

="Wine # 0",="",="",="651.1*",="572.7"
="",="",="",="(2.14)",="(1.62)"

="Wine # Blockade",="",="",="650.9*",="572.4"
="",="",="",="(2.14)",="(1.62)"

="Wine # Mercantilist_War",="",="",="650.3*",="572.2"
="",="",="",="(2.13)",="(1.62)"

="Coffee # 0 # year_of_war",="",="",="0",=""
="",="",="",="(.)",=""

="Coffee # Blockade # year_of_war",="",="",="0.00175",=""
="",="",="",="(0.02)",=""

="Coffee # Mercantilist_War # year_of_war",="",="",="0.149***",=""
="",="",="",="(3.55)",=""

="Eau de vie # 0 # year_of_war",="",="",="0",=""
="",="",="",="(.)",=""

="Eau de vie # Blockade # year_of_war",="",="",="-0.0169",=""
="",="",="",="(-0.16)",=""

="Eau de vie # Mercantilist_War # year_of_war",="",="",="0.204*",=""
="",="",="",="(2.56)",=""

="Other # 0 # year_of_war",="",="",="0",=""
="",="",="",="(.)",=""

="Other # Blockade # year_of_war",="",="",="0.00898",=""
="",="",="",="(0.50)",=""

="Other # Mercantilist_War # year_of_war",="",="",="-0.0127",=""
="",="",="",="(-0.61)",=""

="Sugar # 0 # year_of_war",="",="",="0",=""
="",="",="",="(.)",=""

="Sugar # Blockade # year_of_war",="",="",="-0.0552",=""
="",="",="",="(-0.95)",=""

="Sugar # Mercantilist_War # year_of_war",="",="",="-0.131",=""
="",="",="",="(-1.75)",=""

="Wine # 0 # year_of_war",="",="",="0",=""
="",="",="",="(.)",=""

="Wine # Blockade # year_of_war",="",="",="-0.196***",=""
="",="",="",="(-4.69)",=""

="Wine # Mercantilist_War # year_of_war",="",="",="0.0701",=""
="",="",="",="(1.21)",=""

="Constant",="57.23",="52.99",="-557.3",="-493.0"
="",="(1.07)",="(1.00)",="(-1.92)",="(-1.44)"

="Observations",="1965",="1965",="1965",="1965"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
