
="",="(0.16)",="(-4.02)",="(0.50)",="(-3.96)",="(5.16)",="(-0.18)"

="Italie # Raw mat fuel oils",="-28.01***",="-30.95***",="-28.40***",="-31.28***",="17.83**",="15.16*"
="",="(-3.71)",="(-3.98)",="(-3.81)",="(-4.08)",="(2.59)",="(2.15)"

="Italie # Textile manuf",="-11.56",="-13.84",="-11.79",="-14.03*",="18.29**",="16.01*"
="",="(-1.67)",="(-1.95)",="(-1.70)",="(-1.97)",="(2.90)",="(2.47)"

="Italie # Various manuf",="-24.75***",="-26.98***",="-24.65***",="-26.84***",="17.11**",="14.90*"
="",="(-3.61)",="(-3.83)",="(-3.59)",="(-3.80)",="(3.01)",="(2.55)"

="Levant et Barbarie # European foodstuff and beverage",="-16.08**",="-16.31**",="-15.57**",="-15.68**",="18.02***",="18.05***"
="",="(-2.84)",="(-2.84)",="(-2.78)",="(-2.75)",="(3.93)",="(3.89)"

="Levant et Barbarie # Other",="-8.598",="-9.061",="-8.217",="-8.587",="31.49***",="31.33***"
="",="(-1.16)",="(-1.21)",="(-1.10)",="(-1.13)",="(5.01)",="(4.95)"

="Levant et Barbarie # Plantation foodstuff",="13.54",="-22.01**",="16.01*",="-21.46**",="49.50***",="14.58*"
="",="(1.90)",="(-2.73)",="(2.32)",="(-2.65)",="(7.82)",="(2.03)"

="Levant et Barbarie # Raw mat fuel oils",="-16.42*",="-17.43*",="-16.78*",="-17.69*",="31.07***",="30.54***"
="",="(-2.24)",="(-2.35)",="(-2.34)",="(-2.43)",="(4.68)",="(4.56)"

="Levant et Barbarie # Textile manuf",="1.625",="1.254",="1.414",="1.123",="33.18***",="33.04***"
="",="(0.26)",="(0.20)",="(0.23)",="(0.18)",="(5.91)",="(5.85)"

="Levant et Barbarie # Various manuf",="-12.18",="-12.48",="-12.05",="-12.28",="31.34***",="31.28***"
="",="(-1.86)",="(-1.88)",="(-1.84)",="(-1.85)",="(5.89)",="(5.82)"

="Nord # European foodstuff and beverage",="-23.16***",="-26.72***",="-23.10***",="-26.73***",="8.885",="5.446"
="",="(-3.57)",="(-3.86)",="(-3.59)",="(-3.87)",="(1.50)",="(0.85)"

="Nord # Other",="-18.80*",="-22.59*",="-18.94*",="-22.83*",="19.18*",="15.55"
="",="(-2.23)",="(-2.56)",="(-2.23)",="(-2.55)",="(2.54)",="(1.95)"

="Nord # Plantation foodstuff",="4.545",="-34.22***",="6.615",="-34.29***",="38.50***",="0.198"
="",="(0.57)",="(-3.98)",="(0.87)",="(-3.91)",="(5.31)",="(0.02)"

="Nord # Raw mat fuel oils",="-26.36**",="-30.71***",="-26.85***",="-31.29***",="19.43*",="15.45"
="",="(-3.22)",="(-3.59)",="(-3.31)",="(-3.66)",="(2.52)",="(1.90)"

="Nord # Textile manuf",="-10.03",="-13.73",="-10.58",="-14.38",="19.56*",="15.97*"
="",="(-1.23)",="(-1.59)",="(-1.29)",="(-1.65)",="(2.57)",="(1.96)"

="Nord # Various manuf",="-23.04**",="-26.68**",="-23.15**",="-26.89**",="18.67**",="15.15*"
="",="(-2.97)",="(-3.27)",="(-2.99)",="(-3.28)",="(2.76)",="(2.09)"

="Portugal # European foodstuff and beverage",="-5.039",="-5.471",="-4.486",="-4.911",="27.36***",="27.14***"
="",="(-0.77)",="(-0.84)",="(-0.70)",="(-0.76)",="(4.69)",="(4.65)"

="Portugal # Other",="1.679",="1.010",="2.100",="1.416",="40.04***",="39.62***"
="",="(0.21)",="(0.13)",="(0.26)",="(0.18)",="(5.60)",="(5.53)"

="Portugal # Plantation foodstuff",="18.63*",="-17.16",="21.14**",="-16.68",="52.88***",="17.68*"
="",="(2.28)",="(-1.92)",="(2.68)",="(-1.86)",="(6.99)",="(2.14)"

="Portugal # Raw mat fuel oils",="-8.114",="-9.326",="-8.407",="-9.632",="37.64***",="36.86***"
="",="(-1.00)",="(-1.14)",="(-1.06)",="(-1.20)",="(4.93)",="(4.82)"

="Portugal # Textile manuf",="10.20",="9.629",="10.04",="9.438",="40.07***",="39.68***"
="",="(1.39)",="(1.31)",="(1.38)",="(1.28)",="(5.84)",="(5.77)"

="Portugal # Various manuf",="-2.734",="-3.249",="-2.556",="-3.099",="39.06***",="38.75***"
="",="(-0.37)",="(-0.44)",="(-0.35)",="(-0.42)",="(6.12)",="(6.05)"

="Suisse # European foodstuff and beverage",="-7.100",="-6.380",="-7.163",="-6.476",="22.28***",="23.07***"
="",="(-1.24)",="(-1.11)",="(-1.26)",="(-1.13)",="(4.37)",="(4.49)"

="Suisse # Other",="-1.867",="-1.388",="-2.137",="-1.712",="33.43***",="34.01***"
="",="(-0.24)",="(-0.18)",="(-0.27)",="(-0.22)",="(4.92)",="(4.97)"

="Suisse # Plantation foodstuff",="18.30*",="-16.44",="20.25**",="-16.60",="49.60***",="15.28*"
="",="(2.40)",="(-1.95)",="(2.71)",="(-1.94)",="(7.07)",="(1.96)"

="Suisse # Raw mat fuel oils",="-8.059",="-8.125",="-8.679",="-8.795",="35.01***",="35.24***"
="",="(-1.13)",="(-1.13)",="(-1.23)",="(-1.23)",="(5.43)",="(5.44)"

="Suisse # Textile manuf",="6.646",="7.217",="5.975",="6.477",="33.60***",="34.22***"
="",="(0.92)",="(0.99)",="(0.83)",="(0.88)",="(5.05)",="(5.09)"

="Suisse # Various manuf",="-6.502",="-5.867",="-6.739",="-6.171",="32.50***",="33.20***"
="",="(-0.93)",="(-0.83)",="(-0.96)",="(-0.87)",="(5.41)",="(5.46)"

="Angleterre # year",="-0.00430",="-0.00459",="-0.00402",="-0.00436",="-0.00783**",="-0.00809**"
="",="(-1.45)",="(-1.53)",="(-1.41)",="(-1.51)",="(-2.66)",="(-2.73)"

="Espagne # year",="0.00535*",="0.00522*",="0.00540*",="0.00520*",="-0.0000859",="-0.000239"
="",="(2.18)",="(2.07)",="(2.25)",="(2.11)",="(-0.03)",="(-0.09)"

="Flandre et autres états de l'Empereur # year",="-0.00846**",="-0.0114***",="-0.00828**",="-0.0112***",="-0.0120***",="-0.0148***"
="",="(-2.60)",="(-3.40)",="(-2.58)",="(-3.40)",="(-3.72)",="(-4.45)"

="Hollande # year",="0.0000293",="-0.000563",="0.000210",="-0.000391",="-0.00402",="-0.00455"
="",="(0.01)",="(-0.23)",="(0.09)",="(-0.16)",="(-1.69)",="(-1.84)"

="Italie # year",="0.0103***",="0.0112***",="0.0103***",="0.0112***",="0.00586**",="0.00687**"
="",="(4.51)",="(4.65)",="(4.58)",="(4.67)",="(2.60)",="(2.90)"

="Levant et Barbarie # year",="0.00260",="0.00245",="0.00263",="0.00236",="-0.00280",="-0.00299"
="",="(1.16)",="(1.07)",="(1.20)",="(1.05)",="(-1.26)",="(-1.32)"

="Nord # year",="0.00885**",="0.0106***",="0.00909**",="0.0108***",="0.00461",="0.00637*"
="",="(3.02)",="(3.30)",="(3.15)",="(3.40)",="(1.58)",="(1.99)"

="Portugal # year",="-0.00277",="-0.00281",="-0.00277",="-0.00286",="-0.00721*",="-0.00725*"
="",="(-0.99)",="(-1.01)",="(-1.00)",="(-1.03)",="(-2.52)",="(-2.53)"

="Suisse # year",="-0.000521",="-0.00121",="-0.000209",="-0.000932",="-0.00325",="-0.00387"
="",="(-0.22)",="(-0.50)",="(-0.09)",="(-0.39)",="(-1.32)",="(-1.55)"

="European foodstuff and beverage # year",="0.000770",="0.000723",="0.000615",="0.000548",="0.00621**",="0.00615**"
="",="(0.31)",="(0.29)",="(0.26)",="(0.23)",="(2.82)",="(2.78)"

="Other # year",="-0.00334",="-0.00326",="-0.00340",="-0.00332",="-0.00128",="-0.00122"
="",="(-1.16)",="(-1.12)",="(-1.17)",="(-1.14)",="(-0.53)",="(-0.50)"

="Plantation foodstuff # year",="-0.0146***",="0.00553",="-0.0160***",="0.00534",="-0.0103***",="0.00969**"
="",="(-5.12)",="(1.56)",="(-6.12)",="(1.50)",="(-3.62)",="(2.78)"

="Raw mat fuel oils # year",="0.00109",="0.00149",="0.00133",="0.00171",="-0.00123",="-0.000962"
