
="Portugal Wine",="26.04",="18.95",="22.49"
="",="(0.74)",="(0.43)",="(0.57)"

="Portugal Other",="35.27",="28.93",="31.97"
="",="(1.01)",="(0.66)",="(0.81)"

="Suisse Coffee",="-54.55*",="-56.63",="-46.14"
="",="(-2.00)",="(-1.75)",="(-1.56)"

="Suisse Eau de vie",="-18.29",="-26.99",="-15.25"
="",="(-0.63)",="(-0.78)",="(-0.47)"

="Suisse Sugar",="-37.30",="17.59",="-33.17"
="",="(-1.28)",="(0.50)",="(-1.02)"

="Suisse Wine",="81.81**",="73.56*",="85.62**"
="",="(2.85)",="(2.13)",="(2.67)"

="Suisse Other",="97.83***",="90.35**",="101.9**"
="",="(3.41)",="(2.62)",="(3.18)"

="États-Unis d'Amérique Coffee",="-241.4***",="-254.6***",="-247.8***"
="",="(-8.46)",="(-6.88)",="(-7.76)"

="États-Unis d'Amérique Eau de vie",="-203.3***",="-224.5***",="-216.5***"
="",="(-6.76)",="(-5.78)",="(-6.33)"

="États-Unis d'Amérique Sugar",="-221.9***",="-180.0***",="-234.1***"
="",="(-7.32)",="(-4.55)",="(-6.81)"

="États-Unis d'Amérique Wine",="-108.2***",="-129.0***",="-120.8***"
="",="(-3.61)",="(-3.32)",="(-3.54)"

="États-Unis d'Amérique Other",="-97.12**",="-117.2**",="-109.4**"
="",="(-3.23)",="(-3.01)",="(-3.20)"

="Allemagne # year",="0",="0.00401",="0.00536"
="",="(.)",="(1.34)",="(1.75)"

="Angleterre # year",="0.0512***",="0.0543***",="0.0551***"
="",="(10.52)",="(9.63)",="(10.18)"

="Espagne # year",="0.0252***",="0.0247***",="0.0318***"
="",="(6.21)",="(4.94)",="(6.59)"

="Flandre et autres états de l'Empereur # year",="-0.00430",="0.00661",="0.00118"
="",="(-0.29)",="(0.46)",="(0.08)"

="Hollande # year",="0.00194",="-0.00225",="-0.0103"
="",="(0.40)",="(-0.39)",="(-1.84)"

="Italie # year",="0.0154**",="0.0204**",="0.0240***"
="",="(2.96)",="(3.28)",="(4.08)"

="Levant et Barbarie # year",="-0.0191*",="0.00117",="0.0119"
="",="(-2.35)",="(0.12)",="(1.33)"

="Nord # year",="0.0447***",="0.0413**",="0.0387**"
="",="(3.84)",="(3.13)",="(3.10)"

="Outre-mers # year",="0.00193",="0.0586***",="0.0228**"
="",="(0.29)",="(7.56)",="(3.10)"

="Portugal # year",="0.0648***",="0.0682**",="0.0693***"
="",="(3.39)",="(3.03)",="(3.36)"

="Suisse # year",="0.0307*",="0.0353*",="0.0318"
="",="(1.99)",="(2.04)",="(1.93)"

="États-Unis d'Amérique # year",="0.136***",="0.145***",="0.145***"
="",="(8.38)",="(7.39)",="(8.16)"

="Coffee # year",="0",="0.0760***",="0.0766***"
