
="Portugal Wine",="256.0**",="255.7**",="261.4**"
="",="(2.68)",="(2.67)",="(2.73)"

="Portugal Other",="278.5**",="278.4**",="285.2**"
="",="(2.92)",="(2.92)",="(2.99)"

="Suisse Coffee",="311.7**",="191.5*",="206.4*"
="",="(3.24)",="(1.96)",="(2.11)"

="Suisse Eau de vie",="293.0**",="296.1**",="300.3**"
="",="(3.03)",="(3.06)",="(3.10)"

="Suisse Sugar",="299.4**",="307.0**",="216.6*"
="",="(3.12)",="(3.20)",="(2.22)"

="Suisse Wine",="290.4**",="293.5**",="298.0**"
="",="(3.02)",="(3.06)",="(3.10)"

="Suisse Other",="314.1**",="317.3***",="322.8***"
="",="(3.28)",="(3.32)",="(3.37)"

="États-Unis d'Amérique Coffee",="284.5**",="161.8",="171.3"
="",="(2.89)",="(1.62)",="(1.71)"

="États-Unis d'Amérique Eau de vie",="264.0**",="263.4**",="262.1**"
="",="(2.66)",="(2.65)",="(2.63)"

="États-Unis d'Amérique Sugar",="272.6**",="276.7**",="182.3"
="",="(2.77)",="(2.81)",="(1.82)"

="États-Unis d'Amérique Wine",="258.6**",="258.1**",="257.0**"
="",="(2.63)",="(2.62)",="(2.60)"

="États-Unis d'Amérique Other",="284.6**",="284.3**",="284.2**"
="",="(2.89)",="(2.89)",="(2.88)"

="Afrique # year",="0.182***",="0.182***",="0.182***"
="",="(3.40)",="(3.40)",="(3.40)"

="Allemagne et Pologne (par terre) # year",="0.0344***",="0.0343***",="0.0344***"
="",="(4.89)",="(4.87)",="(4.88)"

="Angleterre # year",="0.0362***",="0.0359***",="0.0353***"
="",="(11.27)",="(11.11)",="(10.77)"

="Colonies françaises # year",="0.0173***",="0.0199***",="0.0253***"
="",="(8.44)",="(9.21)",="(10.39)"

="Espagne # year",="0.00548*",="0.00545*",="0.00480*"
="",="(2.56)",="(2.53)",="(2.17)"

="Flandre et autres états de l'Empereur # year",="0.00603*",="0.00607*",="0.00609*"
="",="(2.27)",="(2.28)",="(2.29)"

="Hollande # year",="0.0198***",="0.0178***",="0.0146***"
="",="(6.09)",="(5.08)",="(3.93)"

="Italie # year",="0.0126*",="0.0124*",="0.0119*"
="",="(2.48)",="(2.44)",="(2.31)"

="Levant et Barbarie # year",="0.0148***",="0.0149***",="0.0149***"
="",="(7.04)",="(6.93)",="(6.94)"

="Nord # year",="0.0269***",="0.0269***",="0.0261***"
="",="(15.66)",="(15.66)",="(14.78)"

="Portugal # year",="0.0281***",="0.0280***",="0.0258***"
="",="(7.78)",="(7.72)",="(6.68)"

="Suisse # year",="0.00814",="0.00786",="0.00738"
="",="(1.45)",="(1.39)",="(1.30)"

="États-Unis d'Amérique # year",="0.0248",="0.0250",="0.0251"
="",="(1.79)",="(1.78)",="(1.75)"

="Coffee # year",="0.000635",="0.0675***",="0.0623***"
="",="(0.13)",="(6.77)",="(6.22)"

="Eau de vie # year",="0.00902",="0.00912",="0.00984"
="",="(1.16)",="(1.17)",="(1.26)"

="Sugar # year",="0.00703",="0.00461",="0.0556***"
="",="(1.96)",="(1.27)",="(5.40)"

="Wine # year",="0.0115**",="0.0116**",="0.0122**"
="",="(2.98)",="(3.00)",="(3.13)"

="Other # year",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Adversary Coffee",="-0.325",="-0.00984",="-0.0251"
="",="(-0.73)",="(-0.02)",="(-0.05)"

="Adversary Eau de vie",="-1.946*",="-1.947*",="-1.948*"
="",="(-2.37)",="(-2.37)",="(-2.37)"

="Adversary Sugar",="-0.366",="-0.366",="0.0434"
="",="(-0.51)",="(-0.51)",="(0.06)"

="Adversary Wine",="-2.181***",="-2.182***",="-2.187***"
="",="(-9.13)",="(-9.13)",="(-9.14)"

="Adversary Other",="0.0855",="0.0857",="0.0895"
="",="(0.40)",="(0.40)",="(0.42)"

="Allied Coffee",="-1.535***",="-0.965***",="-0.976***"
="",="(-4.40)",="(-3.41)",="(-3.47)"

="Allied Eau de vie",="-0.275",="-0.274",="-0.273"
="",="(-0.56)",="(-0.56)",="(-0.56)"

="Allied Sugar",="-0.772",="-0.771",="-0.390"
="",="(-1.43)",="(-1.43)",="(-0.95)"

="Allied Wine",="-0.405*",="-0.404*",="-0.405*"
="",="(-2.22)",="(-2.22)",="(-2.22)"

="Allied Other",="0.813**",="0.820**",="0.834**"
="",="(2.93)",="(2.95)",="(3.00)"

="Neutral Coffee",="0.603",="2.173***",="2.101***"
="",="(1.61)",="(3.90)",="(3.80)"

="Neutral Eau de vie",="-0.141",="-0.165",="-0.194"
="",="(-0.28)",="(-0.33)",="(-0.38)"

="Neutral Sugar",="1.538*",="1.469*",="3.515**"
="",="(2.57)",="(2.46)",="(3.05)"

="Neutral Wine",="0.847***",="0.844***",="0.838***"
="",="(3.79)",="(3.78)",="(3.73)"

="Neutral Other",="0.493",="0.489",="0.483"
="",="(1.77)",="(1.76)",="(1.75)"

="coffee=0 # year_class1",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=0 # Afrique",="",="0",="0"
="",="",="(.)",="(.)"

="coffee=0 # Allemagne et Pologne (par terre)",="",="-1.650",="-1.876*"
="",="",="(-1.96)",="(-2.23)"

