
="",="(-1.67)",="(1.94)",="(-1.86)",="(1.82)",="(3.70)",="(0.53)"

="Italie # Raw mat fuel oils",="-7.442",="-10.31*",="-7.910",="-10.82*",="35.64***",="36.11***"
="",="(-1.41)",="(-1.98)",="(-1.49)",="(-2.08)",="(7.39)",="(7.46)"

="Italie # Textile manuf",="8.467",="4.884",="8.121",="4.416",="51.43***",="51.40***"
="",="(1.39)",="(0.83)",="(1.33)",="(0.75)",="(8.10)",="(8.16)"

="Italie # Various manuf",="-13.29*",="-16.90**",="-13.78*",="-17.39**",="37.80***",="39.77***"
="",="(-2.28)",="(-2.95)",="(-2.35)",="(-3.03)",="(7.13)",="(7.43)"

="Levant et Barbarie # European foodstuff and beverage",="17.94***",="13.97**",="18.16***",="14.14**",="64.83***",="64.63***"
="",="(3.30)",="(2.60)",="(3.33)",="(2.63)",="(13.90)",="(13.75)"

="Levant et Barbarie # Other",="20.01**",="16.03*",="19.11**",="15.05*",="74.89***",="74.93***"
="",="(2.81)",="(2.29)",="(2.68)",="(2.16)",="(11.70)",="(11.68)"

="Levant et Barbarie # Plantation foodstuff",="9.590",="63.81***",="8.306",="62.44***",="56.17***",="35.18**"
="",="(0.85)",="(3.47)",="(0.76)",="(3.32)",="(7.37)",="(3.17)"

="Levant et Barbarie # Raw mat fuel oils",="20.52***",="17.23**",="20.14***",="16.77**",="64.38***",="64.64***"
="",="(3.48)",="(2.97)",="(3.41)",="(2.89)",="(12.06)",="(12.07)"

="Levant et Barbarie # Textile manuf",="37.69***",="33.69***",="37.43***",="33.28***",="81.44***",="81.21***"
="",="(6.13)",="(5.63)",="(6.09)",="(5.58)",="(12.85)",="(12.88)"

="Levant et Barbarie # Various manuf",="14.72*",="10.69",="14.32*",="10.26",="66.53***",="68.27***"
="",="(2.35)",="(1.73)",="(2.27)",="(1.65)",="(11.70)",="(11.89)"

="Nord # European foodstuff and beverage",="-4.602",="-5.089",="-4.472",="-5.134",="39.42***",="42.36***"
="",="(-0.79)",="(-0.88)",="(-0.77)",="(-0.89)",="(7.56)",="(8.03)"

="Nord # Other",="-1.693",="-2.196",="-2.489",="-3.196",="50.57***",="53.74***"
="",="(-0.23)",="(-0.30)",="(-0.34)",="(-0.44)",="(7.49)",="(7.91)"

="Nord # Plantation foodstuff",="-11.50",="44.49*",="-12.22",="43.18*",="32.87***",="12.79"
="",="(-1.10)",="(2.43)",="(-1.19)",="(2.27)",="(4.39)",="(1.14)"

="Nord # Raw mat fuel oils",="-3.142",="-2.941",="-3.437",="-3.451",="38.00***",="41.41***"
="",="(-0.48)",="(-0.46)",="(-0.53)",="(-0.54)",="(6.22)",="(6.81)"

="Nord # Textile manuf",="14.64*",="14.10",="14.45*",="13.63",="55.66***",="58.56***"
="",="(2.00)",="(1.95)",="(1.97)",="(1.88)",="(7.38)",="(7.77)"

="Nord # Various manuf",="-6.809",="-7.352",="-7.239",="-7.946",="42.22***",="47.12***"
="",="(-1.07)",="(-1.18)",="(-1.14)",="(-1.27)",="(7.18)",="(7.91)"

="Portugal # European foodstuff and beverage",="-21.84**",="-38.79***",="-21.30*",="-38.61***",="23.64**",="16.69*"
="",="(-2.66)",="(-5.14)",="(-2.57)",="(-5.11)",="(3.05)",="(2.28)"

="Portugal # Other",="-18.90*",="-35.85***",="-19.49*",="-36.83***",="34.66***",="27.97***"
="",="(-2.02)",="(-4.11)",="(-2.07)",="(-4.22)",="(3.91)",="(3.30)"

="Portugal # Plantation foodstuff",="-26.50*",="15.34",="-27.48*",="13.96",="18.66",="-8.992"
="",="(-2.18)",="(0.87)",="(-2.32)",="(0.78)",="(1.94)",="(-0.73)"

="Portugal # Raw mat fuel oils",="-18.79*",="-35.05***",="-18.86*",="-35.51***",="23.63**",="17.14*"
="",="(-2.24)",="(-4.59)",="(-2.22)",="(-4.62)",="(2.94)",="(2.28)"

="Portugal # Textile manuf",="-3.856",="-20.76*",="-3.797",="-21.16*",="38.48***",="31.54***"
="",="(-0.43)",="(-2.50)",="(-0.42)",="(-2.54)",="(4.20)",="(3.62)"

="Portugal # Various manuf",="-23.77**",="-40.79***",="-23.86**",="-41.22***",="26.68**",="21.70**"
