
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="war # status_noprod",="war # status",="war # status no wart",="war # goods_noprod",="war # goods",="war # goods no wart"

="0 # 0",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="0 # Blockade",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="0 # Mercantilist_War",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="ally # 0",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="ally # Blockade",="-0.169",="-1.129",="-2.129**",="",="",=""
="",="(-0.67)",="(-0.87)",="(-2.58)",="",="",=""

="ally # Mercantilist_War",="-0.118",="1.627*",="2.119***",="",="",=""
="",="(-0.76)",="(2.01)",="(3.89)",="",="",=""

="foe # 0",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="foe # Blockade",="-1.159***",="-12.45***",="-4.149***",="",="",=""
="",="(-3.60)",="(-7.85)",="(-4.98)",="",="",=""

="foe # Mercantilist_War",="-0.817***",="-0.380",="-4.014***",="",="",=""
="",="(-3.51)",="(-0.31)",="(-5.05)",="",="",=""

="neutral # 0",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="neutral # Blockade",="-1.047**",="-3.979*",="-2.048*",="",="",=""
="",="(-3.28)",="(-2.29)",="(-2.09)",="",="",=""

="neutral # Mercantilist_War",="0.162",="1.474*",="1.365**",="",="",=""
="",="(1.13)",="(1.98)",="(2.61)",="",="",=""

="0 # 0 # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="0 # Blockade # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="0 # Mercantilist_War # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="ally # 0 # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="ally # Blockade # year_of_war",="0.0394",="-0.299",="",="",="",=""
="",="(0.45)",="(-0.68)",="",="",="",=""

="ally # Mercantilist_War # year_of_war",="0.0282",="0.167",="",="",="",=""
="",="(0.81)",="(0.93)",="",="",="",=""

="foe # 0 # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="foe # Blockade # year_of_war",="0.194**",="1.821***",="",="",="",=""
="",="(3.23)",="(6.07)",="",="",="",=""

="foe # Mercantilist_War # year_of_war",="-0.284***",="-1.097***",="",="",="",=""
="",="(-5.77)",="(-3.98)",="",="",="",=""

="neutral # 0 # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="neutral # Blockade # year_of_war",="0.0828",="0.473",="",="",="",=""
="",="(1.26)",="(1.35)",="",="",="",=""

="neutral # Mercantilist_War # year_of_war",="-0.127***",="-0.0524",="",="",="",=""
="",="(-3.39)",="(-0.27)",="",="",="",=""

="Allemagne",="0",="",="",="",="",=""
="",="(.)",="",="",="",="",=""

="Angleterre",="16.50",="",="",="",="",=""
="",="(1.36)",="",="",="",="",=""

="Espagne",="28.36*",="",="",="",="",=""
="",="(2.38)",="",="",="",="",=""

="Flandre et autres états de l'Empereur",="113.4***",="",="",="",="",=""
="",="(9.64)",="",="",="",="",=""

="Hollande",="12.24",="",="",="",="",=""
="",="(1.02)",="",="",="",="",=""

="Italie",="24.33*",="",="",="",="",=""
="",="(2.05)",="",="",="",="",=""

="Levant et Barbarie",="62.26***",="",="",="",="",=""
="",="(5.08)",="",="",="",="",=""

="Nord",="27.85*",="",="",="",="",=""
="",="(2.35)",="",="",="",="",=""

="Portugal",="3.622",="",="",="",="",=""
="",="(0.30)",="",="",="",="",=""

="Suisse",="0.155",="",="",="",="",=""
="",="(0.01)",="",="",="",="",=""

="États-Unis d'Amérique",="-65.60**",="",="",="",="",=""
="",="(-3.10)",="",="",="",="",=""

="Allemagne # year",="0.0207***",="",="",="",="",=""
="",="(4.38)",="",="",="",="",=""

="Angleterre # year",="0.0111*",="",="",="",="",=""
="",="(2.25)",="",="",="",="",=""

="Espagne # year",="0.00505",="",="",="",="",=""
="",="(1.05)",="",="",="",="",=""

="Flandre et autres états de l'Empereur # year",="-0.0438***",="",="",="",="",=""
="",="(-9.19)",="",="",="",="",=""

="Hollande # year",="0.0140**",="",="",="",="",=""
="",="(2.87)",="",="",="",="",=""

="Italie # year",="0.00729",="",="",="",="",=""
="",="(1.51)",="",="",="",="",=""

="Levant et Barbarie # year",="-0.0145**",="",="",="",="",=""
="",="(-2.90)",="",="",="",="",=""

