
="Levant et Barbarie # Wine",="66.44**",="67.31**",="124.2**",="135.8**"
="",="(3.19)",="(3.23)",="(2.74)",="(2.89)"

="Nord # Coffee",="11.84",="12.81",="31.04",="30.39"
="",="(0.57)",="(0.62)",="(0.92)",="(0.91)"

="Nord # Eau de vie",="16.52",="17.53",="60.79",="66.10"
="",="(0.81)",="(0.86)",="(1.19)",="(1.27)"

="Nord # Other",="55.45***",="56.57***",="56.72***",="58.00***"
="",="(3.29)",="(3.36)",="(3.52)",="(3.52)"

="Nord # Sugar",="15.29",="16.28",="-0.283",="1.799"
="",="(0.74)",="(0.79)",="(-0.01)",="(0.05)"

="Nord # Wine",="37.61",="38.70",="92.34*",="103.1*"
="",="(1.80)",="(1.85)",="(2.09)",="(2.27)"

="Outre-mers # Coffee",="95.98***",="96.27***",="193.6***",="191.2***"
="",="(4.90)",="(4.91)",="(4.94)",="(5.22)"

="Outre-mers # Eau de vie",="-262.4**",="-263.8**",="-366.6***",="-387.2***"
="",="(-2.92)",="(-2.92)",="(-3.71)",="(-3.92)"

="Outre-mers # Other",="103.8***",="104.1***",="110.3***",="111.7***"
="",="(5.71)",="(5.72)",="(6.08)",="(6.06)"

="Outre-mers # Sugar",="93.13***",="93.42***",="107.9*",="112.0**"
="",="(5.07)",="(5.08)",="(2.54)",="(2.67)"

="Outre-mers # Wine",="35.69",="35.93",="88.62",="99.26*"
="",="(1.60)",="(1.61)",="(1.94)",="(2.09)"

="Portugal # Coffee",="-21.49",="-21.14",="-43.35",="-42.35"
="",="(-0.94)",="(-0.93)",="(-0.95)",="(-0.94)"

="Portugal # Eau de vie",="66.04***",="66.14***",="169.1**",="176.6**"
="",="(3.31)",="(3.32)",="(2.92)",="(3.06)"

="Portugal # Other",="18.47",="18.71",="16.23",="17.15"
="",="(1.08)",="(1.09)",="(0.98)",="(1.01)"

="Portugal # Sugar",="-3.825",="-3.527",="-27.78",="-26.77"
="",="(-0.16)",="(-0.15)",="(-0.70)",="(-0.68)"

="Portugal # Wine",="61.29**",="61.40**",="123.0**",="134.5**"
="",="(3.03)",="(3.04)",="(2.77)",="(2.94)"

="Suisse # Coffee",="-8.901",="-7.973",="-9.450",="-9.287"
="",="(-0.40)",="(-0.36)",="(-0.25)",="(-0.24)"

="Suisse # Eau de vie",="-27.31",="-26.44",="-52.77",="-54.22"
="",="(-1.08)",="(-1.05)",="(-0.80)",="(-0.78)"

="Suisse # Other",="50.94**",="51.92**",="55.30***",="56.58***"
="",="(2.92)",="(2.98)",="(3.33)",="(3.35)"

="Suisse # Sugar",="3.266",="4.222",="-13.83",="-12.10"
="",="(0.14)",="(0.18)",="(-0.36)",="(-0.31)"

="Suisse # Wine",="10.05",="11.02",="60.55",="69.97"
="",="(0.50)",="(0.54)",="(1.41)",="(1.58)"

="États-Unis d'Amérique # Coffee",="67.43*",="67.98*",="12.41",="13.27"
="",="(2.27)",="(2.29)",="(0.27)",="(0.29)"

="États-Unis d'Amérique # Eau de vie",="59.61",="60.16",="0",="0"
="",="(1.86)",="(1.86)",="(.)",="(.)"

="États-Unis d'Amérique # Other",="25.99",="26.19",="0",="0"
="",="(1.17)",="(1.17)",="(.)",="(.)"

="États-Unis d'Amérique # Sugar",="58.01*",="58.47*",="0",="0"
="",="(1.99)",="(2.01)",="(.)",="(.)"

="États-Unis d'Amérique # Wine",="-17.95",="-17.95",="0",="0"
="",="(-0.44)",="(-0.43)",="(.)",="(.)"

="Allemagne # Coffee # year",="0.0402***",="0.0401***",="0.135***",="0.134***"
="",="(4.54)",="(4.53)",="(5.42)",="(5.65)"

="Allemagne # Eau de vie # year",="0.0460***",="0.0459***",="0.149***",="0.153**"
="",="(3.42)",="(3.40)",="(3.37)",="(3.25)"

="Allemagne # Other # year",="0.0326***",="0.0325***",="0.0466***",="0.0460***"
="",="(5.53)",="(5.53)",="(8.24)",="(8.30)"

="Allemagne # Sugar # year",="0.0398***",="0.0398***",="0.0890***",="0.0897***"
="",="(4.51)",="(4.50)",="(4.78)",="(4.87)"

="Allemagne # Wine # year",="0.00261",="0.00244",="0.0202*",="0.0209*"
="",="(0.35)",="(0.33)",="(2.09)",="(2.15)"

="Angleterre # Coffee # year",="0.0690**",="0.0687**",="0.201***",="0.198***"
="",="(3.26)",="(3.27)",="(3.53)",="(3.76)"

="Angleterre # Eau de vie # year",="0.0111",="0.0110",="0.0594*",="0.0595"
="",="(0.81)",="(0.80)",="(1.96)",="(1.93)"

="Angleterre # Other # year",="0.0193***",="0.0192***",="0.0310***",="0.0301***"
="",="(5.09)",="(5.16)",="(5.47)",="(5.37)"

="Angleterre # Sugar # year",="0.0904***",="0.0900***",="0.166***",="0.172***"
="",="(5.68)",="(5.73)",="(4.60)",="(5.11)"

="Angleterre # Wine # year",="0.0202",="0.0201",="0.0423*",="0.0435*"
="",="(1.67)",="(1.66)",="(2.42)",="(2.37)"

="Espagne # Coffee # year",="0.0394***",="0.0394***",="0.132***",="0.131***"
="",="(4.56)",="(4.55)",="(4.53)",="(4.71)"

="Espagne # Eau de vie # year",="-0.00431",="-0.00442",="0.0300**",="0.0298**"
="",="(-0.49)",="(-0.50)",="(3.05)",="(2.91)"

